"Date","Time, GMT-05:00","Temp, °C","RH, %","DewPt, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-01-09,10:40:00,15.223,1.000,-40.667,Logged,,,,
2019-01-09,10:45:00,15.438,1.000,-40.536,,,,,
2019-01-09,10:50:00,15.438,1.000,-40.536,,,,,
2019-01-09,10:55:00,15.438,1.000,-40.536,,,,,
2019-01-09,11:00:00,15.414,1.000,-40.551,,,,,
2019-01-09,11:05:00,15.366,1.000,-40.580,,,,,
2019-01-09,11:10:00,15.342,1.000,-40.594,,,,,
2019-01-09,11:15:00,15.318,1.000,-40.609,,,,,
2019-01-09,11:20:00,15.270,1.000,-40.638,,,,,
2019-01-09,11:25:00,15.127,1.000,-40.725,,,,,
2019-01-09,11:30:00,15.031,1.000,-40.783,,,,,
2019-01-09,11:35:00,15.031,1.000,-40.783,,,,,
2019-01-09,11:40:00,15.031,1.000,-40.783,,,,,
2019-01-09,11:45:00,15.079,1.000,-40.754,,,,,
2019-01-09,11:50:00,15.151,1.000,-40.711,,,,,
2019-01-09,11:55:00,15.270,1.000,-40.638,,,,,
2019-01-09,12:00:00,15.342,1.000,-40.594,,,,,
2019-01-09,12:05:00,15.366,1.000,-40.580,,,,,
2019-01-09,12:10:00,15.318,1.000,-40.609,,,,,
2019-01-09,12:15:00,15.270,1.000,-40.638,,,,,
2019-01-09,12:20:00,15.175,1.000,-40.696,,,,,
2019-01-09,12:25:00,15.031,1.000,-40.783,,,,,
2019-01-09,12:30:00,14.840,1.000,-40.900,,,,,
2019-01-09,12:35:00,14.745,1.000,-40.958,,,,,
2019-01-09,12:40:00,14.745,1.000,-40.958,,,,,
2019-01-09,12:45:00,14.768,1.000,-40.943,,,,,
2019-01-09,12:50:00,14.792,1.000,-40.929,,,,,
2019-01-09,12:55:00,14.840,1.000,-40.900,,,,,
2019-01-09,13:00:00,14.936,1.000,-40.841,,,,,
2019-01-09,13:05:00,14.984,1.000,-40.812,,,,,
2019-01-09,13:10:00,14.936,1.000,-40.841,,,,,
2019-01-09,13:15:00,14.864,1.000,-40.885,,,,,
2019-01-09,13:20:00,14.840,1.000,-40.900,,,,,
2019-01-09,13:25:00,14.888,1.000,-40.870,,,,,
2019-01-09,13:30:00,15.055,1.000,-40.769,,,,,
2019-01-09,13:35:00,15.270,1.000,-40.638,,,,,
2019-01-09,13:40:00,15.414,1.000,-40.551,,,,,
2019-01-09,13:45:00,15.629,1.000,-40.420,,,,,
2019-01-09,13:50:00,15.796,1.000,-40.319,,,,,
2019-01-09,13:55:00,15.986,1.000,-40.203,,,,,
2019-01-09,14:00:00,16.034,1.000,-40.174,,,,,
2019-01-09,14:05:00,16.082,1.000,-40.145,,,,,
2019-01-09,14:10:00,16.153,1.000,-40.102,,,,,
2019-01-09,14:15:00,16.296,1.000,-40.015,,,,,
2019-01-09,14:20:00,16.415,1.000,-39.943,,,,,
2019-01-09,14:25:00,16.487,1.000,-39.900,,,,,
2019-01-09,14:30:00,16.558,1.000,-39.856,,,,,
2019-01-09,14:35:00,16.630,1.000,-39.813,,,,,
2019-01-09,14:40:00,16.677,1.000,-39.784,,,,,
2019-01-09,14:45:00,16.558,1.000,-39.856,,,,,
2019-01-09,14:50:00,16.534,1.000,-39.871,,,,,
2019-01-09,14:55:00,16.534,1.000,-39.871,,,,,
2019-01-09,15:00:00,16.534,1.000,-39.871,,,,,
2019-01-09,15:05:00,16.487,1.000,-39.900,,,,,
2019-01-09,15:10:00,16.463,1.000,-39.914,,,,,
2019-01-09,15:15:00,16.439,1.000,-39.928,,,,,
2019-01-09,15:20:00,16.415,1.000,-39.943,,,,,
2019-01-09,15:25:00,16.558,1.000,-39.856,,,,,
2019-01-09,15:30:00,16.606,1.000,-39.827,,,,,
2019-01-09,15:35:00,16.558,1.000,-39.856,,,,,
2019-01-09,15:40:00,16.463,1.000,-39.914,,,,,
2019-01-09,15:45:00,16.320,1.000,-40.001,,,,,
2019-01-09,15:50:00,16.153,1.000,-40.102,,,,,
2019-01-09,15:55:00,15.986,1.000,-40.203,,,,,
2019-01-09,16:00:00,15.843,1.000,-40.290,,,,,
2019-01-09,16:05:00,15.748,1.000,-40.348,,,,,
2019-01-09,16:10:00,15.700,1.000,-40.377,,,,,
2019-01-09,16:15:00,15.629,1.000,-40.420,,,,,
2019-01-09,16:20:00,15.509,1.000,-40.493,,,,,
2019-01-09,16:25:00,15.390,1.000,-40.565,,,,,
2019-01-09,16:30:00,15.270,1.000,-40.638,,,,,
2019-01-09,16:35:00,15.175,1.000,-40.696,,,,,
2019-01-09,16:40:00,15.127,1.000,-40.725,,,,,
2019-01-09,16:45:00,15.031,1.000,-40.783,,,,,
2019-01-09,16:50:00,14.960,1.000,-40.827,,,,,
2019-01-09,16:55:00,14.840,1.000,-40.900,,,,,
2019-01-09,17:00:00,14.721,1.000,-40.972,,,,,
2019-01-09,17:05:00,14.601,1.000,-41.045,,,,,
2019-01-09,17:10:00,14.505,1.000,-41.103,,,,,
2019-01-09,17:15:00,14.409,1.000,-41.162,,,,,
2019-01-09,17:20:00,14.314,1.000,-41.220,,,,,
2019-01-09,17:25:00,14.194,1.000,-41.293,,,,,
2019-01-09,17:30:00,14.074,1.000,-41.366,,,,,
2019-01-09,17:35:00,13.810,1.000,-41.527,,,,,
2019-01-09,17:40:00,13.497,1.000,-41.717,,,,,
2019-01-09,17:45:00,13.185,1.000,-41.908,,,,,
2019-01-09,17:50:00,12.896,1.000,-42.084,,,,,
2019-01-09,17:55:00,12.582,1.000,-42.276,,,,,
2019-01-09,18:00:00,12.316,1.000,-42.438,,,,,
2019-01-09,18:05:00,12.001,1.000,-42.630,,,,,
2019-01-09,18:10:00,11.710,1.000,-42.808,,,,,
2019-01-09,18:15:00,11.467,1.000,-42.957,,,,,
2019-01-09,18:20:00,11.224,1.000,-43.106,,,,,
2019-01-09,18:25:00,10.980,1.000,-43.255,,,,,
2019-01-09,18:30:00,10.785,1.000,-43.374,,,,,
2019-01-09,18:35:00,10.590,1.000,-43.494,,,,,
2019-01-09,18:40:00,10.394,1.000,-43.614,,,,,
2019-01-09,18:45:00,10.222,1.000,-43.719,,,,,
