"Date","Time, GMT-05:00","Temp, °C","RH, %","DewPt, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-01-09,10:15:00,15.031,58.392,7.186,Logged,,,,
2019-01-09,10:20:00,15.031,59.052,7.344,,,,,
2019-01-09,10:25:00,14.912,58.133,7.011,,,,,
2019-01-09,10:30:00,14.888,58.790,7.146,,,,,
2019-01-09,10:35:00,15.008,58.779,7.256,,,,,
2019-01-09,10:40:00,15.055,57.975,7.107,,,,,
2019-01-09,10:45:00,15.461,58.369,7.585,,,,,
2019-01-09,10:50:00,16.201,57.216,7.997,,,,,
2019-01-09,10:55:00,16.582,56.425,8.156,,,,,
2019-01-09,11:00:00,16.582,55.664,7.962,,,,,
2019-01-09,11:05:00,16.677,55.708,8.063,,,,,
2019-01-09,11:10:00,17.082,54.913,8.236,,,,,
2019-01-09,11:15:00,16.915,54.429,7.954,,,,,
2019-01-09,11:20:00,16.487,54.275,7.514,,,,,
2019-01-09,11:25:00,16.368,54.594,7.486,,,,,
2019-01-09,11:30:00,16.582,55.450,7.908,,,,,
2019-01-09,11:35:00,16.701,63.501,9.952,,,,,
2019-01-09,11:40:00,16.820,67.556,10.947,,,,,
2019-01-09,11:45:00,16.892,72.436,12.007,,,,,
2019-01-09,11:50:00,17.130,76.302,12.974,,,,,
2019-01-09,11:55:00,17.558,79.878,14.040,,,,,
2019-01-09,12:00:00,17.724,86.012,15.247,,,,,
2019-01-09,12:05:00,18.033,91.234,16.377,,,,,
2019-01-09,12:10:00,17.986,91.648,16.393,,,,,
2019-01-09,12:15:00,17.772,90.822,16.055,,,,,
2019-01-09,12:20:00,17.439,90.180,15.625,,,,,
2019-01-09,12:25:00,17.106,87.089,14.810,,,,,
2019-01-09,12:30:00,17.130,88.174,15.006,,,,,
2019-01-09,12:35:00,17.272,86.152,14.823,,,,,
2019-01-09,12:40:00,17.153,84.598,14.451,,,,,
2019-01-09,12:45:00,17.058,82.792,14.055,,,,,
2019-01-09,12:50:00,17.153,86.721,14.798,,,,,
2019-01-09,12:55:00,17.605,86.012,15.129,,,,,
2019-01-09,13:00:00,18.509,84.138,15.709,,,,,
2019-01-09,13:05:00,19.460,73.282,14.655,,,,,
2019-01-09,13:10:00,19.579,73.824,14.877,,,,,
2019-01-09,13:15:00,19.532,73.238,14.716,,,,,
2019-01-09,13:20:00,19.508,74.300,14.901,,,,,
2019-01-09,13:25:00,19.341,76.870,15.231,,,,,
2019-01-09,13:30:00,19.484,77.297,15.449,,,,,
2019-01-09,13:35:00,19.579,70.722,14.254,,,,,
2019-01-09,13:40:00,19.698,68.841,13.977,,,,,
2019-01-09,13:45:00,19.436,72.959,14.568,,,,,
2019-01-09,13:50:00,18.842,72.555,13.914,,,,,
2019-01-09,13:55:00,18.461,76.519,14.309,,,,,
2019-01-09,14:00:00,18.057,69.709,12.582,,,,,
2019-01-09,14:05:00,18.152,75.032,13.728,,,,,
2019-01-09,14:10:00,18.271,76.139,14.053,,,,,
2019-01-09,14:15:00,18.985,72.322,14.005,,,,,
2019-01-09,14:20:00,19.532,73.093,14.687,,,,,
2019-01-09,14:25:00,19.651,72.422,14.668,,,,,
2019-01-09,14:30:00,19.627,75.127,15.177,,,,,
2019-01-09,14:35:00,19.365,75.791,15.050,,,,,
2019-01-09,14:40:00,19.103,69.143,13.470,,,,,
2019-01-09,14:45:00,18.985,68.535,13.228,,,,,
2019-01-09,14:50:00,19.127,72.176,14.114,,,,,
2019-01-09,14:55:00,19.413,71.564,14.266,,,,,
2019-01-09,15:00:00,19.722,69.433,14.124,,,,,
2019-01-09,15:05:00,19.579,64.826,12.987,,,,,
2019-01-09,15:10:00,19.056,68.577,13.305,,,,,
2019-01-09,15:15:00,18.557,68.603,12.832,,,,,
2019-01-09,15:20:00,18.010,69.409,12.474,,,,,
2019-01-09,15:25:00,17.748,71.102,12.568,,,,,
2019-01-09,15:30:00,17.486,67.999,11.678,,,,,
2019-01-09,15:35:00,17.510,72.499,12.617,,,,,
2019-01-09,15:40:00,17.534,74.765,13.078,,,,,
2019-01-09,15:45:00,17.177,59.061,9.367,,,,,
2019-01-09,15:50:00,16.915,66.107,10.729,,,,,
2019-01-09,15:55:00,16.892,64.156,10.280,,,,,
2019-01-09,16:00:00,16.701,60.429,9.246,,,,,
2019-01-09,16:05:00,16.606,62.505,9.637,,,,,
2019-01-09,16:10:00,16.534,68.292,10.827,,,,,
2019-01-09,16:15:00,16.463,66.760,10.437,,,,,
2019-01-09,16:20:00,16.368,68.465,10.703,,,,,
2019-01-09,16:25:00,16.272,65.494,9.983,,,,,
2019-01-09,16:30:00,16.082,62.833,9.214,,,,,
2019-01-09,16:35:00,15.915,68.469,10.270,,,,,
2019-01-09,16:40:00,15.843,68.340,10.174,,,,,
2019-01-09,16:45:00,15.748,72.443,10.903,,,,,
2019-01-09,16:50:00,15.796,76.508,11.715,,,,,
2019-01-09,16:55:00,15.915,78.243,12.145,,,,,
2019-01-09,17:00:00,15.891,78.406,12.151,,,,,
2019-01-09,17:05:00,15.700,74.114,11.177,,,,,
2019-01-09,17:10:00,15.509,79.716,12.009,,,,,
2019-01-09,17:15:00,15.318,78.117,11.541,,,,,
2019-01-09,17:20:00,15.103,79.240,11.529,,,,,
2019-01-09,17:25:00,14.792,79.506,11.272,,,,,
2019-01-09,17:30:00,14.409,79.699,10.931,,,,,
2019-01-09,17:35:00,14.026,80.965,10.772,,,,,
2019-01-09,17:40:00,13.618,84.707,10.987,,,,,
2019-01-09,17:45:00,13.137,87.324,10.923,,,,,
2019-01-09,17:50:00,12.654,88.585,10.638,,,,,
2019-01-09,17:55:00,12.171,88.783,10.189,,,,,
2019-01-09,18:00:00,11.807,89.900,9.994,,,,,
2019-01-09,18:05:00,11.467,91.350,9.867,,,,,
2019-01-09,18:10:00,11.175,92.515,9.742,,,,,
2019-01-09,18:15:00,10.883,92.311,9.422,,,,,
2019-01-09,18:20:00,10.590,91.695,9.043,,,,,
2019-01-09,18:25:00,10.345,93.147,9.003,,,,,
2019-01-09,18:30:00,10.124,93.906,8.888,,,,,
2019-01-09,18:35:00,9.829,93.574,8.548,,,,,
2019-01-09,18:40:00,9.657,94.392,8.488,,,,,
2019-01-09,18:45:00,9.435,94.283,8.251,,,,,
2019-01-09,18:50:00,9.287,94.396,8.119,,,,,
2019-01-09,18:55:00,9.163,94.515,8.011,,,,,
2019-01-09,19:00:00,8.965,94.386,7.796,,,,,
2019-01-09,19:05:00,8.817,94.019,7.598,,,,,
2019-01-09,19:10:00,8.618,93.561,7.338,,,,,
2019-01-09,19:15:00,8.494,92.920,7.127,,,,,
2019-01-09,19:20:00,8.419,92.036,6.931,,,,,
2019-01-09,19:25:00,8.295,91.238,6.696,,,,,
2019-01-09,19:30:00,8.220,90.450,6.511,,,,,
2019-01-09,19:35:00,8.195,89.724,6.384,,,,,
2019-01-09,19:40:00,8.220,88.931,6.295,,,,,
2019-01-09,19:45:00,8.145,89.067,6.240,,,,,
2019-01-09,19:50:00,8.120,88.777,6.174,,,,,
2019-01-09,19:55:00,8.120,88.570,6.144,,,,,
2019-01-09,20:00:00,7.920,90.682,6.246,,,,,
2019-01-09,20:05:00,7.870,90.208,6.130,,,,,
2019-01-09,20:10:00,7.870,89.669,6.053,,,,,
2019-01-09,20:15:00,7.820,89.476,5.976,,,,,
2019-01-09,20:20:00,7.770,88.612,5.803,,,,,
2019-01-09,20:25:00,7.645,88.891,5.719,,,,,
2019-01-09,20:30:00,7.594,87.974,5.537,,,,,
2019-01-09,20:35:00,7.494,87.119,5.313,,,,,
2019-01-09,20:40:00,7.242,89.331,5.383,,,,,
2019-01-09,20:45:00,7.192,89.781,5.396,,,,,
2019-01-09,20:50:00,7.242,88.817,5.310,,,,,
2019-01-09,20:55:00,7.217,88.011,5.169,,,,,
2019-01-09,21:00:00,7.217,86.792,4.991,,,,,
2019-01-09,21:05:00,7.142,86.044,4.806,,,,,
2019-01-09,21:10:00,7.041,85.367,4.606,,,,,
2019-01-09,21:15:00,6.940,84.294,4.345,,,,,
2019-01-09,21:20:00,6.813,83.844,4.152,,,,,
2019-01-09,21:25:00,6.763,82.909,3.959,,,,,
2019-01-09,21:30:00,6.661,82.277,3.762,,,,,
2019-01-09,21:35:00,6.611,82.292,3.714,,,,,
2019-01-09,21:40:00,6.535,82.645,3.694,,,,,
2019-01-09,21:45:00,6.484,83.793,3.820,,,,,
2019-01-09,21:50:00,6.509,83.562,3.810,,,,,
2019-01-09,21:55:00,6.509,83.483,3.798,,,,,
2019-01-09,22:00:00,6.509,83.799,3.846,,,,,
2019-01-09,22:05:00,6.408,85.138,3.947,,,,,
2019-01-09,22:10:00,6.357,86.272,4.065,,,,,
2019-01-09,22:15:00,6.484,86.614,4.241,,,,,
2019-01-09,22:20:00,6.535,86.289,4.243,,,,,
2019-01-09,22:25:00,6.535,86.782,4.315,,,,,
2019-01-09,22:30:00,6.433,88.204,4.420,,,,,
2019-01-09,22:35:00,6.357,89.366,4.509,,,,,
2019-01-09,22:40:00,6.281,90.215,4.552,,,,,
2019-01-09,22:45:00,6.357,89.928,4.588,,,,,
2019-01-09,22:50:00,6.433,89.743,4.638,,,,,
2019-01-09,22:55:00,6.458,89.954,4.693,,,,,
2019-01-09,23:00:00,6.611,89.071,4.719,,,,,
2019-01-09,23:05:00,6.788,88.601,4.829,,,,,
2019-01-09,23:10:00,6.813,90.350,5.100,,,,,
2019-01-09,23:15:00,6.839,92.034,5.357,,,,,
2019-01-09,23:20:00,6.788,93.910,5.559,,,,,
2019-01-09,23:25:00,6.914,93.265,5.599,,,,,
2019-01-09,23:30:00,6.914,93.039,5.569,,,,,
2019-01-09,23:35:00,6.864,93.076,5.523,,,,,
2019-01-09,23:40:00,6.763,93.075,5.422,,,,,
2019-01-09,23:45:00,6.585,93.480,5.300,,,,,
2019-01-09,23:50:00,6.382,94.353,5.212,,,,,
2019-01-09,23:55:00,6.357,94.196,5.166,,,,,
2019-01-10,00:00:00,6.408,93.659,5.146,,,,,
2019-01-10,00:05:00,6.382,93.828,5.143,,,,,
2019-01-10,00:10:00,6.255,93.819,5.015,,,,,
2019-01-10,00:15:00,6.230,93.637,4.966,,,,,
