"Date","Time, GMT-05:00","Temp, °C","RH, %","DewPt, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2018-12-13,13:10:00,18.889,1.000,-38.446,Logged,,,,
2018-12-13,13:15:00,19.127,1.000,-38.302,,,,,
2018-12-13,13:20:00,19.508,1.000,-38.072,,,,,
2018-12-13,13:25:00,19.722,1.000,-37.943,,,,,
2018-12-13,13:30:00,19.793,1.000,-37.900,,,,,
2018-12-13,13:35:00,19.722,1.000,-37.943,,,,,
2018-12-13,13:40:00,19.532,1.000,-38.058,,,,,
2018-12-13,13:45:00,19.318,1.000,-38.187,,,,,
2018-12-13,13:50:00,19.365,1.000,-38.159,,,,,
2018-12-13,13:55:00,19.484,1.000,-38.087,,,,,
2018-12-13,14:00:00,19.746,1.000,-37.929,,,,,
2018-12-13,14:05:00,20.079,1.000,-37.728,,,,,
2018-12-13,14:10:00,20.269,1.000,-37.613,,,,,
2018-12-13,14:15:00,20.317,1.000,-37.585,,,,,
2018-12-13,14:20:00,20.507,1.000,-37.470,,,,,
2018-12-13,14:25:00,20.555,1.000,-37.441,,,,,
2018-12-13,14:30:00,20.293,1.000,-37.599,,,,,
2018-12-13,14:35:00,20.269,1.000,-37.613,,,,,
2018-12-13,14:40:00,20.246,1.000,-37.628,,,,,
2018-12-13,14:45:00,20.222,1.000,-37.642,,,,,
2018-12-13,14:50:00,20.198,1.000,-37.656,,,,,
2018-12-13,14:55:00,20.174,1.000,-37.671,,,,,
2018-12-13,15:00:00,20.126,1.000,-37.699,,,,,
2018-12-13,15:05:00,20.055,1.000,-37.742,,,,,
2018-12-13,15:10:00,19.841,1.000,-37.872,,,,,
2018-12-13,15:15:00,19.722,1.000,-37.943,,,,,
2018-12-13,15:20:00,19.674,1.000,-37.972,,,,,
2018-12-13,15:25:00,19.579,1.000,-38.029,,,,,
2018-12-13,15:30:00,19.555,1.000,-38.044,,,,,
2018-12-13,15:35:00,19.579,1.000,-38.029,,,,,
2018-12-13,15:40:00,19.698,1.000,-37.958,,,,,
2018-12-13,15:45:00,19.793,1.000,-37.900,,,,,
2018-12-13,15:50:00,19.770,1.000,-37.915,,,,,
2018-12-13,15:55:00,19.698,1.000,-37.958,,,,,
2018-12-13,16:00:00,19.603,1.000,-38.015,,,,,
2018-12-13,16:05:00,19.555,1.000,-38.044,,,,,
2018-12-13,16:10:00,19.484,1.000,-38.087,,,,,
2018-12-13,16:15:00,19.436,1.000,-38.116,,,,,
2018-12-13,16:20:00,19.318,1.000,-38.187,,,,,
2018-12-13,16:25:00,19.151,1.000,-38.288,,,,,
2018-12-13,16:30:00,18.961,1.000,-38.403,,,,,
2018-12-13,16:35:00,18.771,1.000,-38.517,,,,,
2018-12-13,16:40:00,18.604,1.000,-38.618,,,,,
2018-12-13,16:45:00,18.390,1.000,-38.747,,,,,
2018-12-13,16:50:00,18.176,1.000,-38.877,,,,,
2018-12-13,16:55:00,17.986,1.000,-38.992,,,,,
2018-12-13,17:00:00,17.819,1.000,-39.092,,,,,
2018-12-13,17:05:00,17.629,1.000,-39.208,,,,,
2018-12-13,17:10:00,17.439,1.000,-39.323,,,,,
2018-12-13,17:15:00,17.249,1.000,-39.438,,,,,
2018-12-13,17:20:00,17.082,1.000,-39.539,,,,,
2018-12-13,17:25:00,16.844,1.000,-39.683,,,,,
2018-12-13,17:30:00,16.654,1.000,-39.799,,,,,
2018-12-13,17:35:00,16.463,1.000,-39.914,,,,,
2018-12-13,17:40:00,16.272,1.000,-40.030,,,,,
2018-12-13,17:45:00,16.106,1.000,-40.131,,,,,
2018-12-13,17:50:00,15.963,1.000,-40.218,,,,,
2018-12-13,17:55:00,15.796,1.000,-40.319,,,,,
2018-12-13,18:00:00,15.629,1.000,-40.420,,,,,
2018-12-13,18:05:00,15.509,1.000,-40.493,,,,,
2018-12-13,18:10:00,15.438,1.000,-40.536,,,,,
2018-12-13,18:15:00,15.342,1.000,-40.594,,,,,
2018-12-13,18:20:00,15.247,1.000,-40.653,,,,,
2018-12-13,18:25:00,15.175,1.000,-40.696,,,,,
2018-12-13,18:30:00,15.079,1.000,-40.754,,,,,
2018-12-13,18:35:00,15.008,1.000,-40.798,,,,,
2018-12-13,18:40:00,14.936,1.000,-40.841,,,,,
2018-12-13,18:45:00,14.864,1.000,-40.885,,,,,
2018-12-13,18:50:00,14.816,1.000,-40.914,,,,,
2018-12-13,18:55:00,14.816,1.000,-40.914,,,,,
2018-12-13,19:00:00,14.840,1.000,-40.900,,,,,
2018-12-13,19:05:00,14.864,1.000,-40.885,,,,,
2018-12-13,19:10:00,14.888,1.000,-40.870,,,,,
2018-12-13,19:15:00,14.912,1.000,-40.856,,,,,
2018-12-13,19:20:00,14.912,1.000,-40.856,,,,,
2018-12-13,19:25:00,14.912,1.000,-40.856,,,,,
2018-12-13,19:30:00,14.912,1.000,-40.856,,,,,
2018-12-13,19:35:00,14.912,1.000,-40.856,,,,,
2018-12-13,19:40:00,14.936,1.000,-40.841,,,,,
2018-12-13,19:45:00,14.960,1.000,-40.827,,,,,
2018-12-13,19:50:00,15.008,1.000,-40.798,,,,,
2018-12-13,19:55:00,15.031,1.000,-40.783,,,,,
2018-12-13,20:00:00,15.079,1.000,-40.754,,,,,
2018-12-13,20:05:00,15.103,1.000,-40.740,,,,,
2018-12-13,20:10:00,15.151,1.000,-40.711,,,,,
2018-12-13,20:15:00,15.175,1.000,-40.696,,,,,
2018-12-13,20:20:00,15.199,1.000,-40.682,,,,,
2018-12-13,20:25:00,15.247,1.000,-40.653,,,,,
2018-12-13,20:30:00,15.342,1.000,-40.594,,,,,
2018-12-13,20:35:00,15.414,1.000,-40.551,,,,,
2018-12-13,20:40:00,15.509,1.000,-40.493,,,,,
2018-12-13,20:45:00,15.557,1.000,-40.464,,,,,
2018-12-13,20:50:00,15.605,1.000,-40.435,,,,,
2018-12-13,20:55:00,15.652,1.000,-40.406,,,,,
2018-12-13,21:00:00,15.724,1.000,-40.362,,,,,
2018-12-13,21:05:00,15.796,1.000,-40.319,,,,,
2018-12-13,21:10:00,15.843,1.000,-40.290,,,,,
2018-12-13,21:15:00,15.867,1.000,-40.276,,,,,
2018-12-13,21:20:00,15.867,1.000,-40.276,,,,,
2018-12-13,21:25:00,15.867,1.000,-40.276,,,,,
2018-12-13,21:30:00,15.843,1.000,-40.290,,,,,
2018-12-13,21:35:00,15.843,1.000,-40.290,,,,,
2018-12-13,21:40:00,15.867,1.000,-40.276,,,,,
2018-12-13,21:45:00,15.891,1.000,-40.261,,,,,
2018-12-13,21:50:00,15.915,1.000,-40.247,,,,,
2018-12-13,21:55:00,15.939,1.000,-40.232,,,,,
2018-12-13,22:00:00,15.986,1.000,-40.203,,,,,
2018-12-13,22:05:00,16.034,1.000,-40.174,,,,,
2018-12-13,22:10:00,16.082,1.000,-40.145,,,,,
2018-12-13,22:15:00,16.106,1.000,-40.131,,,,,
2018-12-13,22:20:00,16.129,1.000,-40.116,,,,,
2018-12-13,22:25:00,16.177,1.000,-40.087,,,,,
2018-12-13,22:30:00,16.177,1.000,-40.087,,,,,
2018-12-13,22:35:00,16.225,1.000,-40.059,,,,,
2018-12-13,22:40:00,16.272,1.000,-40.030,,,,,
2018-12-13,22:45:00,16.368,1.000,-39.972,,,,,
2018-12-13,22:50:00,16.415,1.000,-39.943,,,,,
2018-12-13,22:55:00,16.439,1.000,-39.928,,,,,
2018-12-13,23:00:00,16.487,1.000,-39.900,,,,,
2018-12-13,23:05:00,16.534,1.000,-39.871,,,,,
2018-12-13,23:10:00,16.558,1.000,-39.856,,,,,
2018-12-13,23:15:00,16.606,1.000,-39.827,,,,,
2018-12-13,23:20:00,16.654,1.000,-39.799,,,,,
2018-12-13,23:25:00,16.677,1.000,-39.784,,,,,
2018-12-13,23:30:00,16.701,1.000,-39.770,,,,,
2018-12-13,23:35:00,16.701,1.000,-39.770,,,,,
2018-12-13,23:40:00,16.701,1.000,-39.770,,,,,
2018-12-13,23:45:00,16.773,1.000,-39.726,,,,,
2018-12-13,23:50:00,16.844,1.000,-39.683,,,,,
2018-12-13,23:55:00,16.868,1.000,-39.669,,,,,
2018-12-14,00:00:00,16.868,1.000,-39.669,,,,,
2018-12-14,00:05:00,16.844,1.000,-39.683,,,,,
2018-12-14,00:10:00,16.796,1.000,-39.712,,,,,
2018-12-14,00:15:00,16.749,1.000,-39.741,,,,,
2018-12-14,00:20:00,16.701,1.000,-39.770,,,,,
2018-12-14,00:25:00,16.654,1.000,-39.799,,,,,
2018-12-14,00:30:00,16.582,1.000,-39.842,,,,,
2018-12-14,00:35:00,16.534,1.000,-39.871,,,,,
2018-12-14,00:40:00,16.463,1.000,-39.914,,,,,
2018-12-14,00:45:00,16.415,1.000,-39.943,,,,,
2018-12-14,00:50:00,16.392,1.000,-39.957,,,,,
2018-12-14,00:55:00,16.344,1.000,-39.986,,,,,
2018-12-14,01:00:00,16.296,1.000,-40.015,,,,,
2018-12-14,01:05:00,16.272,1.000,-40.030,,,,,
2018-12-14,01:10:00,16.249,1.000,-40.044,,,,,
2018-12-14,01:15:00,16.201,1.000,-40.073,,,,,
2018-12-14,01:20:00,16.201,1.000,-40.073,,,,,
2018-12-14,01:25:00,16.177,1.000,-40.087,,,,,
2018-12-14,01:30:00,16.177,1.000,-40.087,,,,,
2018-12-14,01:35:00,16.177,1.000,-40.087,,,,,
2018-12-14,01:40:00,16.201,1.000,-40.073,,,,,
2018-12-14,01:45:00,16.177,1.000,-40.087,,,,,
2018-12-14,01:50:00,16.177,1.000,-40.087,,,,,
2018-12-14,01:55:00,16.153,1.000,-40.102,,,,,
2018-12-14,02:00:00,16.129,1.000,-40.116,,,,,
2018-12-14,02:05:00,16.129,1.000,-40.116,,,,,
2018-12-14,02:10:00,16.129,1.000,-40.116,,,,,
2018-12-14,02:15:00,16.129,1.000,-40.116,,,,,
2018-12-14,02:20:00,16.129,1.000,-40.116,,,,,
2018-12-14,02:25:00,16.106,1.000,-40.131,,,,,
2018-12-14,02:30:00,16.082,1.000,-40.145,,,,,
2018-12-14,02:35:00,16.058,1.000,-40.160,,,,,
2018-12-14,02:40:00,16.082,1.000,-40.145,,,,,
2018-12-14,02:45:00,16.082,1.000,-40.145,,,,,
