"Date","Time, GMT-04:00","Temp, °C","RH, %","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2018-06-21,11:00:00,25.793,79.177,Logged,,,,
2018-06-21,11:05:00,29.439,76.325,,,,,
2018-06-21,11:10:00,31.077,73.245,,,,,
2018-06-21,11:15:00,31.816,70.328,,,,,
2018-06-21,11:20:00,32.201,69.697,,,,,
2018-06-21,11:25:00,32.665,68.370,,,,,
2018-06-21,11:30:00,33.548,67.785,,,,,
2018-06-21,11:35:00,35.049,60.772,,,,,
2018-06-21,11:40:00,35.262,58.544,,,,,
2018-06-21,11:45:00,35.262,58.160,,,,,
2018-06-21,11:50:00,35.422,55.999,,,,,
2018-06-21,11:55:00,34.466,63.111,,,,,
2018-06-21,12:00:00,35.262,62.451,,,,,
2018-06-21,12:05:00,35.529,63.975,,,,,
2018-06-21,12:10:00,35.315,61.289,,,,,
2018-06-21,12:15:00,36.606,58.263,,,,,
2018-06-21,12:20:00,39.149,52.078,,,,,
2018-06-21,12:25:00,40.257,48.803,,,,,
2018-06-21,12:30:00,39.658,48.995,,,,,
2018-06-21,12:35:00,39.630,47.356,,,,,
2018-06-21,12:40:00,38.644,51.616,,,,,
2018-06-21,12:45:00,38.868,49.594,,,,,
2018-06-21,12:50:00,38.198,52.182,,,,,
2018-06-21,12:55:00,38.560,49.589,,,,,
2018-06-21,13:00:00,38.309,47.896,,,,,
2018-06-21,13:05:00,38.309,47.763,,,,,
2018-06-21,13:10:00,38.170,48.744,,,,,
2018-06-21,13:15:00,38.226,48.152,,,,,
2018-06-21,13:20:00,38.504,47.920,,,,,
2018-06-21,13:25:00,40.458,42.492,,,,,
2018-06-21,13:30:00,41.473,42.261,,,,,
2018-06-21,13:35:00,39.943,49.597,,,,,
2018-06-21,13:40:00,38.868,47.998,,,,,
2018-06-21,13:45:00,38.924,50.827,,,,,
2018-06-21,13:50:00,38.337,60.385,,,,,
2018-06-21,13:55:00,37.343,67.007,,,,,
2018-06-21,14:00:00,35.716,67.665,,,,,
2018-06-21,14:05:00,33.730,71.834,,,,,
2018-06-21,14:10:00,32.458,77.697,,,,,
2018-06-21,14:15:00,31.791,78.481,,,,,
2018-06-21,14:20:00,30.950,81.360,,,,,
2018-06-21,14:25:00,31.382,82.907,,,,,
2018-06-21,14:30:00,32.175,80.358,,,,,
