date,installation,status,plot_id,logger_id,hours_above_85,hours_below_75,daily_min_rh
2019-07-11,hancock,native,n1,10,18.916666666666668,1.5833333333333333,69.092
2019-07-11,hancock,native,n2,01,21.416666666666668,NA,78.47
2019-07-12,hancock,invaded,i4,15,24,NA,100
2019-07-12,hancock,native,n1,10,15.75,1.1666666666666667,70.552
2019-07-12,hancock,native,n2,01,20.75,NA,77.711
2019-07-13,hancock,invaded,i4,15,24,NA,99.201
2019-07-13,hancock,native,n1,10,14.833333333333334,5.666666666666667,63.682
2019-07-13,hancock,native,n2,01,18.75,0.4166666666666667,71.186
2019-07-14,hancock,invaded,i4,15,24,NA,91.213
2019-07-14,hancock,native,n1,10,11.75,9.333333333333334,50.668
2019-07-14,hancock,native,n2,01,11.25,5.666666666666667,58.454
2019-07-15,hancock,invaded,i4,15,24,NA,94.686
2019-07-15,hancock,native,n1,10,15.25,5.5,52.281
2019-07-15,hancock,native,n2,01,18.666666666666668,3.75,62.108
2019-07-16,hancock,invaded,i4,15,24,NA,91.027
2019-07-16,hancock,native,n1,10,17.25,6.083333333333333,56.397
2019-07-16,hancock,native,n2,01,19,0.3333333333333333,73.042
2019-07-17,hancock,invaded,i3,08,9.583333333333334,5.25,63.557
2019-07-17,hancock,invaded,i4,15,24,NA,95.213
2019-07-17,hancock,native,n1,10,16.666666666666668,5.666666666666667,55.576
2019-07-17,hancock,native,n2,01,18.166666666666668,4.083333333333333,64.445
2019-07-18,hancock,invaded,i3,08,8.666666666666666,NA,78.581
2019-07-18,hancock,invaded,i4,15,24,NA,100
2019-07-18,hancock,native,n1,10,23.083333333333332,NA,80.372
2019-07-18,hancock,native,n2,01,24,NA,88.171
2019-07-19,hancock,invaded,i4,15,24,NA,100
2019-07-19,hancock,native,n1,10,16.666666666666668,4.25,65
2019-07-19,hancock,native,n2,01,19.333333333333332,NA,75.156
2019-07-20,hancock,invaded,i3,08,8.416666666666666,2,72.286
2019-07-20,hancock,invaded,i4,15,24,NA,100
2019-07-20,hancock,native,n1,10,19.416666666666668,3,61.969
2019-07-20,hancock,native,n2,01,19.833333333333332,1.6666666666666667,68.139
2019-07-21,hancock,invaded,i3,08,17.5,0.08333333333333333,73.631
2019-07-21,hancock,invaded,i4,15,24,NA,100
2019-07-21,hancock,native,n1,10,20.833333333333332,0.25,72.823
2019-07-21,hancock,native,n2,01,23.083333333333332,NA,78.521
2019-07-22,hancock,invaded,i3,08,11.166666666666666,NA,79.474
2019-07-22,hancock,invaded,i4,15,24,NA,100
2019-07-22,hancock,native,n1,10,21.5,0.08333333333333333,74.756
2019-07-22,hancock,native,n2,01,23.333333333333332,NA,80.986
2019-07-23,hancock,invaded,i3,08,17.666666666666668,NA,80.091
2019-07-23,hancock,invaded,i4,15,24,NA,100
2019-07-23,hancock,native,n1,10,23,NA,78.595
2019-07-23,hancock,native,n2,01,23.666666666666668,NA,83.131
2019-07-24,hancock,invaded,i3,08,24,NA,85.417
2019-07-24,hancock,invaded,i4,15,24,NA,100
2019-07-24,hancock,native,n1,10,24,NA,85.754
2019-07-24,hancock,native,n2,01,24,NA,90.766
2019-07-25,hancock,invaded,i3,08,24,NA,88.608
