date,installation,status,plot_id,logger_id,hours_above_80,hours_below_80,days,daily_min_rh
2019-07-09,wes,invaded,i3,19,4.583333333333333,19.416666666666668,27,60.977
2019-07-09,wes,invaded,i3,23,24,0,27,97.865
2019-07-09,wes,native,n1,17,23.75,0.25,27,77.451
2019-07-09,wes,native,n1,24,23.166666666666668,0.8333333333333334,27,74.006
2019-07-10,wes,invaded,i3,19,5.75,18.25,28,61.556
2019-07-10,wes,invaded,i3,23,24,0,28,97.485
2019-07-10,wes,native,n1,17,24,0,28,80.365
2019-07-10,wes,native,n1,24,23.5,0.5,28,72.685
2019-07-11,wes,invaded,i3,19,2.1666666666666665,21.833333333333332,29,62.178
2019-07-11,wes,invaded,i3,23,24,0,29,96.696
2019-07-11,wes,native,n1,17,22,2,29,71.37
2019-07-11,wes,native,n1,24,23,1,29,70.204
2019-07-12,wes,invaded,i3,19,13.75,10.25,30,62.595
2019-07-12,wes,invaded,i3,23,24,0,30,99.19
2019-07-12,wes,native,n1,17,23.75,0.25,30,78.107
2019-07-12,wes,native,n1,24,24,0,30,84.709
2019-07-13,wes,invaded,i3,19,10.333333333333334,13.666666666666666,31,68.646
2019-07-13,wes,invaded,i3,23,24,0,31,99.367
2019-07-13,wes,native,n1,17,24,0,31,88.282
2019-07-13,wes,native,n1,24,24,0,31,85.641
2019-07-14,wes,invaded,i3,19,7.333333333333333,16.666666666666668,32,61.777
2019-07-14,wes,invaded,i3,23,24,0,32,98.736
2019-07-14,wes,native,n1,17,23.166666666666668,0.8333333333333334,32,77.484
2019-07-14,wes,native,n1,24,22.25,1.75,32,66.768
2019-07-15,wes,invaded,i3,19,4,20,33,61.518
2019-07-15,wes,invaded,i3,23,24,0,33,97.493
2019-07-15,wes,native,n1,17,20.333333333333332,3.6666666666666665,33,70.557
2019-07-15,wes,native,n1,24,21.5,2.5,33,52.03
2019-07-16,wes,invaded,i3,19,4.416666666666667,19.583333333333332,34,61.814
2019-07-16,wes,invaded,i3,23,24,0,34,97.852
2019-07-16,wes,native,n1,17,23.833333333333332,0.16666666666666666,34,78.227
2019-07-16,wes,native,n1,24,23.916666666666668,0.08333333333333333,34,79.145
2019-07-17,wes,invaded,i3,19,5.166666666666667,18.833333333333332,35,61.661
2019-07-17,wes,invaded,i3,23,24,0,35,98.052
2019-07-17,wes,native,n1,17,24,0,35,82.243
2019-07-17,wes,native,n1,24,24,0,35,85.377
2019-07-18,wes,invaded,i3,19,9.583333333333334,14.416666666666666,36,70.092
2019-07-18,wes,invaded,i3,23,24,0,36,99.656
2019-07-18,wes,native,n1,17,24,0,36,98.883
2019-07-18,wes,native,n1,24,21.916666666666668,2.0833333333333335,36,74.399
2019-07-19,wes,invaded,i3,19,8.5,15.5,37,62.041
2019-07-19,wes,invaded,i3,23,24,0,37,99.025
2019-07-19,wes,native,n1,17,24,0,37,86.316
2019-07-19,wes,native,n1,24,24,0,37,83.389
2019-07-20,wes,invaded,i3,19,11.416666666666666,12.583333333333334,38,61.527
2019-07-20,wes,invaded,i3,23,24,0,38,98.868
2019-07-20,wes,native,n1,17,22.333333333333332,1.6666666666666667,38,74.092
2019-07-20,wes,native,n1,24,22.333333333333332,1.6666666666666667,38,60.367
2019-07-21,wes,invaded,i3,19,16.416666666666668,7.583333333333333,39,71.228
2019-07-21,wes,invaded,i3,23,24,0,39,99.61
2019-07-21,wes,native,n1,17,24,0,39,84.172
2019-07-21,wes,native,n1,24,23.666666666666668,0.3333333333333333,39,75.547
2019-07-22,wes,invaded,i3,19,6,18,40,65.706
2019-07-22,wes,invaded,i3,23,24,0,40,100
2019-07-22,wes,native,n1,17,24,0,40,94.724
2019-07-22,wes,native,n1,24,19.916666666666668,4.083333333333333,40,63.167
2019-07-23,wes,invaded,i3,23,24,0,41,100
2019-07-23,wes,native,n1,17,24,0,41,100
2019-07-23,wes,native,n1,24,22.583333333333332,1.4166666666666667,41,76.28
2019-07-24,wes,invaded,i3,23,24,0,42,100
2019-07-24,wes,native,n1,17,24,0,42,100
2019-07-24,wes,native,n1,24,24,0,42,82.743
2019-07-25,wes,invaded,i3,23,24,0,43,98.806
2019-07-25,wes,native,n1,17,24,0,43,100
2019-07-25,wes,native,n1,24,20.666666666666668,3.3333333333333335,43,77.455
2019-07-26,wes,invaded,i3,23,24,0,44,95.37
2019-07-26,wes,native,n1,17,24,0,44,100
2019-07-26,wes,native,n1,24,4.416666666666667,19.583333333333332,44,66.927
2019-07-27,wes,invaded,i3,23,24,0,45,86.288
2019-07-27,wes,native,n1,17,24,0,45,99.597
2019-07-27,wes,native,n1,24,3.4166666666666665,20.25,45,20.324
2019-07-28,wes,invaded,i3,23,24,0,46,95.882
2019-07-28,wes,native,n1,17,24,0,46,89.487
