installation,date,unit,id,fuel_ht,green_ht,brown_ht,litter_ht,duff_ht,pct_green,standing_mass_wet,litter_mass_wet,flame_ht1,flame_ht2,standing_mass_dry,litter_mass_dry,standing_biomass_type,green_ht1,green_ht2,green_ht3,brown_ht1,brown_ht2,brown_ht3,veg_ht1,veg_ht2,veg_ht3,litter_ht1,litter_ht2,litter_ht3,%green,%litter,%woody,live_mass_wet,dead_mass_wet
blanding,20170425,c,flame1,50,,,7,0,30,15.65,16.8,,,,,,,,,,,,71,35,46,18,12,14,30,38,0,4.13,11.52
blanding,20170425,c,flame2,105,,,8,0,10,21.55,3.7,,,,,,,,,,,,81,86,66,6,3,9,10,8,0,4.38,17.17
blanding,20170425,c,flame3,,,,,,,18.62,8.62,,,,,,,,,,,,102,83,45,10,3,10,15,9,0,4.24,14.38
blanding,20170425,c,flame4,55,,,13,0,40,25.9,6.95,,,,,,,,,,,,49,60,45,12,9,17,40,27,0,13.76,12.14
blanding,20170425,c,flame5,32,,,10,0,45,27.94,11.01,,,,,,,,,,,,68,15,70,11,12,10,45,10,0,7.43,20.51
blanding,20170427,c,flame6,20,,,5,0,35,39.53,13.93,,,,,,,,,,,,43,27,20,24,20,18,35,50,2,10.1,29.43
blanding,20170427,c,flame7,26,,,11,0,10,12.48,19.17,,,,,,,,,,,,29,24,41,9,9,7,5,80,0,6.31,6.17
blanding,20170427,c,flame8,30,,,11,0,,6.83,11.92,,,,,,,,,,,,65,35,37,19,5,11,10,10,0,4.1,2.73
blanding,20170706,c,fabio naturale,,21,20,6,0,15,18.43,16.67,NA,NA,15.63,14.97,wiregrass,32,39,54,42,21,42,,,,3,8,7,30,,,,
blanding,20170706,c,flame1,,32,26,9,0,25,13.16,15.92,62,77,9.58,13.19,wiregrass,,,,,,,,,,,,,,,,,
blanding,20170706,c,flame3,,48,38,6,0,40,26.7,15,43,NA,22.12,12.26,wiregrass,,,,,,,,,,,,,,,,,
blanding,20170706,c,flame4,,33,20,6,0,35,18.37,9.46,32,43,12.72,8.17,wiregrass,,,,,,,,,,,,,,,,,
blanding,20170706,c,flame5,,27,11,3,0,20,19.36,15.64,51,21.5,9.92,13.41,mix native grass,,,,,,,,,,,,,,,,,
blanding,20170706,c,flame6,,20,21,4,0,35,20.59,14.86,10,28,15.11,12.39,wiregrass,,,,,,,,,,,,,,,,,
blanding,20170706,c,flame7,,30,25,7,0,25,8.36,19.11,18,2,6.36,15.49,wiregrass,,,,,,,,,,,,,,,,,
blanding,20170706,c,flame8,,35,42,5,0,15,13.41,18.89,130,128,9.41,15.38,wiregrass,,,,,,,,,,,,,,,,,
