date,fire_id,fabio_id,biomass,litter_biomass,pct_green,green_ht1,green_ht2,green_ht3,brown_ht1,brown_ht2,brown_ht3,litter_depth1,litter_depth2,litter_depth3,flame_ht1,flame_ht2,remaining_biomass,dry_remaining_biomass,biomass_type,structure,fuel_moisture_wet,fuel_moisture_dry,rate_of_spread_50cm,notes
20170705,1,1,800,0,75,105,105,105,78,97,79,0,0,0,NA,NA,459.64,245.19,cogongrass,standing,NA,NA,NA,
20170705,2,2,3000,2000,75,125,112,127,101,107,110,21,19,20,243,NA,130.96,91.17,cogongrass,both,NA,NA,NA,
20170705,3,2,1000,0,25,83,83,84,90,75,85,0,0,0,85,NA,75.23,51.39,cogongrass,standing,NA,NA,NA,
20170705,4,1,200,0,75,117,98,112,114,71,105,0,0,0,NA,NA,158.71,91.94,cogongrass,standing,NA,NA,NA,
20170705,5,2,200,0,25,63,65,69,77,66,74,0,0,0,54,NA,104.38,80.2,cogongrass,standing,NA,NA,NA,
20170705,6,1,600,0,75,98,103,106,105,103,84,0,0,0,NA,NA,407.86,223.83,cogongrass,standing,NA,NA,NA,
20170705,7,1,1000,0,75,110,98,96,108,112,90,0,0,0,NA,NA,578.36,315.46,cogongrass,standing,NA,NA,NA,
20170705,8,1,3000,2000,25,185,125,95,100,97,111,20,23,15,245,NA,36.4,29.9,cogongrass,both,NA,NA,NA,
20170712,9,2,2000,2000,75,133,139,144,142,127,130,14,16,16,244,217,203.64,140.1,cogongrass,both,NA,NA,NA,
20170712,10,2,3000,0,75,140,143,132,130,125,120,0,0,0,141,122,783.89,446.66,cogongrass,standing,NA,NA,NA,
20170712,11,1,2000,500,25,120,118,131,112,109,112,15,10,9,90,163,44.3,32.56,cogongrass,both,NA,NA,NA,
20170712,12,2,0,2000,0,0,0,0,0,0,0,20,19,22,52,106,0,NA,cogongrass,piled,NA,NA,NA,
20170712,13,1,200,2000,25,88,61,60,112,75,102,20,17,21,118,57,2.5,2.23,cogongrass,both,NA,NA,NA,
20170712,14,2,600,1000,25,110,72,68,118,70,101,6,6,9,80,66,41.57,31.76,cogongrass,both,NA,NA,NA,
20170712,15,1,600,1000,75,98,98,113,83,119,80,8,6,9,70,57,128.32,82.29,cogongrass,both,NA,NA,NA,
20170712,16,1,2000,500,75,127,130,126,117,98,103,6,5,5,92,78,331.31,193.16,cogongrass,both,NA,NA,NA,
20170712,17,2,1000,500,25,115,120,130,112,109,115,7,8,6,125,114,107.18,60.03,cogongrass,both,NA,NA,NA,
20170714,18,2,1500,0,25,84,87,82,120,121,125,0,0,0,122,155,0,NA,wiregrass,standing,NA,NA,NA,
20170714,19,2,3000,0,75,67,65,66,110,111,108,0,0,0,158,167,26.66,24.28,wiregrass,standing,NA,NA,NA,
20170714,20,2,1000,0,75,92,88,70,110,105,96,0,0,0,16,66,23.64,20.3,wiregrass,standing,NA,NA,NA,
20170714,21,2,600,0,75,63,70,68,105,100,102,0,0,0,94,18,156.95,122.4,wiregrass,standing,NA,NA,NA,
20170714,22,2,200,0,25,45,37,42,110,100,95,0,0,0,15,0,109.09,97.88,wiregrass,standing,NA,NA,NA,
20170714,23,2,600,0,25,66,40,57,100,112,120,0,0,0,44,56,50.45,46.3,wiregrass,standing,NA,NA,NA,
20170714,24,2,1000,0,25,54,72,79,113,125,110,0,0,0,94,58,5.7,5.04,wiregrass,standing,NA,NA,NA,
20170907,25,2,1500,0,75,127,141,113,99,94,96,0,0,0,96,NA,881.26,346.39,cogongrass,standing,16.13,9.11,NA,
20170907,26,2,2500,0,75,131,131,141,102,117,112,0,0,0,89,133,817.81,391.79,cogongrass,standing,16.93,9.83,NA,
20170907,27,2,600,500,75,118,115,102,97,93,97,7,8,10,32,39,180.49,106.19,cogongrass,both,36.7,23.25,NA,
20170907,28,2,600,0,25,130,88,137,103,94,102,0,0,0,61,0,254.49,182.65,cogongrass,standing,17.48,13.16,NA,
20170907,29,2,1200,0,75,130,123,139,130,95,119,0,0,0,30,0,831.65,420.08,cogongrass,standing,30.27,19.2,NA,
20170907,30,2,800,0,25,108,123,123,94,88,110,0,0,0,13,0,415.46,285.1,cogongrass,standing,12.26,10.32,NA,
20170907,31,2,400,0,75,126,106,120,105,97,114,0,0,0,NA,NA,286.2,172.97,cogongrass,standing,14.34,8.94,NA,
20170907,32,2,400,0,25,120,131,143,140,125,117,0,0,0,NA,NA,320.92,258,cogongrass,standing,6.61,5.75,NA,
20170907,33,2,800,500,25,137,126,135,140,116,133,7,5,5,120,156,23.02,17.55,cogongrass,both,9.01,7.15,NA,
20170907,34,2,800,500,75,125,113,111,127,106,118,5,6,7,54,47,260.74,150.22,cogongrass,both,11.64,7.46,NA,
20170907,35,2,1200,500,25,89,125,130,115,144,121,5,5,7,126,167,52.78,39.33,cogongrass,both,7.54,6.4,NA,
20170907,36,2,3000,0,25,137,118,105,125,119,121,0,0,0,275,275,68.05,43.2,cogongrass,standing,9.07,7.24,NA,
20170907,37,2,200,500,75,104,96,107,95,96,85,6,7,5,25,33,57.1,38.83,cogongrass,both,7.63,5.6,NA,
20170908,38,2,1200,0,25,98,99,129,120,121,126,0,0,0,100,115,47.38,36.8,cogongrass,standing,7.16,5.74,NA,
20170908,39,2,400,500,25,110,115,120,120,120,115,4,5,5,39,56,65.6,55.13,cogongrass,both,6.41,5.47,NA,
20170908,40,2,1500,500,25,124,115,110,130,120,119,9,7,8,180,90,27.24,21.53,cogongrass,both,8.86,7.66,NA,
20170908,41,2,600,500,25,90,80,95,105,100,107,10,8,8,81,87,22.24,19.14,cogongrass,both,10.79,9.29,NA,
20170908,42,2,0,3500,25,38,50,64,72,63,50,41,39,38,86,170,19.4,12.92,cogongrass,piled,90.92,75.64,NA,piled fuel laid flat; mass estimated
20171201,43,1,250,0,NA,8,6,11,NA,NA,NA,0,0,0,27,21,6.87,5.86,cogongrass,piled,15.48,13.12,22.24,
20171201,44,2,250,0,NA,155,149,145,NA,NA,NA,0,0,0,17,0,164.52,134.25,cogongrass,standing,19.36,15.57,0,
20171201,45,1,500,0,NA,7,7,12,NA,NA,NA,0,0,0,18,56,11.71,10.33,cogongrass,piled,26.02,22.41,45.62,
20171201,46,2,500,0,NA,132,130,134,NA,NA,NA,0,0,0,59,72,76.71,66.5,cogongrass,standing,18.66,16.94,11.95,
20171201,47,1,1000,0,NA,21,12,24,NA,NA,NA,0,0,0,76,49,7.25,6.54,cogongrass,piled,25.9,23.41,71.48,
20171201,48,2,1000,0,NA,134,134,145,NA,NA,NA,0,0,0,73,90,30.9,25.56,cogongrass,standing,14.78,12.56,10.64,
20171201,49,1,1500,0,NA,28,22,33,NA,NA,NA,0,0,0,162,152,0,NA,cogongrass,piled,13.09,11.82,82.29,
20171201,50,2,1500,0,NA,155,148,160,NA,NA,NA,0,0,0,174,173,6.23,5.39,cogongrass,standing,24.03,21.05,21.98,
20171204,51,1,2000,0,NA,16,15,21,NA,NA,NA,0,0,0,130,71,0,NA,cogongrass,piled,27.9,23.83,29.04,
20171204,52,2,2000,0,NA,177,155,160,NA,NA,NA,0,0,0,146,130,14.7,13.14,cogongrass,standing,25.31,22,3.15,
20171204,53,1,250,0,NA,4,3,7,NA,NA,NA,0,0,0,30,24,7.8,7.74,cogongrass,piled,17.91,17.08,42.54,
20171204,54,2,250,0,NA,140,132,141,NA,NA,NA,0,0,0,0,0,180.16,161.66,cogongrass,standing,18.27,16.81,0,
20171204,55,1,500,0,NA,9,9,10,NA,NA,NA,0,0,0,85,33,10.38,9,cogongrass,piled,16.79,14.74,58.87,
20171204,56,2,500,0,NA,125,144,128,NA,NA,NA,0,0,0,19,2,88.03,77.63,cogongrass,standing,27.41,23.85,66.07,
20171204,57,1,1000,0,NA,17,13,16,NA,NA,NA,0,0,0,48,68,6.45,5.84,cogongrass,piled,25.76,23.23,57.52,
20171204,58,2,1000,0,NA,145,143,146,NA,NA,NA,0,0,0,178,115,25.15,22.98,cogongrass,standing,25,21.2,29.14,
20171204,59,1,1000,0,NA,12,9,12,NA,NA,NA,0,0,0,72,66,5.6,5.6,cogongrass,piled,36.16,30.67,95.66,
20171204,60,2,1000,0,NA,155,154,162,NA,NA,NA,0,0,0,154,210,65.76,56.66,cogongrass,standing,37.16,31.85,15.58,
20171204,61,1,2000,0,NA,18,18,22,NA,NA,NA,0,0,0,177,101,2.19,1.81,cogongrass,piled,51.7,46.39,79.69,
20171204,62,2,2000,0,NA,155,152,163,NA,NA,NA,0,0,0,241,255,11.05,9.49,cogongrass,standing,40.37,34.12,5.15,
20171205,63,1,250,0,NA,5,6,7,NA,NA,NA,0,0,0,6,30,6.53,6.03,cogongrass,piled,21.14,18.24,48.82,
20171205,64,2,250,0,NA,140,143,140,NA,NA,NA,0,0,0,0,0,192.91,174.69,cogongrass,standing,19.55,17.53,0,
20171205,65,1,500,0,NA,10,10,12,NA,NA,NA,0,0,0,27,50,2.51,2.33,cogongrass,piled,17.69,15.78,16.12,
20171205,66,2,500,0,NA,120,123,128,NA,NA,NA,0,0,0,18,75,127.3,117.12,cogongrass,standing,18.57,16.8,4.98,
20171205,67,1,1000,0,NA,13,12,15,NA,NA,NA,0,0,0,46,72,2.35,2.2,cogongrass,piled,48.55,43.16,36.2,
20171205,68,2,1000,0,NA,135,143,150,NA,NA,NA,0,0,0,72,113,23.04,21.25,cogongrass,standing,38.37,34.26,2.79,
20171205,69,1,1500,0,NA,16,18,20,NA,NA,NA,0,0,0,45,60,3.3,3.14,cogongrass,piled,18.03,16.4,19.07,
20171205,70,2,1500,0,NA,140,135,158,NA,NA,NA,0,0,0,98,170,12.76,11.64,cogongrass,standing,18.33,16.98,5.65,
20171205,71,1,2000,0,NA,25,26,36,NA,NA,NA,0,0,0,120,170,0,NA,cogongrass,piled,37.94,33.73,46.04,
20171205,72,2,2000,0,NA,143,144,159,NA,NA,NA,0,0,0,256,200,18.61,17.37,cogongrass,standing,32.01,29.82,6.5,
20171205,73,1,1500,0,NA,12,15,16,NA,NA,NA,0,0,0,44,66,2.82,2.82,cogongrass,piled,34.78,31.71,48.79,
20171205,74,2,1500,0,NA,136,140,155,NA,NA,NA,0,0,0,178,98,6.4,6.05,cogongrass,standing,40.88,37.59,6.7,
