"Date","Time, GMT-05:00","K-Type, °C"
2017/12/04,12:35:33,30.01
2017/12/04,12:35:34,30.01
2017/12/04,12:35:35,30.01
2017/12/04,12:35:36,29.67
2017/12/04,12:35:37,29.67
2017/12/04,12:35:38,29.34
2017/12/04,12:35:39,29.34
2017/12/04,12:35:40,29.01
2017/12/04,12:35:41,29.01
2017/12/04,12:35:42,29.01
2017/12/04,12:35:43,29.01
2017/12/04,12:35:44,29.01
2017/12/04,12:35:45,29.01
2017/12/04,12:35:46,29.01
2017/12/04,12:35:47,29.01
2017/12/04,12:35:48,28.67
2017/12/04,12:35:49,28.67
2017/12/04,12:35:50,28.67
2017/12/04,12:35:51,28.67
2017/12/04,12:35:52,28.67
2017/12/04,12:35:53,28.67
2017/12/04,12:35:54,28.67
2017/12/04,12:35:55,29.01
2017/12/04,12:35:56,29.01
2017/12/04,12:35:57,29.01
2017/12/04,12:35:58,29.01
2017/12/04,12:35:59,29.01
2017/12/04,12:36:00,29.01
2017/12/04,12:36:01,29.01
2017/12/04,12:36:02,29.01
2017/12/04,12:36:03,29.01
2017/12/04,12:36:04,29.01
2017/12/04,12:36:05,28.67
2017/12/04,12:36:06,28.67
2017/12/04,12:36:07,28.67
2017/12/04,12:36:08,28.67
2017/12/04,12:36:09,28.67
2017/12/04,12:36:10,28.67
2017/12/04,12:36:11,28.34
2017/12/04,12:36:12,28.34
2017/12/04,12:36:13,28.34
2017/12/04,12:36:14,28.34
2017/12/04,12:36:15,28.34
2017/12/04,12:36:16,28.34
2017/12/04,12:36:17,28.34
2017/12/04,12:36:18,28.34
2017/12/04,12:36:19,28.34
2017/12/04,12:36:20,28.67
2017/12/04,12:36:21,28.34
2017/12/04,12:36:22,28.34
2017/12/04,12:36:23,28.34
2017/12/04,12:36:24,28.34
2017/12/04,12:36:25,28.34
2017/12/04,12:36:26,28.34
2017/12/04,12:36:27,28.34
2017/12/04,12:36:28,28.34
2017/12/04,12:36:29,28.34
2017/12/04,12:36:30,28.34
2017/12/04,12:36:31,28.34
2017/12/04,12:36:32,28.34
2017/12/04,12:36:33,28.67
2017/12/04,12:36:34,28.67
2017/12/04,12:36:35,28.67
2017/12/04,12:36:36,29.01
2017/12/04,12:36:37,29.01
2017/12/04,12:36:38,29.01
2017/12/04,12:36:39,29.01
2017/12/04,12:36:40,29.01
2017/12/04,12:36:41,29.01
2017/12/04,12:36:42,29.01
2017/12/04,12:36:43,29.34
2017/12/04,12:36:44,29.34
