"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249232)"
2017/07/05,12:32:47,36.01
2017/07/05,12:32:48,35.34
2017/07/05,12:32:49,34.68
2017/07/05,12:32:50,35.01
2017/07/05,12:32:51,35.01
2017/07/05,12:32:52,35.01
2017/07/05,12:32:53,34.01
2017/07/05,12:32:54,33.35
2017/07/05,12:32:55,33.01
2017/07/05,12:32:56,33.01
2017/07/05,12:32:57,33.01
2017/07/05,12:32:58,33.01
2017/07/05,12:32:59,33.35
2017/07/05,12:33:00,33.01
2017/07/05,12:33:01,33.35
2017/07/05,12:33:02,33.35
2017/07/05,12:33:03,33.35
2017/07/05,12:33:04,34.01
2017/07/05,12:33:05,34.68
2017/07/05,12:33:06,35.01
2017/07/05,12:33:07,35.68
2017/07/05,12:33:08,36.01
2017/07/05,12:33:09,36.34
2017/07/05,12:33:10,36.67
2017/07/05,12:33:11,36.67
2017/07/05,12:33:12,36.01
2017/07/05,12:33:13,35.68
2017/07/05,12:33:14,35.68
2017/07/05,12:33:15,35.34
2017/07/05,12:33:16,35.34
2017/07/05,12:33:17,35.68
2017/07/05,12:33:18,35.68
2017/07/05,12:33:19,35.01
2017/07/05,12:33:20,34.34
2017/07/05,12:33:21,34.01
2017/07/05,12:33:22,33.68
2017/07/05,12:33:23,34.34
2017/07/05,12:33:24,34.68
2017/07/05,12:33:25,35.01
2017/07/05,12:33:26,35.01
2017/07/05,12:33:27,35.34
2017/07/05,12:33:28,35.34
2017/07/05,12:33:29,35.34
2017/07/05,12:33:30,35.34
2017/07/05,12:33:31,35.34
2017/07/05,12:33:32,35.34
2017/07/05,12:33:33,35.01
2017/07/05,12:33:34,35.01
2017/07/05,12:33:35,35.34
2017/07/05,12:33:36,35.68
2017/07/05,12:33:37,36.01
2017/07/05,12:33:38,35.68
2017/07/05,12:33:39,35.68
2017/07/05,12:33:40,35.68
2017/07/05,12:33:41,36.01
2017/07/05,12:33:42,36.01
2017/07/05,12:33:43,36.01
2017/07/05,12:33:44,35.68
2017/07/05,12:33:45,35.34
2017/07/05,12:33:46,35.68
2017/07/05,12:33:47,35.34
2017/07/05,12:33:48,35.68
2017/07/05,12:33:49,35.68
2017/07/05,12:33:50,36.01
2017/07/05,12:33:51,36.01
2017/07/05,12:33:52,36.01
2017/07/05,12:33:53,36.01
2017/07/05,12:33:54,36.01
2017/07/05,12:33:55,36.01
2017/07/05,12:33:56,36.01
2017/07/05,12:33:57,36.01
2017/07/05,12:33:58,36.01
2017/07/05,12:33:59,35.68
2017/07/05,12:34:00,35.68
2017/07/05,12:34:01,35.68
2017/07/05,12:34:02,35.68
2017/07/05,12:34:03,35.68
2017/07/05,12:34:04,35.68
2017/07/05,12:34:05,35.68
2017/07/05,12:34:06,35.68
2017/07/05,12:34:07,36.01
2017/07/05,12:34:08,36.01
2017/07/05,12:34:09,35.34
2017/07/05,12:34:10,35.34
2017/07/05,12:34:11,35.68
2017/07/05,12:34:12,35.68
2017/07/05,12:34:13,35.34
2017/07/05,12:34:14,35.34
2017/07/05,12:34:15,35.01
2017/07/05,12:34:16,35.01
2017/07/05,12:34:17,35.34
2017/07/05,12:34:18,35.01
2017/07/05,12:34:19,35.01
2017/07/05,12:34:20,35.01
2017/07/05,12:34:21,35.01
2017/07/05,12:34:22,35.34
2017/07/05,12:34:23,35.34
2017/07/05,12:34:24,35.68
2017/07/05,12:34:25,35.68
2017/07/05,12:34:26,35.34
2017/07/05,12:34:27,34.68
2017/07/05,12:34:28,34.68
2017/07/05,12:34:29,35.01
2017/07/05,12:34:30,35.34
2017/07/05,12:34:31,35.34
2017/07/05,12:34:32,35.34
2017/07/05,12:34:33,35.68
2017/07/05,12:34:34,35.34
2017/07/05,12:34:35,35.34
2017/07/05,12:34:36,35.34
2017/07/05,12:34:37,35.34
2017/07/05,12:34:38,35.68
2017/07/05,12:34:39,35.68
2017/07/05,12:34:40,35.68
2017/07/05,12:34:41,36.01
2017/07/05,12:34:42,36.01
2017/07/05,12:34:43,36.01
2017/07/05,12:34:44,36.01
2017/07/05,12:34:45,36.34
2017/07/05,12:34:46,36.01
