"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2256867)"
2017/07/06,09:18:00,29.01
2017/07/06,09:18:01,28.67
2017/07/06,09:18:02,28.34
2017/07/06,09:18:03,28.34
2017/07/06,09:18:04,28.00
2017/07/06,09:18:05,28.34
2017/07/06,09:18:06,29.01
2017/07/06,09:18:07,29.34
2017/07/06,09:18:08,29.34
2017/07/06,09:18:09,30.01
2017/07/06,09:18:10,30.01
2017/07/06,09:18:11,30.34
2017/07/06,09:18:12,30.68
2017/07/06,09:18:13,31.01
2017/07/06,09:18:14,31.34
2017/07/06,09:18:15,31.68
2017/07/06,09:18:16,31.01
2017/07/06,09:18:17,31.01
2017/07/06,09:18:18,30.68
2017/07/06,09:18:19,30.34
2017/07/06,09:18:20,30.01
2017/07/06,09:18:21,30.34
2017/07/06,09:18:22,30.34
2017/07/06,09:18:23,30.68
2017/07/06,09:18:24,30.68
2017/07/06,09:18:25,30.68
2017/07/06,09:18:26,30.34
2017/07/06,09:18:27,30.01
2017/07/06,09:18:28,29.67
2017/07/06,09:18:29,30.01
2017/07/06,09:18:30,30.34
2017/07/06,09:18:31,30.34
2017/07/06,09:18:32,31.34
2017/07/06,09:18:33,31.68
2017/07/06,09:18:34,31.68
2017/07/06,09:18:35,31.68
2017/07/06,09:18:36,31.68
2017/07/06,09:18:37,31.34
2017/07/06,09:18:38,31.34
2017/07/06,09:18:39,31.34
2017/07/06,09:18:40,31.34
2017/07/06,09:18:41,31.68
2017/07/06,09:18:42,31.68
2017/07/06,09:18:43,32.01
2017/07/06,09:18:44,31.68
2017/07/06,09:18:45,31.01
2017/07/06,09:18:46,31.01
2017/07/06,09:18:47,30.34
2017/07/06,09:18:48,30.01
2017/07/06,09:18:49,29.67
2017/07/06,09:18:50,29.67
2017/07/06,09:18:51,30.34
2017/07/06,09:18:52,31.01
2017/07/06,09:18:53,31.01
2017/07/06,09:18:54,31.34
2017/07/06,09:18:55,31.34
2017/07/06,09:18:56,31.68
2017/07/06,09:18:57,31.68
2017/07/06,09:18:58,31.68
2017/07/06,09:18:59,31.68
2017/07/06,09:19:00,31.68
2017/07/06,09:19:01,31.68
2017/07/06,09:19:02,31.68
2017/07/06,09:19:03,31.68
2017/07/06,09:19:04,32.35
2017/07/06,09:19:05,32.68
2017/07/06,09:19:06,32.68
2017/07/06,09:19:07,32.35
2017/07/06,09:19:08,32.35
2017/07/06,09:19:09,32.01
2017/07/06,09:19:10,31.68
2017/07/06,09:19:11,31.34
2017/07/06,09:19:12,31.01
2017/07/06,09:19:13,31.34
2017/07/06,09:19:14,31.34
2017/07/06,09:19:15,31.34
2017/07/06,09:19:16,31.34
2017/07/06,09:19:17,31.34
2017/07/06,09:19:18,31.34
2017/07/06,09:19:19,31.01
2017/07/06,09:19:20,30.68
2017/07/06,09:19:21,31.01
2017/07/06,09:19:22,30.68
2017/07/06,09:19:23,30.68
2017/07/06,09:19:24,31.34
2017/07/06,09:19:25,32.01
2017/07/06,09:19:26,32.35
2017/07/06,09:19:27,32.01
2017/07/06,09:19:28,31.34
2017/07/06,09:19:29,31.01
2017/07/06,09:19:30,31.01
2017/07/06,09:19:31,31.01
2017/07/06,09:19:32,31.01
2017/07/06,09:19:33,31.01
2017/07/06,09:19:34,31.01
2017/07/06,09:19:35,31.01
2017/07/06,09:19:36,31.34
2017/07/06,09:19:37,31.34
2017/07/06,09:19:38,31.01
2017/07/06,09:19:39,31.01
2017/07/06,09:19:40,31.01
2017/07/06,09:19:41,31.01
2017/07/06,09:19:42,30.68
2017/07/06,09:19:43,30.68
2017/07/06,09:19:44,30.68
2017/07/06,09:19:45,31.01
2017/07/06,09:19:46,31.01
2017/07/06,09:19:47,31.01
2017/07/06,09:19:48,30.68
2017/07/06,09:19:49,31.01
2017/07/06,09:19:50,31.34
2017/07/06,09:19:51,31.68
2017/07/06,09:19:52,31.34
2017/07/06,09:19:53,31.34
2017/07/06,09:19:54,31.68
2017/07/06,09:19:55,31.68
