"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249227)"
2017/07/12,11:31:04,28.00
2017/07/12,11:31:05,28.00
2017/07/12,11:31:06,28.00
2017/07/12,11:31:07,28.00
2017/07/12,11:31:08,28.00
2017/07/12,11:31:09,28.00
2017/07/12,11:31:10,28.00
2017/07/12,11:31:11,27.67
2017/07/12,11:31:12,27.67
2017/07/12,11:31:13,28.00
2017/07/12,11:31:14,27.67
2017/07/12,11:31:15,28.00
2017/07/12,11:31:16,28.00
2017/07/12,11:31:17,28.00
2017/07/12,11:31:18,28.00
2017/07/12,11:31:19,28.00
2017/07/12,11:31:20,27.67
2017/07/12,11:31:21,28.00
2017/07/12,11:31:22,28.00
2017/07/12,11:31:23,28.00
2017/07/12,11:31:24,27.67
2017/07/12,11:31:25,27.67
2017/07/12,11:31:26,27.67
2017/07/12,11:31:27,27.67
2017/07/12,11:31:28,28.00
2017/07/12,11:31:29,27.67
2017/07/12,11:31:30,28.00
2017/07/12,11:31:31,27.67
2017/07/12,11:31:32,27.67
2017/07/12,11:31:33,28.00
2017/07/12,11:31:34,27.67
2017/07/12,11:31:35,27.67
2017/07/12,11:31:36,27.67
2017/07/12,11:31:37,28.00
2017/07/12,11:31:38,27.67
2017/07/12,11:31:39,27.67
2017/07/12,11:31:40,27.67
2017/07/12,11:31:41,27.67
2017/07/12,11:31:42,27.67
2017/07/12,11:31:43,27.67
2017/07/12,11:31:44,27.67
2017/07/12,11:31:45,27.67
2017/07/12,11:31:46,27.67
2017/07/12,11:31:47,27.67
2017/07/12,11:31:48,27.67
2017/07/12,11:31:49,27.67
2017/07/12,11:31:50,27.67
2017/07/12,11:31:51,27.67
2017/07/12,11:31:52,27.67
2017/07/12,11:31:53,27.67
2017/07/12,11:31:54,27.67
2017/07/12,11:31:55,27.67
2017/07/12,11:31:56,27.67
2017/07/12,11:31:57,27.67
2017/07/12,11:31:58,27.67
2017/07/12,11:31:59,27.67
2017/07/12,11:32:00,27.67
2017/07/12,11:32:01,27.67
2017/07/12,11:32:02,27.67
