"Date","Time, GMT-04:00","K-Type, °C"
2017/12/01,15:13:46,30.01
2017/12/01,15:13:47,30.34
2017/12/01,15:13:48,30.34
2017/12/01,15:13:49,30.34
2017/12/01,15:13:50,30.68
2017/12/01,15:13:51,30.34
2017/12/01,15:13:52,30.68
2017/12/01,15:13:53,30.68
2017/12/01,15:13:54,30.68
2017/12/01,15:13:55,30.68
2017/12/01,15:13:56,30.68
2017/12/01,15:13:57,30.68
2017/12/01,15:13:58,30.68
2017/12/01,15:13:59,30.34
2017/12/01,15:14:00,30.68
2017/12/01,15:14:01,30.68
2017/12/01,15:14:02,30.68
2017/12/01,15:14:03,30.68
2017/12/01,15:14:04,30.68
2017/12/01,15:14:05,30.68
2017/12/01,15:14:06,30.68
2017/12/01,15:14:07,30.68
2017/12/01,15:14:08,30.68
2017/12/01,15:14:09,30.68
2017/12/01,15:14:10,30.68
2017/12/01,15:14:11,30.68
2017/12/01,15:14:12,30.68
2017/12/01,15:14:13,30.68
2017/12/01,15:14:14,30.68
2017/12/01,15:14:15,30.68
2017/12/01,15:14:16,30.68
2017/12/01,15:14:17,30.68
2017/12/01,15:14:18,30.68
2017/12/01,15:14:19,30.68
2017/12/01,15:14:20,30.68
2017/12/01,15:14:21,30.68
2017/12/01,15:14:22,30.68
2017/12/01,15:14:23,30.68
2017/12/01,15:14:24,30.68
2017/12/01,15:14:25,30.68
2017/12/01,15:14:26,30.68
2017/12/01,15:14:27,30.68
2017/12/01,15:14:28,30.68
2017/12/01,15:14:29,30.68
2017/12/01,15:14:30,31.01
2017/12/01,15:14:31,31.01
2017/12/01,15:14:32,31.01
2017/12/01,15:14:33,30.68
2017/12/01,15:14:34,31.01
2017/12/01,15:14:35,31.01
2017/12/01,15:14:36,31.01
2017/12/01,15:14:37,31.01
2017/12/01,15:14:38,31.01
2017/12/01,15:14:39,31.01
2017/12/01,15:14:40,31.01
2017/12/01,15:14:41,31.01
2017/12/01,15:14:42,31.01
2017/12/01,15:14:43,31.01
2017/12/01,15:14:44,31.01
2017/12/01,15:14:45,31.01
2017/12/01,15:14:46,30.68
2017/12/01,15:14:47,30.68
2017/12/01,15:14:48,30.68
2017/12/01,15:14:49,30.68
2017/12/01,15:14:50,30.68
2017/12/01,15:14:51,30.34
2017/12/01,15:14:52,30.34
2017/12/01,15:14:53,30.34
2017/12/01,15:14:54,30.68
2017/12/01,15:14:55,30.68
2017/12/01,15:14:56,30.68
2017/12/01,15:14:57,30.68
2017/12/01,15:14:58,30.68
2017/12/01,15:14:59,30.68
2017/12/01,15:15:00,30.68
2017/12/01,15:15:01,30.68
2017/12/01,15:15:02,30.68
2017/12/01,15:15:03,30.68
2017/12/01,15:15:04,30.68
2017/12/01,15:15:05,30.68
2017/12/01,15:15:06,30.68
2017/12/01,15:15:07,30.68
2017/12/01,15:15:08,30.34
2017/12/01,15:15:09,30.34
2017/12/01,15:15:10,30.01
2017/12/01,15:15:11,30.01
2017/12/01,15:15:12,29.67
2017/12/01,15:15:13,29.67
2017/12/01,15:15:14,29.67
2017/12/01,15:15:15,29.34
2017/12/01,15:15:16,29.34
2017/12/01,15:15:17,29.34
2017/12/01,15:15:18,29.01
2017/12/01,15:15:19,29.01
