"Date","Time, GMT-04:00","K-Type, °C"
2017/09/08,11:26:31,40.98
2017/09/08,11:26:32,40.98
2017/09/08,11:26:33,40.98
2017/09/08,11:26:34,40.98
2017/09/08,11:26:35,40.98
2017/09/08,11:26:36,40.98
2017/09/08,11:26:37,40.98
2017/09/08,11:26:38,41.31
2017/09/08,11:26:39,41.31
2017/09/08,11:26:40,41.31
2017/09/08,11:26:41,41.31
2017/09/08,11:26:42,41.31
2017/09/08,11:26:43,41.64
2017/09/08,11:26:44,41.97
2017/09/08,11:26:45,41.97
2017/09/08,11:26:46,41.97
2017/09/08,11:26:47,41.97
2017/09/08,11:26:48,42.30
2017/09/08,11:26:49,42.30
2017/09/08,11:26:50,42.30
2017/09/08,11:26:51,42.30
2017/09/08,11:26:52,42.30
2017/09/08,11:26:53,42.30
2017/09/08,11:26:54,41.97
2017/09/08,11:26:55,41.97
2017/09/08,11:26:56,41.64
2017/09/08,11:26:57,41.64
2017/09/08,11:26:58,41.31
2017/09/08,11:26:59,41.64
2017/09/08,11:27:00,41.64
2017/09/08,11:27:01,41.31
2017/09/08,11:27:02,41.31
2017/09/08,11:27:03,41.31
2017/09/08,11:27:04,40.98
2017/09/08,11:27:05,40.98
2017/09/08,11:27:06,40.65
2017/09/08,11:27:07,40.65
2017/09/08,11:27:08,40.65
2017/09/08,11:27:09,40.65
2017/09/08,11:27:10,40.65
2017/09/08,11:27:11,40.65
2017/09/08,11:27:12,40.98
2017/09/08,11:27:13,40.98
2017/09/08,11:27:14,40.98
2017/09/08,11:27:15,41.31
2017/09/08,11:27:16,41.31
2017/09/08,11:27:17,41.64
2017/09/08,11:27:18,41.64
2017/09/08,11:27:19,41.97
2017/09/08,11:27:20,41.97
2017/09/08,11:27:21,41.97
2017/09/08,11:27:22,42.30
2017/09/08,11:27:23,42.30
2017/09/08,11:27:24,42.64
2017/09/08,11:27:25,42.64
2017/09/08,11:27:26,42.97
2017/09/08,11:27:27,43.30
2017/09/08,11:27:28,43.30
2017/09/08,11:27:29,43.30
2017/09/08,11:27:30,43.63
2017/09/08,11:27:31,43.30
2017/09/08,11:27:32,43.63
2017/09/08,11:27:33,43.63
2017/09/08,11:27:34,43.30
2017/09/08,11:27:35,43.30
2017/09/08,11:27:36,43.30
2017/09/08,11:27:37,43.30
2017/09/08,11:27:38,43.30
2017/09/08,11:27:39,43.30
2017/09/08,11:27:40,42.97
2017/09/08,11:27:41,42.64
2017/09/08,11:27:42,42.64
2017/09/08,11:27:43,42.64
2017/09/08,11:27:44,42.30
2017/09/08,11:27:45,42.30
2017/09/08,11:27:46,41.97
2017/09/08,11:27:47,41.64
2017/09/08,11:27:48,41.64
2017/09/08,11:27:49,41.64
2017/09/08,11:27:50,41.31
2017/09/08,11:27:51,40.98
2017/09/08,11:27:52,40.98
2017/09/08,11:27:53,40.65
2017/09/08,11:27:54,40.65
2017/09/08,11:27:55,40.65
2017/09/08,11:27:56,40.65
2017/09/08,11:27:57,40.65
2017/09/08,11:27:58,40.32
2017/09/08,11:27:59,40.32
2017/09/08,11:28:00,40.32
2017/09/08,11:28:01,40.32
2017/09/08,11:28:02,40.32
2017/09/08,11:28:03,39.99
2017/09/08,11:28:04,39.99
2017/09/08,11:28:05,39.99
2017/09/08,11:28:06,39.99
2017/09/08,11:28:07,39.99
2017/09/08,11:28:08,39.99
2017/09/08,11:28:09,39.66
2017/09/08,11:28:10,39.66
2017/09/08,11:28:11,39.66
2017/09/08,11:28:12,39.33
2017/09/08,11:28:13,39.66
2017/09/08,11:28:14,39.66
2017/09/08,11:28:15,39.66
2017/09/08,11:28:16,39.66
2017/09/08,11:28:17,39.66
2017/09/08,11:28:18,39.66
2017/09/08,11:28:19,39.66
2017/09/08,11:28:20,39.66
2017/09/08,11:28:21,39.66
2017/09/08,11:28:22,39.66
2017/09/08,11:28:23,39.66
2017/09/08,11:28:24,39.66
2017/09/08,11:28:25,39.66
2017/09/08,11:28:26,39.66
2017/09/08,11:28:27,39.66
2017/09/08,11:28:28,39.33
2017/09/08,11:28:29,39.33
2017/09/08,11:28:30,39.33
2017/09/08,11:28:31,39.33
2017/09/08,11:28:32,39.33
2017/09/08,11:28:33,38.99
2017/09/08,11:28:34,38.99
2017/09/08,11:28:35,38.66
2017/09/08,11:28:36,38.66
2017/09/08,11:28:37,38.33
2017/09/08,11:28:38,38.33
2017/09/08,11:28:39,38.33
2017/09/08,11:28:40,38.00
2017/09/08,11:28:41,38.00
2017/09/08,11:28:42,37.67
2017/09/08,11:28:43,37.67
2017/09/08,11:28:44,37.67
2017/09/08,11:28:45,37.67
2017/09/08,11:28:46,37.67
2017/09/08,11:28:47,37.34
2017/09/08,11:28:48,37.34
2017/09/08,11:28:49,37.34
2017/09/08,11:28:50,37.00
2017/09/08,11:28:51,37.00
2017/09/08,11:28:52,36.67
2017/09/08,11:28:53,36.67
2017/09/08,11:28:54,36.67
2017/09/08,11:28:55,36.34
2017/09/08,11:28:56,36.34
2017/09/08,11:28:57,36.67
2017/09/08,11:28:58,36.34
2017/09/08,11:28:59,36.34
2017/09/08,11:29:00,36.34
2017/09/08,11:29:01,36.34
2017/09/08,11:29:02,36.34
2017/09/08,11:29:03,36.34
2017/09/08,11:29:04,36.34
2017/09/08,11:29:05,36.67
2017/09/08,11:29:06,36.67
2017/09/08,11:29:07,36.67
2017/09/08,11:29:08,36.34
2017/09/08,11:29:09,36.34
2017/09/08,11:29:10,36.67
2017/09/08,11:29:11,36.34
2017/09/08,11:29:12,36.67
2017/09/08,11:29:13,36.67
2017/09/08,11:29:14,36.67
2017/09/08,11:29:15,36.67
2017/09/08,11:29:16,36.67
2017/09/08,11:29:17,36.67
2017/09/08,11:29:18,37.00
2017/09/08,11:29:19,37.00
2017/09/08,11:29:20,37.00
2017/09/08,11:29:21,37.00
2017/09/08,11:29:22,37.00
2017/09/08,11:29:23,37.00
2017/09/08,11:29:24,37.00
2017/09/08,11:29:25,37.00
2017/09/08,11:29:26,37.00
2017/09/08,11:29:27,37.00
2017/09/08,11:29:28,37.00
2017/09/08,11:29:29,37.00
2017/09/08,11:29:30,37.00
2017/09/08,11:29:31,37.00
2017/09/08,11:29:32,37.00
2017/09/08,11:29:33,37.34
2017/09/08,11:29:34,37.34
2017/09/08,11:29:35,37.34
2017/09/08,11:29:36,37.34
2017/09/08,11:29:37,37.34
2017/09/08,11:29:38,37.34
2017/09/08,11:29:39,37.34
2017/09/08,11:29:40,37.67
2017/09/08,11:29:41,37.67
2017/09/08,11:29:42,37.67
