"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249225)"
2017/04/07,10:20:36,19.26
2017/04/07,10:20:37,18.58
2017/04/07,10:20:38,18.25
2017/04/07,10:20:39,17.91
2017/04/07,10:20:40,17.57
2017/04/07,10:20:41,17.23
2017/04/07,10:20:42,17.23
2017/04/07,10:20:43,17.23
2017/04/07,10:20:44,17.23
2017/04/07,10:20:45,17.23
2017/04/07,10:20:46,17.23
2017/04/07,10:20:47,17.57
2017/04/07,10:20:48,17.57
2017/04/07,10:20:49,17.57
2017/04/07,10:20:50,17.57
2017/04/07,10:20:51,17.57
2017/04/07,10:20:52,17.57
2017/04/07,10:20:53,17.57
2017/04/07,10:20:54,17.91
2017/04/07,10:20:55,17.91
2017/04/07,10:20:56,17.91
2017/04/07,10:20:57,17.91
2017/04/07,10:20:58,18.25
2017/04/07,10:20:59,18.25
2017/04/07,10:21:00,17.91
2017/04/07,10:21:01,17.91
2017/04/07,10:21:02,17.91
2017/04/07,10:21:03,17.91
2017/04/07,10:21:04,17.91
2017/04/07,10:21:05,17.57
2017/04/07,10:21:06,17.91
2017/04/07,10:21:07,17.91
2017/04/07,10:21:08,17.91
2017/04/07,10:21:09,18.25
2017/04/07,10:21:10,18.58
2017/04/07,10:21:11,18.58
2017/04/07,10:21:12,18.58
2017/04/07,10:21:13,18.58
2017/04/07,10:21:14,18.58
2017/04/07,10:21:15,18.58
2017/04/07,10:21:16,18.25
2017/04/07,10:21:17,18.25
2017/04/07,10:21:18,18.25
2017/04/07,10:21:19,18.25
2017/04/07,10:21:20,18.58
2017/04/07,10:21:21,18.92
2017/04/07,10:21:22,18.92
2017/04/07,10:21:23,18.92
2017/04/07,10:21:24,18.58
2017/04/07,10:21:25,18.58
2017/04/07,10:21:26,18.25
2017/04/07,10:21:27,18.25
2017/04/07,10:21:28,18.25
2017/04/07,10:21:29,18.25
2017/04/07,10:21:30,18.25
2017/04/07,10:21:31,17.91
2017/04/07,10:21:32,18.25
2017/04/07,10:21:33,18.25
2017/04/07,10:21:34,18.58
2017/04/07,10:21:35,18.58
2017/04/07,10:21:36,18.58
2017/04/07,10:21:37,18.58
2017/04/07,10:21:38,18.58
2017/04/07,10:21:39,18.25
2017/04/07,10:21:40,18.25
2017/04/07,10:21:41,18.25
2017/04/07,10:21:42,17.91
2017/04/07,10:21:43,17.91
2017/04/07,10:21:44,17.91
2017/04/07,10:21:45,18.25
2017/04/07,10:21:46,18.25
2017/04/07,10:21:47,18.58
2017/04/07,10:21:48,18.58
2017/04/07,10:21:49,18.92
2017/04/07,10:21:50,18.92
2017/04/07,10:21:51,18.92
2017/04/07,10:21:52,18.92
2017/04/07,10:21:53,18.58
2017/04/07,10:21:54,18.25
2017/04/07,10:21:55,18.25
2017/04/07,10:21:56,18.25
2017/04/07,10:21:57,17.91
2017/04/07,10:21:58,18.25
2017/04/07,10:21:59,18.58
2017/04/07,10:22:00,18.58
2017/04/07,10:22:01,18.92
2017/04/07,10:22:02,18.92
2017/04/07,10:22:03,18.58
2017/04/07,10:22:04,18.25
2017/04/07,10:22:05,18.25
2017/04/07,10:22:06,18.25
2017/04/07,10:22:07,18.25
2017/04/07,10:22:08,18.25
2017/04/07,10:22:09,17.91
2017/04/07,10:22:10,17.91
2017/04/07,10:22:11,17.91
2017/04/07,10:22:12,17.91
2017/04/07,10:22:13,17.91
2017/04/07,10:22:14,17.91
2017/04/07,10:22:15,17.91
2017/04/07,10:22:16,17.91
2017/04/07,10:22:17,17.91
2017/04/07,10:22:18,18.25
2017/04/07,10:22:19,18.25
2017/04/07,10:22:20,18.25
2017/04/07,10:22:21,18.58
2017/04/07,10:22:22,18.58
2017/04/07,10:22:23,18.58
2017/04/07,10:22:24,18.92
2017/04/07,10:22:25,18.92
2017/04/07,10:22:26,18.92
2017/04/07,10:22:27,19.26
2017/04/07,10:22:28,19.26
2017/04/07,10:22:29,18.92
2017/04/07,10:22:30,19.26
2017/04/07,10:22:31,18.92
2017/04/07,10:22:32,19.26
2017/04/07,10:22:33,19.26
2017/04/07,10:22:34,18.92
2017/04/07,10:22:35,18.92
2017/04/07,10:22:36,18.92
2017/04/07,10:22:37,18.92
2017/04/07,10:22:38,19.26
2017/04/07,10:22:39,19.60
2017/04/07,10:22:40,19.93
2017/04/07,10:22:41,19.60
2017/04/07,10:22:42,19.26
2017/04/07,10:22:43,18.92
2017/04/07,10:22:44,18.58
2017/04/07,10:22:45,18.25
2017/04/07,10:22:46,18.25
2017/04/07,10:22:47,18.25
2017/04/07,10:22:48,18.25
2017/04/07,10:22:49,18.25
2017/04/07,10:22:50,18.25
2017/04/07,10:22:51,18.25
2017/04/07,10:22:52,18.25
2017/04/07,10:22:53,18.25
2017/04/07,10:22:54,18.25
2017/04/07,10:22:55,17.91
2017/04/07,10:22:56,18.25
2017/04/07,10:22:57,18.25
2017/04/07,10:22:58,18.25
2017/04/07,10:22:59,18.25
2017/04/07,10:23:00,18.58
2017/04/07,10:23:01,18.25
2017/04/07,10:23:02,18.25
2017/04/07,10:23:03,18.25
2017/04/07,10:23:04,18.25
2017/04/07,10:23:05,17.91
2017/04/07,10:23:06,17.91
2017/04/07,10:23:07,17.57
2017/04/07,10:23:08,17.57
2017/04/07,10:23:09,17.57
2017/04/07,10:23:10,17.57
2017/04/07,10:23:11,17.57
2017/04/07,10:23:12,17.57
2017/04/07,10:23:13,17.57
2017/04/07,10:23:14,17.57
2017/04/07,10:23:15,17.91
2017/04/07,10:23:16,17.91
2017/04/07,10:23:17,17.91
2017/04/07,10:23:18,17.91
2017/04/07,10:23:19,17.91
2017/04/07,10:23:20,17.91
2017/04/07,10:23:21,17.91
2017/04/07,10:23:22,18.25
2017/04/07,10:23:23,18.25
2017/04/07,10:23:24,18.58
2017/04/07,10:23:25,18.58
2017/04/07,10:23:26,18.58
2017/04/07,10:23:27,18.58
2017/04/07,10:23:28,18.92
2017/04/07,10:23:29,18.92
2017/04/07,10:23:30,18.92
2017/04/07,10:23:31,18.92
2017/04/07,10:23:32,18.92
2017/04/07,10:23:33,18.92
2017/04/07,10:23:34,18.92
2017/04/07,10:23:35,18.92
2017/04/07,10:23:36,18.92
2017/04/07,10:23:37,18.92
2017/04/07,10:23:38,18.92
2017/04/07,10:23:39,19.93
2017/04/07,10:23:40,21.96
2017/04/07,10:23:41,25.65
2017/04/07,10:23:42,46.92
2017/04/07,10:23:43,67.22
2017/04/07,10:23:44,131.60
2017/04/07,10:23:45,378.92
2017/04/07,10:23:46,520.42
2017/04/07,10:23:47,598.07
2017/04/07,10:23:48,639.29
2017/04/07,10:23:49,657.89
2017/04/07,10:23:50,725.77
2017/04/07,10:23:51,744.02
2017/04/07,10:23:52,759.40
2017/04/07,10:23:53,835.44
2017/04/07,10:23:54,800.56
2017/04/07,10:23:55,803.87
2017/04/07,10:23:56,908.12
2017/04/07,10:23:57,924.11
2017/04/07,10:23:58,991.16
2017/04/07,10:23:59,945.30
2017/04/07,10:24:00,880.04
2017/04/07,10:24:01,808.84
2017/04/07,10:24:02,767.60
2017/04/07,10:24:03,682.35
2017/04/07,10:24:04,538.88
2017/04/07,10:24:05,665.60
2017/04/07,10:24:06,554.79
2017/04/07,10:24:07,443.67
2017/04/07,10:24:08,358.91
2017/04/07,10:24:09,323.27
2017/04/07,10:24:10,260.29
2017/04/07,10:24:11,206.60
2017/04/07,10:24:12,155.10
2017/04/07,10:24:13,124.61
2017/04/07,10:24:14,102.15
2017/04/07,10:24:15,83.19
2017/04/07,10:24:16,65.59
2017/04/07,10:24:17,52.18
2017/04/07,10:24:18,47.91
2017/04/07,10:24:19,39.99
2017/04/07,10:24:20,37.34
