year,cs_id,ring_width_mm
2018,1-S_DC_crossSection1,1.9896666666666647
2017,1-S_DC_crossSection1,6.942666666666668
2016,1-S_DC_crossSection1,4.741333333333333
2015,1-S_DC_crossSection1,4.572000000000003
2014,1-S_DC_crossSection1,2.497666666666664
2013,1-S_DC_crossSection1,8.593666666666671
2018,2-B_AN_crossSection1,2.201333333333338
2017,2-B_AN_crossSection1,8.085666666666665
2016,2-B_AN_crossSection1,7.916333333333334
2015,2-B_AN_crossSection1,7.747
2014,2-B_AN_crossSection1,11.133666666666667
2013,2-B_AN_crossSection1,NA
2018,2-T_AN_crossSection1,2.6670000000000016
2017,2-T_AN_crossSection1,8.720666666666666
2016,2-T_AN_crossSection1,7.493000000000002
2015,2-T_AN_crossSection1,6.096
2014,2-T_AN_crossSection1,3.979333333333333
2013,2-T_AN_crossSection1,3.8100000000000023
2018,6-G_DN_crossSection1,5.672666666666668
2017,6-G_DN_crossSection1,5.6726666666666645
2016,6-G_DN_crossSection1,2.6670000000000016
2015,6-G_DN_crossSection1,3.5983333333333327
2014,6-G_DN_crossSection1,5.164666666666665
2013,6-G_DN_crossSection1,NA
2018,14-E_DC_crossSection1,0.6773333333333298
2017,14-E_DC_crossSection1,9.779000000000003
2016,14-E_DC_crossSection1,7.323666666666664
2015,14-E_DC_crossSection1,3.0056666666666665
2014,14-E_DC_crossSection1,8.297333333333334
2013,14-E_DC_crossSection1,NA
2018,16-E_DN_crossSection1,3.0056666666666665
2017,16-E_DN_crossSection1,8.212666666666667
2016,16-E_DN_crossSection1,7.154333333333334
2015,16-E_DN_crossSection1,4.106333333333335
2014,16-E_DN_crossSection1,7.6199999999999974
2013,16-E_DN_crossSection1,NA
2018,17-A_DN_crossSection1,1.1430000000000007
2017,17-A_DN_crossSection1,7.789333333333335
2016,17-A_DN_crossSection1,6.053666666666665
2015,17-A_DN_crossSection1,6.985000000000003
2014,17-A_DN_crossSection1,10.456333333333333
2013,17-A_DN_crossSection1,NA
2018,17-F_DN_crossSection1,1.0159999999999982
2017,17-F_DN_crossSection1,3.344333333333335
2016,17-F_DN_crossSection1,5.461
2015,17-F_DN_crossSection1,6.0536666666666665
2014,17-F_DN_crossSection1,8.89
2013,17-F_DN_crossSection1,NA
2018,17-S_DN_crossSection1,1.397000000000002
2017,17-S_DN_crossSection1,4.318
2016,17-S_DN_crossSection1,3.3866666666666667
2015,17-S_DN_crossSection1,5.376333333333333
2014,17-S_DN_crossSection1,1.3969999999999985
2013,17-S_DN_crossSection1,3.217333333333336
2018,19-K_DC_crossSection1,6.053666666666668
2017,19-K_DC_crossSection1,7.408333333333331
2016,19-K_DC_crossSection1,2.963333333333331
2015,19-K_DC_crossSection1,4.233333333333334
2014,19-K_DC_crossSection1,4.656666666666666
2013,19-K_DC_crossSection1,NA
2018,21-D_AC_crossSection1,2.4553333333333356
2017,21-D_AC_crossSection1,10.583333333333336
2016,21-D_AC_crossSection1,6.900333333333332
2015,21-D_AC_crossSection1,4.614333333333331
2014,21-D_AC_crossSection1,8.466666666666669
2013,21-D_AC_crossSection1,NA
2018,21-F_AC_crossSection1,2.201333333333338
2017,21-F_AC_crossSection1,14.308666666666667
2016,21-F_AC_crossSection1,14.139333333333333
2015,21-F_AC_crossSection1,8.762999999999998
2014,21-F_AC_crossSection1,5.418666666666667
2013,21-F_AC_crossSection1,5.418666666666667
2018,23-H_AN_crossSection1,2.793999999999997
2017,23-H_AN_crossSection1,11.218333333333334
2016,23-H_AN_crossSection1,5.672666666666668
2015,23-H_AN_crossSection1,7.747
2014,23-H_AN_crossSection1,4.995333333333331
2013,23-H_AN_crossSection1,6.561666666666667
2018,25-Q_DN_crossSection1,3.767666666666667
2017,25-Q_DN_crossSection1,7.704666666666668
2016,25-Q_DN_crossSection1,5.715
2015,25-Q_DN_crossSection1,4.995333333333331
2014,25-Q_DN_crossSection1,7.577666666666666
2013,25-Q_DN_crossSection1,NA
2018,26-B_AN_crossSection1,0.8889999999999993
2017,26-B_AN_crossSection1,4.995333333333335
2016,26-B_AN_crossSection1,7.239000000000001
2015,26-B_AN_crossSection1,3.7253333333333316
2014,26-B_AN_crossSection1,2.2860000000000014
2013,26-B_AN_crossSection1,4.317999999999998
2018,29-B_AC_crossSection1,2.582333333333338
2017,29-B_AC_crossSection1,10.752666666666663
2016,29-B_AC_crossSection1,10.710333333333335
2015,29-B_AC_crossSection1,7.789333333333335
2014,29-B_AC_crossSection1,5.50333333333333
2013,29-B_AC_crossSection1,7.493000000000002
2018,29-N_AC_crossSection1,3.3019999999999996
2017,29-N_AC_crossSection1,12.826999999999998
2016,29-N_AC_crossSection1,7.06966666666667
2015,29-N_AC_crossSection1,5.207000000000001
2014,29-N_AC_crossSection1,4.487333333333332
2013,29-N_AC_crossSection1,6.0959999999999965
2018,30-K_DC_crossSection1,1.1853333333333325
2017,30-K_DC_crossSection1,4.699000000000002
2016,30-K_DC_crossSection1,6.730999999999998
2015,30-K_DC_crossSection1,7.662333333333333
2014,30-K_DC_crossSection1,10.117666666666665
2013,30-K_DC_crossSection1,NA
2018,30-S_DC_crossSection1,3.1326666666666725
2017,30-S_DC_crossSection1,14.096999999999998
2016,30-S_DC_crossSection1,7.7046666666666646
2015,30-S_DC_crossSection1,6.096000000000004
2014,30-S_DC_crossSection1,6.646333333333331
2013,30-S_DC_crossSection1,NA
2018,33-P_DC_crossSection1,1.9896666666666647
2017,33-P_DC_crossSection1,4.699000000000002
2016,33-P_DC_crossSection1,5.376333333333331
2015,33-P_DC_crossSection1,7.493000000000002
2014,33-P_DC_crossSection1,4.656666666666666
2013,33-P_DC_crossSection1,NA
2018,34-Q_AN_crossSection1,3.3443333333333314
2017,34-Q_AN_crossSection1,10.160000000000004
2016,34-Q_AN_crossSection1,6.519333333333336
2015,34-Q_AN_crossSection1,8.128
2014,34-Q_AN_crossSection1,12.276666666666664
2013,34-Q_AN_crossSection1,NA
2018,35-S_DN_crossSection1,1.2699999999999996
2017,35-S_DN_crossSection1,3.1750000000000007
2016,35-S_DN_crossSection1,6.8580000000000005
2015,35-S_DN_crossSection1,5.0376666666666665
2014,35-S_DN_crossSection1,7.577666666666666
2013,35-S_DN_crossSection1,NA
2018,37-J_AN_crossSection1,1.2276666666666678
2017,37-J_AN_crossSection1,3.2173333333333325
2016,37-J_AN_crossSection1,6.434666666666665
2015,37-J_AN_crossSection1,6.096000000000004
2014,37-J_AN_crossSection1,3.5983333333333327
2013,37-J_AN_crossSection1,6.053666666666668
