Block,Plot,Ind.,treatment,dead_limbs,total_limbs,chart_ht_cm,dbh_cm,ht1_cm,ht2_cm,diam1_mm,diam2_mm,pct_brown,pct_dead_limbs
5,19,D,DC,0,4,177,3.9,NA,369,NA,54,10,0
5,19,F,DC,1,1,136,NA,NA,142,NA,39,100,100
5,19,K,DC,2,7,189,4.5,NA,354,NA,68,10,28.57142857
5,19,P,DC,3,6,178,3.7,NA,286,NA,64,70,50
6,21,D,AC,5,10,275,6.5,430,490,70.86,89,85,50
6,21,F,AC,3,14,350,8.7,600,663,109.1,125,75,21.42857143
6,21,T,AC,6,12,330,6.7,390,474,72.69,91,95,50
6,22,C,DC,4,27,240,8.3,540,610,87.08,101,40,14.81481481
6,22,F,DC,1,1,82,NA,83,82,32.3,33,100,100
6,23,B,AN,3,19,139,7,500,572,81.11,91,15,15.78947368
6,23,C,AN,1,6,106,4.7,280,401,64.33,69,40,16.66666667
6,23,E,AN,1,1,54,NA,58,64,40.25,40,99,100
6,23,G,AN,2,10,115,4.5,400,445,56.53,54,20,20
6,23,H,AN,0,10,107,7.6,500,610,90.46,100,15,0
6,23,I,AN,1,1,22,NA,20,22,25.34,20,100,100
6,23,J,AN,0,1,22,NA,43,50,32.55,25,99,0
6,23,M,AN,0,1,55,NA,130,142,37.02,35,50,0
6,23,N,AN,3,8,138,4.1,300,354,57.13,52,50,37.5
6,23,O,AN,1,1,33,NA,65,62,30.02,27,100,100
6,23,Q,AN,0,1,18,NA,50,61,30.03,32,50,0
6,23,R,AN,0,1,14,NA,21,20,28.81,24,95,0
6,23,T,AN,0,1,18,NA,57,71,41.31,44,70,0
7,25,A,DN,5,24,286,7.3,480,512,78.84,97,25,20.83333333
7,25,C,DN,2,10,82,5.7,390,449,72.09,82,30,20
7,25,E,DN,1,5,58,3.1,240,279,55.95,53,10,20
7,25,F,DN,0,1,57,NA,129,136,36.37,36.37,70,0
7,25,G,DN,2,23,82,7.5,470,547,86.54,100,10,8.695652174
7,25,I,DN,0,1,72,2.1,164,194,40.63,42,1,0
7,25,L,DN,3,20,110,6.2,380,491,71.32,85,15,15
7,25,M,DN,0,4,65,2.7,270,304,53.19,49,5,0
7,25,P,DN,0,1,50,NA,70,88,54.85,43,60,0
7,25,Q,DN,0,13,52,5.4,330,395,73.03,79,5,0
7,26,B,AN,3,13,51,3.8,270,304,62.99,63,1,23.07692308
7,26,G,AN,2,7,67,2.8,164,201,46.84,45,20,28.57142857
7,26,H,AN,0,1,10,NA,16,19,23.47,25,40,0
7,26,L,AN,0,1,10,NA,5,10,39.11,24,30,0
7,26,N,AN,1,5,64,2.6,122,245,45.55,46,5,20
7,26,Q,AN,0,1,70,NA,84,93,43.08,41,50,0
7,26,R,AN,0,10,74,5,330,399,69.13,72,3,0
7,26,S,AN,2,15,49,6,390,426,68.86,77,2,13.33333333
7,28,B,,2,11,165,4.2,280,314,64,64,45,18.18181818
8,29,B,AC,1,19,427,9,600,635,118.83,125,40,5.263157895
8,29,C,AC,15,28,417,8.2,570,623,97.47,111,80,53.57142857
8,29,L,AC,6,13,264,5.9,430,502,74.79,75,80,21.91780822
8,29,N,AC,6,11,323,7.1,510,555,92.82,110,60,54.54545455
8,29,O,AC,4,8,209,5.6,350,378,71.46,72,90,50
8,30,A,DC,3,5,143,3.7,300,310,57.49,60,90,60
8,30,B,DC,1,23,263,8.3,520,581,97.42,110,15,4.347826087
8,30,C,DC,7,9,212,4.4,245,259,70.02,68,95,77.77777778
8,30,D,DC,5,15,219,6,340,393,77.56,85,85,33.33333333
8,30,E,DC,2,2,148,1.3,169,174,39.87,37,100,100
8,30,J,DC,9,25,220,8,600,654,108.61,104,80,36
8,30,K,DC,4,11,182,5.8,450,521,82.46,77,60,36.36363636
8,30,L,DC,4,11,198,6.1,400,434,68.62,73,40,36.36363636
8,30,P,DC,4,4,100,3.2,260,243,54.09,49,90,100
8,30,S,DC,8,14,227,6.2,450,486,79.29,88,70,57.14285714
8,31,A,AN,4,6,65,2,160,180,42.54,43,30,66.66666667
8,31,B,AN,1,14,74,5.5,370,145,78.16,78,15,7.142857143
8,31,C,AN,1,18,93,6.4,400,464,81.05,86,10,5.555555556
8,31,R,AN,2,11,96,4.5,310,350,60.98,64,15,18.18181818
8,32,R,,0,2,42,NA,102,119,39.18,42,75,0
9,33,L,DC,4,4,170,4.1,280,336,66.96,69,95,100
9,33,P,DC,3,7,164,4.2,300,340,61.54,66,60,42.85714286
9,33,Q,DC,1,1,109,4.2,130,147,42.48,11,100,100
9,33,T,DC,1,1,62,2.8,62,62,30.82,11,100,100
9,34,C,AN,0,14,79,6.3,430,486,87.8,94,15,0
9,34,I,AN,0,1,18,NA,28,33,28.67,25,50,0
9,34,J,AN,2,8,104,4,320,370,61.22,66,60,25
9,34,N,AN,4,22,102,6,450,574,74.58,80,70,18.18181818
9,34,O,AN,0,1,120,1.9,181,177,46.14,42,90,0
9,34,P,AN,1,13,115,7.6,530,494,93.42,99,20,7.692307692
9,34,Q,AN,3,19,99,8,490,568,95.28,108,50,15.78947368
9,34,S,AN,3,21,110,6.5,490,539,83.68,82,30,14.28571429
9,34,T,AN,3,14,105,7.2,440,498,83.82,86,30,21.42857143
9,35,S,DN,8,15,143,3.5,257,277,54.42,64,75,53.33333333
10,37,A,AN,0,6,95,4.9,360,416,63.37,71,50,0
10,37,B,AN,2,3,133,3.7,270,405,57.94,60,80,66.66666667
10,37,C,AN,0,15,137,7,430,310,80.13,90,60,0
10,37,D,AN,8,10,210,5.9,370,413,71.88,75,70,80
10,37,E,AN,1,2,76,2.8,228,253,51.05,47,50,50
10,37,F,AN,2,3,88,3,232,261,47.91,49,80,66.66666667
10,37,I,AN,0,2,56,3,194,239,43.8,49,70,0
10,37,J,AN,2,9,86,4.8,350,462,65.87,67,30,22.22222222
10,37,N,AN,0,2,90,NA,123,139,35.14,31,50,0
10,37,O,AN,3,11,96,5.5,400,431,69.02,79,15,27.27272727
10,37,R,AN,0,1,76,2.2,163,200,44.25,41,20,0
10,38,B,,1,1,49,NA,49,49,32.19,31,100,100
10,38,Q,,2,2,176,1.5,160,176,38.66,38,100,100
10,39,B,AC,5,16,235,6,460,482,78.66,75,50,31.25
10,39,C,AC,1,1,104,NA,105,104,42.63,40,100,100
10,39,F,AC,10,16,185,4.9,430,469,63.6,62,80,62.5
10,39,I,AC,2,13,240,7.3,520,552,97.89,104,30,15.38461538
10,39,P,AC,7,16,175,7.3,500,560,92.68,99,30,43.75
10,39,S,AC,3,13,200,5,370,425,66.1,69,15,23.07692308
10,40,E,DN,0,26,47,8.5,550,625,106.8,114,15,0
