date,time,tempC,location,probe_type,id
2017-07-06,12:00:40,35.68,0cm,old,flame1
2017-07-06,12:00:41,36.01,0cm,old,flame1
2017-07-06,12:00:42,35.68,0cm,old,flame1
2017-07-06,12:00:43,35.68,0cm,old,flame1
2017-07-06,12:00:44,35.68,0cm,old,flame1
2017-07-06,12:00:45,35.68,0cm,old,flame1
2017-07-06,12:00:46,35.68,0cm,old,flame1
2017-07-06,12:00:47,37.67,0cm,old,flame1
2017-07-06,12:00:48,39.33,0cm,old,flame1
2017-07-06,12:00:49,36.67,0cm,old,flame1
2017-07-06,12:00:50,35.34,0cm,old,flame1
2017-07-06,12:00:51,34.68,0cm,old,flame1
2017-07-06,12:00:52,35.34,0cm,old,flame1
2017-07-06,12:00:53,38,0cm,old,flame1
2017-07-06,12:00:54,45.94,0cm,old,flame1
2017-07-06,12:00:55,45.61,0cm,old,flame1
2017-07-06,12:00:56,46.92,0cm,old,flame1
2017-07-06,12:00:57,49.23,0cm,old,flame1
2017-07-06,12:00:58,49.23,0cm,old,flame1
2017-07-06,12:00:59,48.9,0cm,old,flame1
2017-07-06,12:01:00,51.2,0cm,old,flame1
2017-07-06,12:01:01,48.57,0cm,old,flame1
2017-07-06,12:01:02,52.84,0cm,old,flame1
2017-07-06,12:01:03,55.46,0cm,old,flame1
2017-07-06,12:01:04,50.87,0cm,old,flame1
2017-07-06,12:01:05,50.21,0cm,old,flame1
2017-07-06,12:01:06,47.25,0cm,old,flame1
2017-07-06,12:01:07,43.63,0cm,old,flame1
2017-07-06,12:01:08,42.64,0cm,old,flame1
2017-07-06,12:01:09,39.66,0cm,old,flame1
2017-07-06,12:01:10,38.66,0cm,old,flame1
2017-07-06,12:01:11,38,0cm,old,flame1
2017-07-06,12:01:12,37,0cm,old,flame1
2017-07-06,12:01:13,36.67,0cm,old,flame1
2017-07-06,12:01:14,36.34,0cm,old,flame1
2017-07-06,12:01:15,36.67,0cm,old,flame1
2017-07-06,12:01:16,38,0cm,old,flame1
2017-07-06,12:01:17,38,0cm,old,flame1
2017-07-06,12:01:18,49.23,0cm,old,flame1
2017-07-06,12:01:19,62.33,0cm,old,flame1
2017-07-06,12:01:20,63.31,0cm,old,flame1
2017-07-06,12:01:21,60.04,0cm,old,flame1
2017-07-06,12:01:22,71.78,0cm,old,flame1
2017-07-06,12:01:23,104.45,0cm,old,flame1
