"Plot Title:  20381844"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20381844, SEN S/N: 20381844, LBL: temp_C)","RH, % (LGR S/N: 20381844, SEN S/N: 20381844, LBL: RH_pct)","Coupler Detached (LGR S/N: 20381844)","Coupler Attached (LGR S/N: 20381844)","Host Connected (LGR S/N: 20381844)","Stopped (LGR S/N: 20381844)","End Of File (LGR S/N: 20381844)"
1,06/11/19 03:00:00 PM,27.284,92.373,Logged,,,,
2,06/11/19 03:05:00 PM,27.628,92.236,,,,,
3,06/11/19 03:10:00 PM,27.727,91.376,,,,,
4,06/11/19 03:15:00 PM,27.751,91.769,,,,,
5,06/11/19 03:20:00 PM,27.727,91.901,,,,,
6,06/11/19 03:25:00 PM,27.825,92.229,,,,,
7,06/11/19 03:30:00 PM,27.899,91.085,,,,,
8,06/11/19 03:35:00 PM,27.850,91.073,,,,,
9,06/11/19 03:40:00 PM,27.850,91.239,,,,,
10,06/11/19 03:45:00 PM,27.875,91.162,,,,,
11,06/11/19 03:50:00 PM,27.850,91.017,,,,,
12,06/11/19 03:55:00 PM,27.850,90.295,,,,,
13,06/11/19 04:00:00 PM,27.825,90.038,,,,,
14,06/11/19 04:05:00 PM,27.751,90.049,,,,,
15,06/11/19 04:10:00 PM,27.751,89.435,,,,,
16,06/11/19 04:15:00 PM,27.776,89.329,,,,,
17,06/11/19 04:20:00 PM,27.924,90.090,,,,,
18,06/11/19 04:25:00 PM,27.998,89.884,,,,,
19,06/11/19 04:30:00 PM,28.097,89.013,,,,,
20,06/11/19 04:35:00 PM,28.147,88.520,,,,,
21,06/11/19 04:40:00 PM,28.147,88.969,,,,,
22,06/11/19 04:45:00 PM,28.122,89.495,,,,,
23,06/11/19 04:50:00 PM,28.097,89.349,,,,,
24,06/11/19 04:55:00 PM,28.048,89.896,,,,,
25,06/11/19 05:00:00 PM,27.998,89.298,,,,,
26,06/11/19 05:05:00 PM,28.023,89.332,,,,,
27,06/11/19 05:10:00 PM,28.147,90.421,,,,,
28,06/11/19 05:15:00 PM,28.147,90.310,,,,,
29,06/11/19 05:20:00 PM,28.171,90.872,,,,,
30,06/11/19 05:25:00 PM,28.196,90.656,,,,,
