plot_id,lat,lon
avonpark a1,27.67576,-81.309644
avonpark a2,27.674646,-81.311222
avonpark b1,27.67749,-81.283521
avonpark c1,27.6764,-81.325371
avonpark c2,27.674898,-81.327873
avonpark d1,27.711576,-81.387992
avonpark e1,27.587665,-81.283291
avonpark e2,27.630246,-81.245362
avonpark f1,27.615926,-81.292512
avonpark g1,27.544825,-81.273215
avonpark h1,27.731963,-81.390801
avonpark i1,27.735014,-81.371559
benning a1,32.389017,-84.894867
benning b1,32.390499,-84.900369
benning c1,32.345412,-84.815476
benning d1,32.361567,-84.774863
benning e1,32.327739,-84.818986
benning f1,32.333689,-84.821965
benning g1,32.377208,-84.700343
benning h1,32.366872,-84.672603
benning i1,32.399427,-84.67736
benning j1,32.392144,-84.679634
blanding a1,29.86202,-82.001082
blanding b1,29.832857,-81.990587
blanding c1,29.826576,-81.997211
blanding d1,29.869196,-81.998625
blanding e1,29.849803,-81.965662
blanding f1,29.833612,-81.982317
blanding g1,29.869148,-81.950797
blanding h1,29.866916,-81.949534
blanding i1,29.863529,-82.032726
blanding j1,29.852464,-82.026049
blanding k1,29.837378,-82.023445
blanding m1,29.84575,-81.968503
blanding n1,29.83789,-81.977192
eglin a1,30.590218,-86.507376
eglin b1,30.73214,-86.253158
eglin b2,30.607785,-86.496065
eglin c1,30.597517,-86.425476
eglin d1,30.596483,-86.510521
eglin e1,30.68349,-86.281877
eglin f1,30.605483,-86.532676
eglin g1,30.562187,-86.48356
eglin h1,30.571814,-86.480089
eglin i1,30.699865,-86.243462
eglin j1,30.616449,-86.448132
eglin p1,30.734897,-86.275308
gordon a1,33.355677,-82.185351
gordon b1,33.357005,-82.176099
gordon c1,33.35564,-82.212831
gordon d1,33.343386,-82.187065
gordon e1,33.342135,-82.187841
gordon f1,33.34406,-82.195633
gordon g1,33.364516,-82.284032
gordon h1,33.364136,-82.2853
jackson a1,34.077337,-80.749623
jackson b1,34.073796,-80.75528
jackson c1,34.078634,-80.759342
jackson d1,34.075136,-80.75314
jackson e1,34.081586,-80.760441
jackson f1,34.079753,-80.765852
jackson g1,34.076397,-80.783554
jackson h1,34.007664,-80.771614
jackson i1,34.011561,-80.774299
jackson j1,34.009336,-80.764428
jackson k1,34.014072,-80.763432
jackson l1,34.090976,-80.781399
jackson m1,34.091439,-80.778834
moody a1,30.98314,-83.179208
moody b1,30.984401,-83.1753
moody k1,30.950761,-83.183563
shelby a1,30.968064,-88.937473
shelby a2,30.967114,-88.931824
shelby b1,31.123623,-89.055373
shelby b2,31.11502,-89.048217
shelby b3,31.114496,-89.048707
shelby c1,30.948842,-88.865599
shelby d1,31.172392,-89.111628
shelby e1,30.985987,-88.912687
shelby f1,31.099479,-89.014919
shelby g1,31.148769,-89.065989
shelby h1,31.073167,-88.958222
shelby i1,31.071573,-88.954874
shelby j1,31.208952,-89.231414
shelby k1,31.213312,-89.209579
tyndall b1,29.998418,-85.47658
tyndall b2,30.000315,-85.476082
tyndall b3,30.015622,-85.458016
tyndall b4,30.01769,-85.452983
tyndall c1,30.022271,-85.517982
tyndall c2,30.025209,-85.519121
tyndall d1,30.042322,-85.550225
tyndall d2,30.023204,-85.51935
tyndall h1,30.046909899289403,-85.54086117406607
