genus,species,common,code,nrcs_symbol,status,synonym
Andropogon,,bluestem,andropogon,ANDRO2,,
Aristida,stricta,wiregrass,arbe,ARBE7,native,Aristida stricta var beyrichiana
Aristida,stricta,,wiregrass,,,
Callicarpa,americana,beauty berry,beauty berry,CAAM2,native,
Cladonia,rangiferina,deer lichen,deer lichen,CLRA4,native,Cladina rangiferina
Cyrillara,racemiflora,titi,cyra,CYRA,,
Dichanthelium,aciculare,needleleaf rosette grass,diac,DIAC,,squiggle grass
Dichanthelium,,rosette grass,dichanthelium,DICHA2,,
Dichanthelium,,,squiggle head,,,
Dichanthelium,,,squiggle grass,,,
Diospyros,virginiana,persimmon,divi,DIVI5,native,
Galium,,bedstraw,galium,GALIU,,
Hypericum,,St. johnswort,st johns wort,,,
Ilex,glabra,gallberry,ilgl,ILGL,native,
Ilex,vomitoria,yaupon,ilvo,ILVO,native,
Ilex,vomitoria,,alt. shrub 1,,,
Imperata,cylindrica,cogongrass,imcy,IMCY,invasive,
Juncus,,rush,juncus,JUNCU,,
Licania,michauxii,gopher apple,limi,LIMI5,native,
Liquidambar,styraciflua,sweet gum,list,LIST2,native,
Liquidambar,styraciflua,,sweet gum,,,
Lonicera,maackii,Amur honeysuckle,loma,LOMA6,invasive,
Lonicera,japonica,Japanese honeysuckle,loja,LOJA,invasive,
Lygodium,japonicum,Japanese climbing fern,lyja,LYJA,invasive,
Magnolia,virginiana,sweetbay,mavi,MAVI2,,
Microstegium,vimineum,Japanese stiltgrass or Nepalese browntop,mivi,MIVI,invasive,
Mimosa,pigra,giant sensitive/catclaw mimosa,mipi,MIPI,,
Morella,cerifera,wax myrtle,moce,MOCE2,native,
Paspalum,notatum,bahiagrass,bahiagrass,PANO2,introduced,
Passiflora,,passion flower,passion flower,PASSI,,
Pinus,palustris,longleaf pine,pipa,PIPA2,native,
Pinus,elliottii,slash pine,piel,PIEL,native,
Pinus,clausa,sand pine,picl,PICL,native,
Pinus,taeda,loblolly pine,pita,PITA,,
Pityopsis,graminifolia,silkgrass,pigr,PIGR4,native,
Quercus,nigra,water oak,quni,QUNI,native,
Quercus,laevis,turkey oak,qula,QULA2,native,
Quercus,virginiana,southern live oak,quvi,QUVI,native,
Quercus,laurifolia,laurel oak,qula2,QULA3,native,
Quercus,chapmanii,Chapman oak,quch,QUCH,native,
Quercus,minima,dwarf live oak,qumi,QUMI2,native,
Quercus,myrtifolia,myrtle oak,qumy,QUMY,native,
Quercus,geminata,sand live oak,quge,QUGE2,native,
Quercus,pumila,runner oak,qupu,QUPU80,native,
Rhus,copallinum,winged sumac,rhco,RHCO,native,
Rosa,multiflora,multiflora rosa,romu,ROMU,introduced,
Rubus,,blackberry,rubus,RUBUS,,
Rubus,flagellaris,northern dewberry,rufl,RUFL,native,
Serenoa,repens,saw palmetto,saw palmetto,SERE2,native,
Smilax,,,smilax,SMILA2,,
Sphagnum,,moss,sphagnum,SPHAG2,,
Stylisma,,dawnflower,stylisma,STYLI,native,
Vaccinium,,blueberry,vaccinium,VACCI,,
Vaccinium,,,tiny leaves,,,
Vitis,,grape/muscadine grape,grape,VITIS,native,
Vitis,,,muscadine grape,,,
Yucca,filamentosa,yucca,yucca,YUFI,native,
