date,time,tempC,location,probe_type,fire_id
2017-07-05,12:35:30,41.64,0cm,old,1
2017-07-05,12:35:31,42.3,0cm,old,1
2017-07-05,12:35:32,42.3,0cm,old,1
2017-07-05,12:35:33,42.3,0cm,old,1
2017-07-05,12:35:34,42.64,0cm,old,1
2017-07-05,12:35:35,42.97,0cm,old,1
2017-07-05,12:35:36,42.97,0cm,old,1
2017-07-05,12:35:37,43.96,0cm,old,1
2017-07-05,12:35:38,44.29,0cm,old,1
2017-07-05,12:35:39,44.62,0cm,old,1
2017-07-05,12:35:40,44.95,0cm,old,1
2017-07-05,12:35:41,45.61,0cm,old,1
2017-07-05,12:35:42,46.26,0cm,old,1
2017-07-05,12:35:43,46.92,0cm,old,1
2017-07-05,12:35:44,48.57,0cm,old,1
2017-07-05,12:35:45,48.57,0cm,old,1
2017-07-05,12:35:46,48.57,0cm,old,1
2017-07-05,12:35:47,48.9,0cm,old,1
2017-07-05,12:35:48,49.88,0cm,old,1
2017-07-05,12:35:49,51.53,0cm,old,1
2017-07-05,12:35:50,53.49,0cm,old,1
2017-07-05,12:35:51,54.81,0cm,old,1
2017-07-05,12:35:52,55.13,0cm,old,1
2017-07-05,12:35:53,55.46,0cm,old,1
2017-07-05,12:35:54,54.81,0cm,old,1
2017-07-05,12:35:55,54.48,0cm,old,1
2017-07-05,12:35:56,54.81,0cm,old,1
2017-07-05,12:35:57,55.13,0cm,old,1
2017-07-05,12:35:58,56.77,0cm,old,1
2017-07-05,12:35:59,58.41,0cm,old,1
2017-07-05,12:36:00,76.67,0cm,old,1
2017-07-05,12:36:01,225.51,0cm,old,1
2017-07-05,12:36:02,447.81,0cm,old,1
2017-07-05,12:36:03,496.25,0cm,old,1
2017-07-05,12:36:04,520.1,0cm,old,1
2017-07-05,12:36:05,447.18,0cm,old,1
2017-07-05,12:36:06,313.51,0cm,old,1
2017-07-05,12:36:07,235.59,0cm,old,1
2017-07-05,12:36:08,179.81,0cm,old,1
2017-07-05,12:36:09,139.96,0cm,old,1
2017-07-05,12:36:10,114,0cm,old,1
2017-07-05,12:36:11,98.21,0cm,old,1
2017-07-05,12:36:12,86.77,0cm,old,1
2017-07-05,12:36:13,81.23,0cm,old,1
2017-07-05,12:36:14,79.6,0cm,old,1
2017-07-05,12:36:15,80.58,0cm,old,1
2017-07-05,12:36:16,81.56,0cm,old,1
2017-07-05,12:36:17,82.53,0cm,old,1
2017-07-05,12:36:18,82.86,0cm,old,1
2017-07-05,12:36:19,82.86,0cm,old,1
2017-07-05,12:36:20,82.86,0cm,old,1
2017-07-05,12:36:21,81.88,0cm,old,1
2017-07-05,12:36:22,82.53,0cm,old,1
2017-07-05,12:36:23,82.86,0cm,old,1
2017-07-05,12:36:24,83.19,0cm,old,1
2017-07-05,12:36:25,80.58,0cm,old,1
2017-07-05,12:36:26,79.6,0cm,old,1
2017-07-05,12:36:27,74.71,0cm,old,1
2017-07-05,12:36:28,70.15,0cm,old,1
2017-07-05,12:36:29,66.57,0cm,old,1
2017-07-05,12:36:30,65.26,0cm,old,1
2017-07-05,12:36:31,65.92,0cm,old,1
2017-07-05,12:36:32,63.96,0cm,old,1
2017-07-05,12:36:33,62,0cm,old,1
2017-07-05,12:36:34,61.67,0cm,old,1
2017-07-05,12:36:35,62.98,0cm,old,1
2017-07-05,12:36:36,65.59,0cm,old,1
2017-07-05,12:36:37,68.85,0cm,old,1
2017-07-05,12:36:38,70.48,0cm,old,1
2017-07-05,12:36:39,72.43,0cm,old,1
2017-07-05,12:36:40,73.74,0cm,old,1
2017-07-05,12:35:30,80.25,25cm,old,1
2017-07-05,12:35:31,84.16,25cm,old,1
2017-07-05,12:35:32,86.45,25cm,old,1
2017-07-05,12:35:33,81.88,25cm,old,1
2017-07-05,12:35:34,75.69,25cm,old,1
2017-07-05,12:35:35,72.11,25cm,old,1
2017-07-05,12:35:36,69.5,25cm,old,1
2017-07-05,12:35:37,69.83,25cm,old,1
2017-07-05,12:35:38,67.87,25cm,old,1
2017-07-05,12:35:39,69.5,25cm,old,1
2017-07-05,12:35:40,64.28,25cm,old,1
2017-07-05,12:35:41,58.73,25cm,old,1
2017-07-05,12:35:42,55.46,25cm,old,1
2017-07-05,12:35:43,54.15,25cm,old,1
2017-07-05,12:35:44,53.17,25cm,old,1
2017-07-05,12:35:45,52.51,25cm,old,1
2017-07-05,12:35:46,50.54,25cm,old,1
2017-07-05,12:35:47,49.88,25cm,old,1
2017-07-05,12:35:48,49.56,25cm,old,1
2017-07-05,12:35:49,48.24,25cm,old,1
2017-07-05,12:35:50,46.92,25cm,old,1
2017-07-05,12:35:51,46.59,25cm,old,1
2017-07-05,12:35:52,45.28,25cm,old,1
2017-07-05,12:35:53,44.62,25cm,old,1
2017-07-05,12:35:54,46.92,25cm,old,1
2017-07-05,12:35:55,50.21,25cm,old,1
2017-07-05,12:35:56,52.51,25cm,old,1
2017-07-05,12:35:57,55.46,25cm,old,1
2017-07-05,12:35:58,56.77,25cm,old,1
2017-07-05,12:35:59,54.81,25cm,old,1
2017-07-05,12:36:00,53.17,25cm,old,1
2017-07-05,12:36:01,51.85,25cm,old,1
2017-07-05,12:36:02,52.18,25cm,old,1
2017-07-05,12:36:03,78.62,25cm,old,1
2017-07-05,12:36:04,127.93,25cm,old,1
2017-07-05,12:36:05,112.02,25cm,old,1
2017-07-05,12:36:06,104.78,25cm,old,1
2017-07-05,12:36:07,102.48,25cm,old,1
2017-07-05,12:36:08,182.86,25cm,old,1
2017-07-05,12:36:09,184.22,25cm,old,1
2017-07-05,12:36:10,519.79,25cm,old,1
2017-07-05,12:36:11,630,25cm,old,1
2017-07-05,12:36:12,439.84,25cm,old,1
2017-07-05,12:36:13,350.18,25cm,old,1
