location,structure,fire_id,max_temp,avg2_max_temp,s_abv100,heat_flux_abv100,date,biomass,rate_of_spread_50cm,f_litter_biomass,f_biomass,total_biomass,pct_consumed,est_pct_fuel_moisture,pct_fuel_moisture,max_flame_ht,avg_flame_ht,max_fuel_ht,avg_fuel_ht
0cm,piled,43,261.18666666666667,259.2013333333333,98,17150.68666666667,2017-12-01,250,22.24,0g litter,250,250,97.252,NA,NA,27,24,11,8.333333333333334
0cm,piled,45,464.4166666666667,460.09999999999997,111,28055.103333333333,2017-12-01,500,45.62,0g litter,500,500,97.658,NA,NA,56,37,12,8.666666666666666
0cm,piled,47,490.0833333333333,489.648,139,38375.39,2017-12-01,1000,71.48,0g litter,1000,1000,99.275,NA,NA,76,62.5,24,19
0cm,piled,49,575.7233333333334,575.13,421,119986.22666666667,2017-12-01,1500,82.29,0g litter,1500,1500,100,NA,NA,162,157,33,27.666666666666668
0cm,piled,51,368.2166666666667,368.0646666666667,390,96734.45,2017-12-04,2000,29.04,0g litter,2000,2000,100,NA,NA,130,100.5,21,17.333333333333332
0cm,piled,53,268.28,266.935,99,17560.895,2017-12-04,250,42.54,0g litter,250,250,96.88,NA,NA,30,27,7,4.666666666666667
0cm,piled,55,436.145,434.165,151,38177.905,2017-12-04,500,58.87,0g litter,500,500,97.924,NA,NA,85,59,10,9.333333333333334
0cm,piled,57,425.11,424.277,272,64501.375,2017-12-04,1000,57.52,0g litter,1000,1000,99.355,NA,NA,68,58,17,15.333333333333334
0cm,piled,59,325.53499999999997,325.313,414,96006.15,2017-12-04,1000,95.66,0g litter,1000,1000,99.44,NA,NA,72,69,12,11
0cm,piled,61,372.42,372.15999999999997,731,158179.125,2017-12-04,2000,79.69,0g litter,2000,2000,99.8905,NA,NA,177,139,22,19.333333333333332
0cm,piled,63,453.2333333333333,448.5973333333333,104,25953.02,2017-12-05,250,48.82,0g litter,250,250,97.388,NA,NA,30,18,7,6
0cm,piled,65,538.69,536.9486666666667,196,57037.61,2017-12-05,500,16.12,0g litter,500,500,99.498,NA,NA,50,38.5,12,10.666666666666666
0cm,piled,67,570.4533333333333,565.1593333333334,172,53345.95333333333,2017-12-05,1000,36.2,0g litter,1000,1000,99.765,NA,NA,72,59,15,13.333333333333334
0cm,piled,69,606.09,603.4473333333333,178,55731.863333333335,2017-12-05,1500,19.07,0g litter,1500,1500,99.78,NA,NA,60,52.5,20,18
0cm,piled,71,619.0733333333333,617.0273333333333,824,295967.44333333336,2017-12-05,2000,46.04,0g litter,2000,2000,100,NA,NA,170,145,36,29
0cm,piled,73,607.9766666666667,606.4886666666666,524,152302.30666666667,2017-12-05,1500,48.79,0g litter,1500,1500,99.812,NA,NA,66,55,16,14.333333333333334
0cm,standing,44,45.64,45.44466666666667,0,0,2017-12-01,250,0,0g litter,250,250,34.19199999999999,NA,NA,17,8.5,155,149.66666666666666
0cm,standing,46,241.49,238.368,112,17994.516666666666,2017-12-01,500,11.95,0g litter,500,500,84.658,NA,NA,72,65.5,134,132
0cm,standing,48,296.93,293.7273333333333,90,18096.713333333333,2017-12-01,1000,10.64,0g litter,1000,1000,96.91,NA,NA,90,81.5,145,137.66666666666666
0cm,standing,50,375.05,372.5806666666667,103,20118.613333333335,2017-12-01,1500,21.98,0g litter,1500,1500,99.58466666666666,NA,NA,174,173.5,160,154.33333333333334
0cm,standing,52,592.78,584.5453333333334,75,21703.79,2017-12-04,2000,3.15,0g litter,2000,2000,99.265,NA,NA,146,138,177,164
0cm,standing,54,95.80666666666667,93.34333333333333,0,0,2017-12-04,250,0,0g litter,250,250,27.936,NA,NA,0,0,141,137.66666666666666
0cm,standing,56,223.21999999999997,216.32266666666666,59,9922.766666666666,2017-12-04,500,66.07,0g litter,500,500,82.394,NA,NA,19,10.5,144,132.33333333333334
0cm,standing,58,327.7633333333333,325.30266666666665,110,22487.863333333335,2017-12-04,1000,29.14,0g litter,1000,1000,97.485,NA,NA,178,146.5,146,144.66666666666666
0cm,standing,60,425.04999999999995,422.75,91,22225.18666666667,2017-12-04,1000,15.58,0g litter,1000,1000,93.424,NA,NA,210,182,162,157
0cm,standing,62,384.9066666666667,379.2973333333333,62,13337.47,2017-12-04,2000,5.15,0g litter,2000,2000,99.4475,NA,NA,255,248,163,156.66666666666666
0cm,standing,64,40.263333333333335,40.134,0,0,2017-12-05,250,0,0g litter,250,250,22.836,NA,NA,0,0,143,141
0cm,standing,66,351.3466666666667,347.79,62,12652.316666666666,2017-12-05,500,4.98,0g litter,500,500,74.54,NA,NA,75,46.5,128,123.66666666666667
0cm,standing,68,599.2933333333333,596.3573333333334,69,19776.906666666666,2017-12-05,1000,2.79,0g litter,1000,1000,97.696,NA,NA,113,92.5,150,142.66666666666666
0cm,standing,70,433.2966666666667,426.246,48,11122.403333333334,2017-12-05,1500,5.65,0g litter,1500,1500,99.14933333333333,NA,NA,170,134,158,144.33333333333334
0cm,standing,72,365.18,358.1773333333333,56,11362.696666666667,2017-12-05,2000,6.5,0g litter,2000,2000,99.0695,NA,NA,256,228,159,148.66666666666666
0cm,standing,74,333.94,325.15666666666664,41,8068.52,2017-12-05,1500,6.7,0g litter,1500,1500,99.57333333333334,NA,NA,178,138,155,143.66666666666666
25cm,piled,43,144.80333333333334,140.98999999999998,33,4097.183333333333,2017-12-01,250,22.24,0g litter,250,250,97.252,NA,NA,27,24,11,8.333333333333334
25cm,piled,45,230.16666666666666,221.02733333333333,72,10294.223333333333,2017-12-01,500,45.62,0g litter,500,500,97.658,NA,NA,56,37,12,8.666666666666666
25cm,piled,47,266.81333333333333,261.01866666666666,138,24094.983333333334,2017-12-01,1000,71.48,0g litter,1000,1000,99.275,NA,NA,76,62.5,24,19
25cm,piled,49,404.88666666666666,400.50866666666667,233,58452.88,2017-12-01,1500,82.29,0g litter,1500,1500,100,NA,NA,162,157,33,27.666666666666668
25cm,piled,51,623.4966666666667,618.2753333333334,175,46109.76,2017-12-04,2000,29.04,0g litter,2000,2000,100,NA,NA,130,100.5,21,17.333333333333332
25cm,piled,53,189.89333333333335,177.79,58,7436.57,2017-12-04,250,42.54,0g litter,250,250,96.88,NA,NA,30,27,7,4.666666666666667
25cm,piled,55,370.1766666666667,365.026,123,26913.15,2017-12-04,500,58.87,0g litter,500,500,97.924,NA,NA,85,59,10,9.333333333333334
25cm,piled,57,359.7633333333333,350.9766666666667,153,33263.42333333333,2017-12-04,1000,57.52,0g litter,1000,1000,99.355,NA,NA,68,58,17,15.333333333333334
25cm,piled,59,349.68,347.106,196,44161.236666666664,2017-12-04,1000,95.66,0g litter,1000,1000,99.44,NA,NA,72,69,12,11
25cm,piled,61,580.4466666666667,574.5573333333333,267,65874.86666666667,2017-12-04,2000,79.69,0g litter,2000,2000,99.8905,NA,NA,177,139,22,19.333333333333332
25cm,piled,63,175.40333333333334,168.75266666666667,53,6779.1033333333335,2017-12-05,250,48.82,0g litter,250,250,97.388,NA,NA,30,18,7,6
25cm,piled,65,376.97,308.53933333333333,56,8930.496666666666,2017-12-05,500,16.12,0g litter,500,500,99.498,NA,NA,50,38.5,12,10.666666666666666
25cm,piled,67,553.3133333333334,539.0046666666667,139,37674.7,2017-12-05,1000,36.2,0g litter,1000,1000,99.765,NA,NA,72,59,15,13.333333333333334
25cm,piled,69,502.46000000000004,481.60333333333335,135,30842.193333333333,2017-12-05,1500,19.07,0g litter,1500,1500,99.78,NA,NA,60,52.5,20,18
25cm,piled,71,530.27,509.918,183,42791.675,2017-12-05,2000,46.04,0g litter,2000,2000,100,NA,NA,170,145,36,29
