FORMATTED DATE-TIME,DT,WS,TP,WC,RH,HI,DP,WB,BP,AL,DA
YYYY-MM-DD HH:MM:SS,s,m/s,°C,°C,%,°C,°C,°C,mb,m,m
7/5/17 18:54,552596048,0,24.3,24.3,55.6,24,14.8,18.1,1011.5,12,411,
7/5/17 18:54,552596050,0,24.3,24.3,55.7,24,14.9,18.1,1011.5,12,414,
7/5/17 18:54,552596052,0,24.3,24.3,55.8,24,14.9,18.1,1011.6,12,413,
7/5/17 18:54,552596054,0,24.3,24.3,55.8,24,14.9,18.1,1011.5,12,414,
7/5/17 18:54,552596056,0,24.3,24.3,55.8,24,14.9,18.1,1011.5,12,413,
7/5/17 18:54,552596058,0,24.3,24.3,55.9,24,14.9,18.1,1011.5,12,413,
7/5/17 18:54,552596060,0,24.3,24.3,55.9,24,15,18.3,1011.6,12,412,
7/5/17 18:54,552596062,0,24.3,24.3,55.9,24,15,18.3,1011.5,12,413,
7/5/17 18:54,552596064,0,24.3,24.3,56,24,15,18.3,1011.5,12,413,
7/5/17 18:54,552596066,0,24.3,24.3,56,24,15,18.3,1011.5,12,413,
7/5/17 18:54,552596068,0,24.3,24.3,56,24,15,18.3,1011.5,12,413,
7/5/17 18:54,552596070,0,24.3,24.3,56,24,15,18.3,1011.5,12,413,
7/5/17 18:54,552596072,0,24.3,24.3,56,24,15,18.3,1011.5,12,412,
7/5/17 18:54,552596074,0,24.3,24.3,56.1,24,15,18.3,1011.6,12,411,
7/5/17 18:54,552596076,0,24.3,24.3,56.1,24,15,18.3,1011.6,12,411,
7/5/17 18:54,552596078,0,24.3,24.3,56.1,24,15,18.3,1011.5,13,411,
7/5/17 18:54,552596080,0,24.3,24.3,56.1,24,15,18.3,1011.5,13,411,
7/5/17 18:54,552596082,0,24.3,24.3,56.1,24,15,18.3,1011.5,12,411,
7/5/17 18:54,552596084,0,24.2,24.2,56.1,23.9,14.9,18.1,1011.6,12,409,
