Installation,plot_ID,date,sample_ID,life_stage,collection_method,tboid,tbo,Human,Wildlife,Domestic_Animals,Endosymbiont,Human_Endo,Human_Animal,Unknown
Avon,c1,2018-07-21T00:00:00Z,AC1ATVA1,adult,trap,tbo7,Francisella-like endosymbiont,NA,NA,NA,Yes,NA,NA,NA
Avon,c1,2018-07-21T00:00:00Z,AC1FTVA1,adult,trap,tbo7,Francisella-like endosymbiont,NA,NA,NA,Yes,NA,NA,NA
Avon,c2,2018-07-21T00:00:00Z,AC2ATMA1,adult,trap,tbo7,Francisella-like endosymbiont,NA,NA,NA,Yes,NA,NA,NA
Avon,e1,2018-07-21T00:00:00Z,AE1DTVA1,adult,trap,tbo1,Rickettsia rhipicephali,NA,Yes,Yes,NA,NA,NA,NA
Avon,e2,2018-05-29T00:00:00Z,AE2XEVA1,adult,people,tbo7,Francisella-like endosymbiont,NA,NA,NA,Yes,NA,NA,NA
Avon,i1,2018-07-21T00:00:00Z,AI1FTVA1,adult,trap,tbo7,Francisella-like endosymbiont,NA,NA,NA,Yes,NA,NA,NA
Blanding,a1,2017-06-10T00:00:00Z,BA1ETAA1,adult,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA
Blanding,a1,2017-06-10T00:00:00Z,BA1ETAA1,adult,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA
Blanding,a1,2017-06-10T00:00:00Z,BA1ETAA1,adult,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA
Blanding,a1,2017-06-09T00:00:00Z,BA1XDAA1,adult,Drag,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA
Blanding,a1,2017-06-09T00:00:00Z,BA1XDAA1,adult,Drag,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA
Blanding,a1,2017-06-09T00:00:00Z,BA1XDAA2,adult,Drag,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA
Blanding,a1,2017-06-09T00:00:00Z,BA1XDAA2,adult,Drag,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA
Blanding,a1,2017-06-10T00:00:00Z,BA1XWAA1,adult,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA
Blanding,a1,2017-06-10T00:00:00Z,BA1XWAN1,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA
Blanding,a1,2017-06-10T00:00:00Z,BA1XWAN1,nymph,Whalen,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA
Blanding,a1,2017-06-10T00:00:00Z,BA1XWAN1,nymph,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA
Blanding,a1,2017-06-10T00:00:00Z,BA1XWAN2,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA
Blanding,a1,2017-06-10T00:00:00Z,BA1XWAN2,nymph,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA
