Site,Lat,Long
Peace,27.83378,-81.81683
Wes,29.57232,-82.46051
SilverSprings,29.22801,-82.01233
Brown,29.35958,-82.33667
Seeay,29.90211,-82.42229
AvonPark,27.67594,-81.30934
Hancock,27.98561,-81.82327
Munson,30.38441,-84.31358
Riversedge,30.67216,-84.2842
