location,fire_id,max_temp,avg_max_temp,s_abv100,s_abv300,fabio_id,standing_biomass,litter_biomass,pct_green,remaining_biomass,biomass_type,dry_remaining_biomass,fuel_moisture_wet,fuel_moisture_dry,notes,f_litter_biomass,total_biomass,pct_consumed,est_pct_fuel_moisture,pct_fuel_moisture,max_flame_ht,max_fuel_ht,avg_flame_ht,avg_litter_depth,avg_green_ht,avg_brown_ht
0cm,1,520.1,444.97,10,5,1,800,0,75,459.64,cogongrass,245.19,NA,NA,NA,0g litter,800,42.545,46.65607867026369,NA,-Inf,105,NaN,0,105,84.66666666666667
0cm,2,339.5,334.116,204,10,2,3000,2000,75,130.96,cogongrass,91.17,NA,NA,NA,2000g litter,5000,97.3808,30.383323152107515,NA,243,127,243,20,121.33333333333333,106
0cm,3,848.47,809.668,23,14,2,1000,0,25,75.23,cogongrass,51.39,NA,NA,NA,0g litter,1000,92.477,31.68948557756215,NA,85,90,85,0,83.33333333333333,83.33333333333333
0cm,4,53.82,53.82,0,0,1,200,0,75,158.71,cogongrass,91.94,NA,NA,NA,0g litter,200,20.644999999999996,42.070442946254175,NA,-Inf,117,NaN,0,109,96.66666666666667
0cm,5,51.2,51.134,0,0,2,200,0,25,104.38,cogongrass,80.2,NA,NA,NA,0g litter,200,47.81,23.16535734815098,NA,54,77,54,0,65.66666666666667,72.33333333333333
0cm,6,144.33,143.184,23,0,1,600,0,75,407.86,cogongrass,223.83,NA,NA,NA,0g litter,600,32.02333333333333,45.12087480998382,NA,-Inf,106,NaN,0,102.33333333333333,97.33333333333333
0cm,7,690.75,338.662,7,2,1,1000,0,75,578.36,cogongrass,315.46,NA,NA,NA,0g litter,1000,42.164,45.45611729718515,NA,-Inf,112,NaN,0,101.33333333333333,103.33333333333333
0cm,8,925.14,857.214,266,141,1,3000,2000,25,36.4,cogongrass,29.9,NA,NA,NA,2000g litter,5000,99.272,17.857142857142858,NA,245,185,245,19.333333333333332,135,102.66666666666667
0cm,9,186.6,186.6,452,0,2,2000,2000,75,203.64,cogongrass,140.1,NA,NA,NA,2000g litter,4000,94.909,31.20212139068945,NA,244,144,230.5,15.333333333333334,138.66666666666666,133
0cm,10,104.45,104.45,52,0,2,3000,0,75,783.89,cogongrass,446.66,NA,NA,NA,0g litter,3000,73.87033333333333,43.020066590975766,NA,141,143,131.5,0,138.33333333333334,125
0cm,11,330.42,301.186,223,2,1,2000,500,25,44.3,cogongrass,32.56,NA,NA,NA,500g litter,2500,98.228,26.50112866817155,NA,163,131,126.5,11.333333333333334,123,111
0cm,12,360.53,360.53,774,136,2,0,2000,NA,0,cogongrass,NA,NA,NA,NA,2000g litter,2000,100,NA,NA,106,0,79,20.333333333333332,0,0
0cm,13,376.34,372.536,388,21,1,200,2000,25,2.5,cogongrass,2.23,NA,NA,NA,2000g litter,2200,99.88636363636364,10.8,NA,118,112,87.5,19.333333333333332,69.66666666666667,96.33333333333333
0cm,14,277.48,277.414,538,0,2,600,1000,25,41.57,cogongrass,31.76,NA,NA,NA,1000g litter,1600,97.401875,23.59874909790714,NA,80,118,73,7,83.33333333333333,96.33333333333333
0cm,15,480.33,453.98199999999997,321,75,1,600,1000,75,128.32,cogongrass,82.29,NA,NA,NA,1000g litter,1600,91.98,35.87125935162094,NA,70,119,63.5,7.666666666666667,103,94
0cm,16,486.71,463.944,169,34,1,2000,500,75,331.31,cogongrass,193.16,NA,NA,NA,500g litter,2500,86.7476,41.69810751260149,NA,92,130,85,5.333333333333333,127.66666666666667,106
0cm,17,151.39,151.39,295,0,2,1000,500,25,107.18,cogongrass,60.03,NA,NA,NA,500g litter,1500,92.85466666666666,43.991416309012884,NA,125,130,119.5,7,121.66666666666667,112
0cm,18,750.56,590.326,23,11,2,1500,0,25,0,wiregrass,NA,NA,NA,NA,0g litter,1500,100,NA,NA,155,125,138.5,0,84.33333333333333,122
0cm,19,902.02,848.448,162,64,2,3000,0,75,26.66,wiregrass,24.28,NA,NA,NA,0g litter,3000,99.11133333333333,8.927231807951983,NA,167,111,162.5,0,66,109.66666666666667
0cm,20,804.54,718.75,26,12,2,1000,0,75,23.64,wiregrass,20.3,NA,NA,NA,0g litter,1000,97.636,14.12859560067682,NA,66,110,41,0,83.33333333333333,103.66666666666667
0cm,21,783.39,747.182,54,22,2,600,0,75,156.95,wiregrass,122.4,NA,NA,NA,0g litter,600,73.84166666666667,22.013380057343092,NA,94,105,56,0,67,102.33333333333333
0cm,22,380.85,277.568,13,2,2,200,0,25,109.09,wiregrass,97.88,NA,NA,NA,0g litter,200,45.455,10.27591896599139,NA,15,110,7.5,0,41.333333333333336,101.66666666666667
0cm,23,839.78,832.782,43,22,2,600,0,25,50.45,wiregrass,46.3,NA,NA,NA,0g litter,600,91.59166666666665,8.225966303270576,NA,56,120,50,0,54.333333333333336,110.66666666666667
0cm,24,757.44,699.244,32,14,2,1000,0,25,5.7,wiregrass,5.04,NA,NA,NA,0g litter,1000,99.43,11.578947368421055,NA,94,125,76,0,68.33333333333333,116
0cm,25,769.58,641.548,19,12,2,1500,0,75,881.26,cogongrass,346.39,16.13,9.11,NA,0g litter,1500,41.24933333333333,60.69377936136895,43.521388716677,96,141,96,0,127,96.33333333333333
0cm,26,833.78,750.64,36,27,2,2500,0,75,817.81,cogongrass,391.79,16.93,9.83,NA,0g litter,2500,67.2876,52.09278438757168,41.93738924985233,133,141,111,0,134.33333333333334,110.33333333333333
0cm,27,639.93,629.622,74,45,2,600,500,75,180.49,cogongrass,106.19,36.7,23.25,NA,500g litter,1100,83.59181818181818,41.16571555210815,36.64850136239782,39,118,35.5,8.333333333333334,111.66666666666667,95.66666666666667
