installation,plot_id,status,camera_number,sd_card,camera_out,camera_in,position_from_center,notes,ctime,mtime,file_name,path,relpath,size,type,empty,cow,deer,pig,turkey,armadillo,bobcat,raccoon,squirrel,fox,other,unknown
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:47,4/7/2019 0:12,101-1-100EK113-04070044.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070044.JPG,101-1-100EK113-04070044.JPG,4230518,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:44,4/7/2019 1:22,101-1-100EK113-04070045.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070045.JPG,101-1-100EK113-04070045.JPG,4329757,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:48,4/7/2019 1:22,101-1-100EK113-04070046.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070046.JPG,101-1-100EK113-04070046.JPG,4002658,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:44,4/7/2019 1:22,101-1-100EK113-04070048.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070048.JPG,101-1-100EK113-04070048.JPG,4347043,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:44,4/7/2019 1:22,101-1-100EK113-04070051.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070051.JPG,101-1-100EK113-04070051.JPG,4227395,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:48,4/7/2019 1:23,101-1-100EK113-04070052.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070052.JPG,101-1-100EK113-04070052.JPG,4208456,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:49,4/7/2019 1:23,101-1-100EK113-04070053.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070053.JPG,101-1-100EK113-04070053.JPG,4238732,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:51,4/7/2019 1:23,101-1-100EK113-04070054.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070054.JPG,101-1-100EK113-04070054.JPG,4225124,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:52,4/7/2019 1:23,101-1-100EK113-04070055.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070055.JPG,101-1-100EK113-04070055.JPG,4158964,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:51,4/7/2019 1:23,101-1-100EK113-04070056.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070056.JPG,101-1-100EK113-04070056.JPG,4223629,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:50,4/7/2019 1:23,101-1-100EK113-04070057.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070057.JPG,101-1-100EK113-04070057.JPG,4223294,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
