fire_id,location,structure,total_biomass,avg_max_temp,s_abv100,pct_fuel_moisture,avg_air_temp,avg_rh,avg_wind_speed
43,0cm,piled,250,409.09666666666664,74,15.245478036175717,27.878761061946904,36.79557522123894,0.8796460176991151
43,25cm,piled,250,267.536,36.333333333333336,15.245478036175717,27.878761061946904,36.79557522123894,0.8796460176991151
43,50cm,piled,250,66.34,0,15.245478036175717,27.878761061946904,36.79557522123894,0.8796460176991151
44,0cm,standing,250,46.019999999999996,0,19.576446280991732,28.110227272727272,36.33238636363637,0.8403409090909091
44,25cm,standing,250,68.36466666666666,15,19.576446280991732,28.110227272727272,36.33238636363637,0.8403409090909091
44,50cm,standing,250,51.58733333333333,0,19.576446280991732,28.110227272727272,36.33238636363637,0.8403409090909091
45,0cm,piled,500,502.39933333333335,105.66666666666667,13.873943120676401,27.820717131474105,37.505577689243026,0.3844621513944223
45,25cm,piled,500,362.50666666666666,66.33333333333333,13.873943120676401,27.820717131474105,37.505577689243026,0.3844621513944223
45,50cm,piled,500,234.03066666666666,40.666666666666664,13.873943120676401,27.820717131474105,37.505577689243026,0.3844621513944223
46,0cm,standing,500,380.1633333333333,72.66666666666667,9.21757770632368,27.824378109452738,37.19701492537313,0.4328358208955224
46,25cm,standing,500,333.2133333333333,59.333333333333336,9.21757770632368,27.824378109452738,37.19701492537313,0.4328358208955224
46,50cm,standing,500,262.55933333333337,49,9.21757770632368,27.824378109452738,37.19701492537313,0.4328358208955224
47,0cm,piled,1000,587.7786666666667,128.66666666666666,9.613899613899608,22.809961685823755,64.44176245210728,0
47,25cm,piled,1000,563.1766666666667,94.66666666666667,9.613899613899608,22.809961685823755,64.44176245210728,0
47,50cm,piled,1000,385.72266666666667,98,9.613899613899608,22.809961685823755,64.44176245210728,0
48,0cm,standing,1000,396.8426666666667,80.66666666666667,15.020297699594039,26.083333333333332,44.82634408602151,0.3510752688172043
48,25cm,standing,1000,370.8693333333333,55.333333333333336,15.020297699594039,26.083333333333332,44.82634408602151,0.3510752688172043
48,50cm,standing,1000,431.1293333333333,66,15.020297699594039,26.083333333333332,44.82634408602151,0.3510752688172043
49,0cm,piled,1500,679.4193333333333,387,9.702062643239111,22.265289256198347,67.7077134986226,0
49,25cm,piled,1500,763.6573333333333,168.33333333333334,9.702062643239111,22.265289256198347,67.7077134986226,0
49,50cm,piled,1500,824.4526666666667,124.33333333333333,9.702062643239111,22.265289256198347,67.7077134986226,0
50,0cm,standing,1500,531.5033333333333,76.66666666666667,12.401165210153977,22.75625,65.9659090909091,0
50,25cm,standing,1500,669.5273333333333,73.33333333333333,12.401165210153977,22.75625,65.9659090909091,0
50,50cm,standing,1500,725.596,79.33333333333333,12.401165210153977,22.75625,65.9659090909091,0
51,0cm,piled,2000,644.3873333333333,290.6666666666667,14.587813620071685,26.692678571428573,55.875,0.5807142857142857
51,25cm,piled,2000,676.4106666666667,177.33333333333334,14.587813620071685,26.692678571428573,55.875,0.5807142857142857
51,50cm,piled,2000,590.1986666666667,100.66666666666667,14.587813620071685,26.692678571428573,55.875,0.5807142857142857
52,0cm,standing,2000,594.77,74,13.077834847886207,28.205555555555556,54.26984126984127,0.4365079365079365
52,25cm,standing,2000,746.364,84.33333333333333,13.077834847886207,28.205555555555556,54.26984126984127,0.4365079365079365
52,50cm,standing,2000,750.236,56.666666666666664,13.077834847886207,28.205555555555556,54.26984126984127,0.4365079365079365
53,0cm,piled,250,302.471,88.5,4.6342825237297705,25.7525,55.152499999999996,0.01625
53,25cm,piled,250,212.02133333333333,55.333333333333336,4.6342825237297705,25.7525,55.152499999999996,0.01625
53,50cm,piled,250,67.60866666666666,0,4.6342825237297705,25.7525,55.152499999999996,0.01625
54,0cm,standing,250,98.00733333333334,44,7.991242474001099,25.7525,55.152499999999996,0.01625
54,25cm,standing,250,53.28,0,7.991242474001099,25.7525,55.152499999999996,0.01625
54,50cm,standing,250,41.89266666666666,0,7.991242474001099,25.7525,55.152499999999996,0.01625
55,0cm,piled,500,510.86799999999994,162.5,12.20964860035735,25.264727272727274,57.39090909090909,0.25127272727272726
55,25cm,piled,500,522.46,94,12.20964860035735,25.264727272727274,57.39090909090909,0.25127272727272726
55,50cm,piled,500,352.3333333333333,81.66666666666667,12.20964860035735,25.264727272727274,57.39090909090909,0.25127272727272726
56,0cm,standing,500,241.01,67,12.987960598321775,25.264727272727274,57.39090909090909,0.25127272727272726
56,25cm,standing,500,128.61266666666666,21,12.987960598321775,25.264727272727274,57.39090909090909,0.25127272727272726
56,50cm,standing,500,136.02066666666667,19,12.987960598321775,25.264727272727274,57.39090909090909,0.25127272727272726
57,0cm,piled,1000,536.305,247.5,9.821428571428575,24.247154471544714,60.042276422764225,0.36829268292682926
57,25cm,piled,1000,554.066,116.33333333333333,9.821428571428575,24.247154471544714,60.042276422764225,0.36829268292682926
57,50cm,piled,1000,312.19666666666666,88.66666666666667,9.821428571428575,24.247154471544714,60.042276422764225,0.36829268292682926
58,0cm,standing,1000,404.95933333333335,88.66666666666667,15.200000000000003,23.56923076923077,61.56923076923077,0.7692307692307693
58,25cm,standing,1000,267.82800000000003,74.33333333333333,15.200000000000003,23.56923076923077,61.56923076923077,0.7692307692307693
58,50cm,standing,1000,513.8426666666667,59.666666666666664,15.200000000000003,23.56923076923077,61.56923076923077,0.7692307692307693
59,0cm,piled,1000,468.453,365,15.182522123893794,25.384677419354837,59.708064516129035,0.10141129032258064
59,25cm,piled,1000,575.5613333333333,148.66666666666666,15.182522123893794,25.384677419354837,59.708064516129035,0.10141129032258064
