inst_name,plot_id,visit_date,avg_1yr_srad..W.m.2.,avg_1yr_tmax..deg.c.,avg_1yr_tmin..deg.c.,avg_1yr_vp..Pa.,sd_1yr_srad..W.m.2.,sd_1yr_tmax..deg.c.,sd_1yr_tmin..deg.c.,sd_1yr_vp..Pa.,cv_1yr_srad..W.m.2.,cv_1yr_tmax..deg.c.,cv_1yr_tmin..deg.c.,cv_1yr_vp..Pa.,tot_1yr_prcp..mm.day.,avg_1yr_prcp..mm.day.,sd_1yr_prcp..mm.day.,cv_1yr_prcp..mm.day.,fire_days_1yr
Avon Park AFR,avonpark a1,2017-06-27,360.6619175741117,30.03287671232877,17.453424657534246,1890.1917808219177,83.43965937460044,3.8652102424415244,5.358240090353725,777.4381827220974,23.135145494659714,12.869930108476158,30.70022185039023,41.13012185377516,1232,3.3753424657534246,7.461913934538565,221.071313807352,297
Avon Park AFR,avonpark a1,2018-05-30,344.63825196646604,29.12568306010929,17.34016393442623,2040.2185792349726,83.5229042231053,4.441158240645337,6.0538450569082,714.8000630766717,24.234948891057,15.248254372196937,34.91227118614041,35.0354648443944,1756,4.797814207650274,13.53544694409259,282.1169465568273,286
Avon Park AFR,avonpark a2,2018-05-30,344.63825196646604,29.12568306010929,17.34016393442623,2040.2185792349726,83.5229042231053,4.441158240645337,6.0538450569082,714.8000630766717,24.234948891057,15.248254372196937,34.91227118614041,35.0354648443944,1756,4.797814207650274,13.53544694409259,282.1169465568273,286
Avon Park AFR,avonpark b1,2017-06-29,357.88273984308114,29.975342465753425,17.447945205479453,1896.986301369863,83.1329325193368,3.8487111022884686,5.3590867063950025,770.4520667598144,23.229098043618322,12.839590095377854,30.714715362081748,40.61452980464071,1263,3.4602739726027396,7.306228332881858,211.14594944591278,291
Avon Park AFR,avonpark c1,2017-06-28,360.1446572917782,30.052054794520547,17.454794520547946,1883.2876712328766,83.54021689438552,3.8678411216134845,5.367280838354937,783.9643809092325,23.19629493398365,12.870471413883871,30.74960769109326,41.62743657722867,1269,3.4767123287671233,7.71523611319851,221.9118346191849,296
Avon Park AFR,avonpark c1,2018-05-31,343.61530070487265,29.12568306010929,17.333333333333332,2039.672131147541,83.85632975968363,4.435911538340934,6.055753142155112,717.025745426732,24.404131477168097,15.230240366161182,34.93703735858718,35.15397080134275,1764,4.819672131147541,13.537375796432986,280.87752502803136,286
Avon Park AFR,avonpark c2,2018-05-31,343.61530070487265,29.12568306010929,17.333333333333332,2039.672131147541,83.85632975968363,4.435911538340934,6.055753142155112,717.025745426732,24.404131477168097,15.230240366161182,34.93703735858718,35.15397080134275,1764,4.819672131147541,13.537375796432986,280.87752502803136,286
Avon Park AFR,avonpark d1,2017-06-30,360.8197263116706,30.043835616438358,17.497260273972604,1911.6712328767123,83.36168518466881,3.8762798773036913,5.367535005355785,758.1358727202822,23.103416777347217,12.902080569176064,30.67643117442827,39.65827699250502,1329,3.6410958904109587,8.392497886430846,230.4937342774461,299
Avon Park AFR,avonpark e1,2018-05-29,346.0721316311529,29.18032786885246,17.24590163934426,2025.136612021858,84.84511105684913,4.429384558089351,6.052027590150468,718.1634552170641,24.516597351235983,15.179351575474746,35.092555418172864,35.46246959112864,1799,4.915300546448087,13.789848789433922,280.54945285896696,285
Avon Park AFR,avonpark e2,2018-05-29,344.0349728526965,29.101092896174862,17.33743169398907,2043.9344262295083,82.95643265075228,4.408198949728538,6.026670674023075,709.5820387107492,24.112790616281693,15.147881096616702,34.761034854502334,34.716477671924686,1875,5.122950819672131,13.773656333851724,268.86177163678565,285
