inst_name,plot_id,visit_date,avg_6mo_srad..W.m.2.,avg_6mo_tmax..deg.c.,avg_6mo_tmin..deg.c.,avg_6mo_vp..Pa.,sd_6mo_srad..W.m.2.,sd_6mo_tmax..deg.c.,sd_6mo_tmin..deg.c.,sd_6mo_vp..Pa.,cv_6mo_srad..W.m.2.,cv_6mo_tmax..deg.c.,cv_6mo_tmin..deg.c.,cv_6mo_vp..Pa.,tot_6mo_prcp..mm.day.,avg_6mo_prcp..mm.day.,sd_6mo_prcp..mm.day.,cv_6mo_prcp..mm.day.,fire_days_6mo
Avon Park AFR,avonpark a1,2017-06-27,387.23497151025657,29.049180327868854,15.095628415300547,1400.8743169398906,91.01178930270555,3.971434662749723,5.103369121339223,625.789435978996,23.50298810764692,13.671417292761461,33.80693390787612,44.67134762995642,528,2.8852459016393444,7.140116570267066,247.46994931039262,154
Avon Park AFR,avonpark a1,2018-05-30,358.05217510720956,26.72554347826087,13.429347826086957,1523.9130434782608,90.41621325760974,4.166867719074274,5.503392655434097,520.7832615512888,25.252245215529527,15.591330153729869,40.980341910152724,34.174079930612386,400,2.1739130434782608,5.930579631735293,272.8066630598235,163
Avon Park AFR,avonpark a2,2018-05-30,358.05217510720956,26.72554347826087,13.429347826086957,1523.9130434782608,90.41621325760974,4.166867719074274,5.503392655434097,520.7832615512888,25.252245215529527,15.591330153729869,40.980341910152724,34.174079930612386,400,2.1739130434782608,5.930579631735293,272.8066630598235,163
Avon Park AFR,avonpark b1,2017-06-29,385.74863346287464,29.038251366120218,15.16120218579235,1424.6994535519125,90.63929458429992,3.966710542738723,5.165393369018326,634.2684566566353,23.49698397389741,13.660294115942534,34.06981389548941,44.519456722984145,539,2.9453551912568305,6.939872671945525,235.62090889907813,151
Avon Park AFR,avonpark c1,2017-06-28,387.6896168026116,29.098360655737704,15.136612021857923,1392.3497267759562,91.12909109030711,3.9929398600975223,5.148393913358555,637.3868769164528,23.505682675196482,13.722215857236556,34.01285509547348,45.77778590098543,550,3.0054644808743167,7.410637785842878,246.5721299653176,153
Avon Park AFR,avonpark c1,2018-05-31,357.21739171898884,26.769021739130434,13.456521739130435,1524.1304347826087,90.62423828870608,4.196299061522245,5.527206516795464,525.4031024387552,25.36949218866622,15.675952234698876,41.07455569831847,34.472318802143405,406,2.2065217391304346,5.872112555833483,266.1252980968869,162
Avon Park AFR,avonpark c2,2018-05-31,357.21739171898884,26.769021739130434,13.456521739130435,1524.1304347826087,90.62423828870608,4.196299061522245,5.527206516795464,525.4031024387552,25.36949218866622,15.675952234698876,41.07455569831847,34.472318802143405,406,2.2065217391304346,5.872112555833483,266.1252980968869,162
Avon Park AFR,avonpark d1,2017-06-30,388.7387982144382,29.153005464480874,15.281420765027322,1456.3934426229507,90.19385057486045,4.042165021422242,5.2089614405385065,622.9477059532114,23.201659054650683,13.865345809189696,34.08689231605745,42.77331164244248,532,2.907103825136612,7.483836342495007,257.4327162925914,156
Avon Park AFR,avonpark e1,2018-05-29,358.6086962326713,26.75,13.26086956521739,1500.8695652173913,91.26791606540158,4.149527591783513,5.435904849682927,520.5790222559152,25.45055851244205,15.512252679564535,40.9920693582647,34.68516081079389,448,2.4347826086956523,6.784431467337288,278.6462924084957,165
Avon Park AFR,avonpark e2,2018-05-29,356.0695653998333,26.668478260869566,13.369565217391305,1527.608695652174,90.40649187670978,4.123620599907785,5.420750238044954,513.701598579359,25.39012054433566,15.462526806257026,40.54544893497039,33.627826290949926,459,2.494565217391304,6.853659452975669,274.7436469166717,165
Avon Park AFR,avonpark f1,2018-05-31,357.33913081625235,26.785326086956523,13.402173913043478,1527.608695652174,91.03512015177614,4.165805624979167,5.515125317718123,531.5517433705363,25.475832983594337,15.552566399435259,41.150975606655905,34.79632872498174,464,2.5217391304347827,6.669362724030681,264.4747287115615,162
Avon Park AFR,avonpark g1,2018-05-31,359.7391298542852,26.82608695652174,13.309782608695652,1481.9565217391305,92.59408863663323,4.133321070805468,5.527547698486204,542.28466125921,25.73923183561908,15.40784191710304,41.529962291607255,36.5924811763586,461,2.505434782608696,6.960463902171203,277.8146112797183,162
Avon Park AFR,avonpark h1,2018-06-01,357.9304346001667,26.793478260869566,13.559782608695652,1506.9565217391305,90.44443262452914,4.1827463550355395,5.5576179152919,531.7991714501337,25.268718131097707,15.611061446785785,40.98603993642123,35.28961610892405,422,2.2934782608695654,6.0832800389519885,265.2425419827407,164
Avon Park AFR,avonpark i1,2018-06-01,357.54782535718834,26.782608695652176,13.567934782608695,1514.1304347826087,90.24403959093307,4.180232134523538,5.5556798166589525,528.7538751531068,25.239711498952556,15.608009593188536,40.94712943181443,34.92128967271057,423,2.2989130434782608,6.063669371244059,263.7624501912309,164
Camp Blanding,blanding a1,2017-06-09,361.35519092330514,26.229508196721312,12.557377049180328,1425.136612021858,99.1492047499009,4.659482034918006,5.2504042445014765,489.7609395796169,27.438157037833882,17.764275258124897,41.81131317422847,34.36589414995011,467,2.551912568306011,8.412855426778357,329.66863877953733,165
Camp Blanding,blanding b1,2017-06-08,360.3409836565862,26.237704918032787,12.639344262295081,1430.6010928961748,99.66334090353648,4.6414933628868775,5.210248101763598,487.83798585017894,27.65806428461051,17.690165269359547,41.22245579864845,34.10021062283528,495,2.7049180327868854,9.00307199517961,332.84084345815523,165
Camp Blanding,blanding c1,2017-06-07,359.95628373609867,26.2896174863388,12.579234972677595,1425.792349726776,100.85251411957864,4.659652791635192,5.213623896752832,486.2226014727308,28.017989593847037,17.72430806213345,41.44627163795692,34.101922454970776,481,2.628415300546448,8.48875540665711,322.96096453601893,164
