plot_id,inst_nm,visit_date,n_fires,fri15yr,d_since_fire,w_since_fire,y_since_fire,frindex,geometry
shelby h1,Camp Shelby,2018-08-13,2,7.5,1382,197.42857142857142,3.7967032967032965,0.035118186203569705,"c(575548.927440885, 1142084.10223304)"
shelby i1,Camp Shelby,2018-08-13,2,7.5,2112,301.7142857142857,5.802197802197802,0.02297979797979798,"c(575869.658282305, 1141909.67928666)"
shelby j1,Camp Shelby,2018-08-14,1,15,2113,301.85714285714283,5.804945054945055,0.011484461271493926,"c(549410.937625186, 1156982.76629952)"
shelby k1,Camp Shelby,2018-08-14,1,15,1018,145.42857142857142,2.7967032967032965,0.02383759004584152,"c(551489.044851514, 1157476.065431)"
eglin b1,Eglin AFB,2017-08-19,3,5,560,80,1.5384615384615385,0.13,"c(571497.550907439, 3400155.06931124)"
eglin d1,Eglin AFB,2017-08-17,3,5,1118,159.71428571428572,3.0714285714285716,0.06511627906976744,"c(546924.51452975, 3384985.53285133)"
eglin h1,Eglin AFB,2017-08-16,2,7.5,3487,498.14285714285717,9.57967032967033,0.013918363445177323,"c(549854.576199209, 3382264.78950763)"
eglin p1,Eglin AFB,2017-08-19,1,15,2731,390.14285714285717,7.502747252747254,0.008885634077871352,"c(569375.030870401, 3400446.6967804)"
eglin a1,Eglin AFB,2018-06-11,4,3.75,485,69.28571428571429,1.3324175824175826,0.2001374570446735,"c(547229.055636727, 3384292.55990334)"
eglin b2,Eglin AFB,2018-06-15,5,3,846,120.85714285714286,2.3241758241758244,0.14342001576044128,"c(548304.76595594, 3386244.14014405)"
eglin c1,Eglin AFB,2018-06-13,2,7.5,1254,179.14285714285714,3.445054945054945,0.03870281765018607,"c(555076.997464967, 3385138.6546192)"
eglin e1,Eglin AFB,2018-06-12,6,2.5,149,21.285714285714285,0.40934065934065933,0.9771812080536914,"c(568782.629685191, 3394745.50355975)"
eglin f1,Eglin AFB,2018-06-15,2,7.5,2716,388,7.461538461538462,0.017869415807560136,"c(544796.433170981, 3385973.8868117)"
eglin g1,Eglin AFB,2018-06-11,3,5,1880,268.57142857142856,5.164835164835164,0.03872340425531916,"c(549526.625976484, 3381196.39528232)"
