inst_name,plot_id,visit_date,avg_15yr_srad..W.m.2.,avg_15yr_tmax..deg.c.,avg_15yr_tmin..deg.c.,avg_15yr_vp..Pa.,sd_15yr_srad..W.m.2.,sd_15yr_tmax..deg.c.,sd_15yr_tmin..deg.c.,sd_15yr_vp..Pa.,cv_15yr_srad..W.m.2.,cv_15yr_tmax..deg.c.,cv_15yr_tmin..deg.c.,cv_15yr_vp..Pa.,avg_15yr_prcp..mm.day.,sd_15yr_prcp..mm.day.,cv_15yr_prcp..mm.day.,avg_15yr_fire_days,cv_15yr_fire_days
Avon Park AFR,avonpark a1,2017-06-27,358.0765451699962,28.89391858230804,16.751014768682108,1936.3803715462782,11.835229360510152,0.5098539641316098,0.9121268952858637,194.26394386607225,3.305223288191467,1.7645718862231345,5.445203815300711,10.032323541419945,1292.0625,321.6949836413369,24.89778812103415,279.3125,19.437093169291185
Avon Park AFR,avonpark a1,2018-05-30,357.37150136981745,28.84802582762557,16.719744577625573,1941.0545915778791,9.041407633678915,0.763094145324934,1.2302908063011397,179.81910030522434,2.5299744380911418,2.6452213745391773,7.358311011207191,9.263989847861506,1295.875,343.4444884790942,26.502902554574646,279.6875,19.306255577574333
Avon Park AFR,avonpark a2,2018-05-30,357.37150136981745,28.84802582762557,16.719744577625573,1941.0545915778791,9.041407633678915,0.763094145324934,1.2302908063011397,179.81910030522434,2.5299744380911418,2.6452213745391773,7.358311011207191,9.263989847861506,1295.875,343.4444884790942,26.502902554574646,279.6875,19.306255577574333
Avon Park AFR,avonpark b1,2017-06-29,357.62601092964326,28.851834539328326,16.72856589397064,1934.9606532626308,11.626151794125926,0.5054627055766765,0.893760056062761,188.15490700233696,3.250924552133086,1.7519257047161885,5.342717730423579,9.72396553310166,1295,325.19163580879507,25.111323228478383,279,19.563020399449428
Avon Park AFR,avonpark c1,2017-06-28,357.6772201232183,28.918831790005356,16.755437627300516,1937.5034836910058,11.826949325696141,0.5121747367489742,0.9108028277287692,196.6016282017314,3.3065984245856663,1.7710768556217646,5.435864153406237,10.147162565467962,1296.125,315.05954463667126,24.30780554627611,279.8125,19.629455249298903
Avon Park AFR,avonpark c1,2018-05-31,356.9464061603726,28.872643603016105,16.724188456905118,1941.1451109624907,8.901358379623193,0.7587346924518745,1.229477063699874,180.7132412409235,2.4937520664163513,2.627867066431753,7.351490129808032,9.30962039985353,1298.1875,338.9875550813038,26.112372448610376,280.375,19.30516528434506
Avon Park AFR,avonpark c2,2018-05-31,356.9464061603726,28.872643603016105,16.724188456905118,1941.1451109624907,8.901358379623193,0.7587346924518745,1.229477063699874,180.7132412409235,2.4937520664163513,2.627867066431753,7.351490129808032,9.30962039985353,1298.1875,338.9875550813038,26.112372448610376,280.375,19.30516528434506
Avon Park AFR,avonpark d1,2017-06-30,358.0770436431354,28.932052253002265,16.778274723296672,1938.672892789861,12.322942403343156,0.5207894415788878,0.8968231614697323,183.07435405694022,3.4414220688283974,1.800043208220204,5.345145292110942,9.44328229572993,1342.5,376.187719097793,28.02143159015218,279.5625,19.610831460494804
Avon Park AFR,avonpark e1,2018-05-29,357.8076833918427,28.898381755842138,16.66831590959065,1932.3982542116307,8.944809400733394,0.7720745795922515,1.2314180757422946,181.1360908408199,2.4998930475558696,2.671687937806994,7.387777400077705,9.373641817675871,1288,313.8103461221974,24.364157307624023,280.125,19.587466443148145
Avon Park AFR,avonpark e2,2018-05-29,356.4547376051433,28.802135128281932,16.72371246466035,1937.1102427690612,9.006273187571228,0.7672057206198345,1.2174001073919087,177.21990063104516,2.526624627878498,2.663711274191216,7.279484803176647,9.148673974162296,1308.25,332.6897453584445,25.430135322640513,278.625,19.288894320034796
Avon Park AFR,avonpark f1,2018-05-31,357.64130737519315,28.88520684288032,16.70527955290102,1934.9627639038038,8.840029487067381,0.7624247673654584,1.216094552608765,178.4683098476087,2.4717585202744807,2.639499074777726,7.279701897581112,9.223345956670887,1293.9375,313.7573305916533,24.248260104653685,280.75,19.507745510417955
Avon Park AFR,avonpark g1,2018-05-31,357.5648155214515,28.919196779883077,16.64666010181671,1927.413785973936,9.168721238640316,0.7681291910622426,1.2163846783495438,183.7561219130326,2.564212372313308,2.6561221492727376,7.307079443622419,9.533817971535328,1301.75,311.8953884451217,23.959699515661352,279.3125,19.637415766302546
Avon Park AFR,avonpark h1,2018-06-01,358.0353148529278,28.87747446983505,16.773984662950024,1940.4249759111644,9.377394476130894,0.7604288931706241,1.2202717331681938,185.2593923709552,2.619125568655958,2.6332943137564055,7.274787462179459,9.54736177233356,1385.125,436.7064422087985,31.528305547066036,280.75,19.210653668419834
Avon Park AFR,avonpark i1,2018-06-01,357.03453128194946,28.852292671771927,16.781712404571152,1944.039432834262,9.008096270638102,0.7586156799564356,1.2188106418847686,182.03114069309223,2.523032222764029,2.6293081405577126,7.262731075958483,9.363551871358116,1296.25,352.2645785958806,27.175666622633027,280.4375,19.245926123492602
Camp Blanding,blanding a1,2017-06-09,350.7134562147466,26.856798350428914,14.492541914649555,1766.8101413918075,11.874191537077698,0.6269129722088458,0.9928138393421267,130.77772783857444,3.3857245357038623,2.3342803711330458,6.850515563032849,7.401911771660654,1336.1875,339.0618859441444,25.375322396306238,279.875,19.97396932534217
