installation,plot_id,imcy_inv,visit_date,last_fire_year,notes,years_since_fire,visit_year,lon,lat,pid2,inst_name
blanding,blanding c1,uninvaded,2017-06-07,2015,NA,2,2017,-81.997211,29.826576,C-1,Camp Blanding
blanding,blanding g1,uninvaded,2017-06-15,2011,NA,6,2017,-81.950797,29.869148,G-1,Camp Blanding
blanding,blanding d1,uninvaded,2017-06-20,2014,NA,3,2017,-81.998625,29.869196,D-1,Camp Blanding
blanding,blanding a1,uninvaded,2017-06-09,2017,NA,0,2017,-82.001082,29.86202,A-1,Camp Blanding
blanding,blanding b1,uninvaded,2017-06-08,2016,NA,1,2017,-81.990587,29.832857,B-1,Camp Blanding
eglin,eglin b1,uninvaded,2017-08-19,2016,NA,1,2017,-86.253158,30.73214,B-1,Eglin AFB
eglin,eglin p1,uninvaded,2017-08-19,2010,NA,7,2017,-86.275308,30.734897,P-1,Eglin AFB
eglin,eglin d1,uninvaded,2017-08-17,2014,NA,3,2017,-86.510521,30.596483,D-1,Eglin AFB
eglin,eglin h1,uninvaded,2017-08-16,2008,NA,9,2017,-86.480089,30.571814,H-1,Eglin AFB
tyndall,tyndall b2,uninvaded,2017-07-20,2017,NA,0,2017,-85.476082,30.000315,B-2,Tyndall AFB
tyndall,tyndall b1,invaded,2017-07-20,2017,NA,0,2017,-85.47658,29.998418,B-1,Tyndall AFB
tyndall,tyndall d1,uninvaded,2017-07-20,2014,NA,3,2017,-85.550225,30.042322,D-1,Tyndall AFB
tyndall,tyndall h1,uninvaded,2017-07-20,2011,NA,6,2017,-85.54086117406607,30.046909899289403,H-1,Tyndall AFB
avonpark,avonpark a1,invaded,2017-06-27,2017,NA,0,2017,-81.309644,27.67576,A-1,Avon Park AFR
avonpark,avonpark c1,invaded,2017-06-28,2015,NA,2,2017,-81.325371,27.6764,C-1,Avon Park AFR
avonpark,avonpark b1,invaded,2017-06-29,2016,NA,1,2017,-81.283521,27.67749,B-1,Avon Park AFR
avonpark,avonpark d1,uninvaded,2017-06-30,2014,NA,3,2017,-81.387992,27.711576,D-1,Avon Park AFR
blanding,blanding f1,uninvaded,2017-06-22,2007,NA,10,2017,-81.982317,29.833612,F-1,Camp Blanding
blanding,blanding e1,uninvaded,2017-06-14,2013,NA,4,2017,-81.965662,29.849803,E-1,Camp Blanding
blanding,blanding h1,uninvaded,2017-06-16,2009,NA,8,2017,-81.949534,29.866916,H-1,Camp Blanding
shelby,shelby f1,invaded,2017-09-21,2012,NA,5,2017,-89.014919,31.099479,F-1,Camp Shelby
shelby,shelby b1,invaded,2017-09-22,2010,"2016 fire on GIS, but on the ground it doesn't look like this area was touched",7,2017,-89.055373,31.123623,B-1,Camp Shelby
shelby,shelby d1,invaded,2017-09-23,2014,NA,3,2017,-89.111628,31.172392,D-1,Camp Shelby
shelby,shelby b2,uninvaded,2017-09-24,2016,NA,1,2017,-89.048217,31.11502,B-2,Camp Shelby
shelby,shelby b3,invaded,2017-09-24,2016,NA,1,2017,-89.048707,31.114496,B-3,Camp Shelby
shelby,shelby g1,uninvaded,2017-09-25,2011,NA,6,2017,-89.065989,31.148769,G-1,Camp Shelby
moody,moody b1,uninvaded,2017-08-29,2016,NA,1,2017,-83.1753,30.984401,B-1,Moody AFB
moody,moody a1,uninvaded,2017-08-30,2017,NA,0,2017,-83.179208,30.98314,A-1,Moody AFB
moody,moody k1,uninvaded,2017-08-30,2006,NA,11,2017,-83.183563,30.950761,K-1,Moody AFB
blanding,blanding k1,uninvaded,2018-05-22,2015,NA,3,2018,-82.023445,29.837378,K-1,Camp Blanding
blanding,blanding m1,uninvaded,2018-05-15,2007,NA,11,2018,-81.968503,29.84575,M-1,Camp Blanding
blanding,blanding n1,uninvaded,2018-05-24,2013,NA,5,2018,-81.977192,29.83789,N-1,Camp Blanding
blanding,blanding theater_cogon,invaded,2018-05-16,NA,NA,NA,2018,NA,NA,NA,NA
blanding,blanding h1,uninvaded,2018-05-17,2018,NA,0,2018,-81.949534,29.866916,H-1,Camp Blanding
blanding,blanding g1,uninvaded,2018-05-18,2018,NA,0,2018,-81.950797,29.869148,G-1,Camp Blanding
blanding,blanding c1,uninvaded,2018-05-16,2017,NA,1,2018,-81.997211,29.826576,C-1,Camp Blanding
blanding,blanding i1,uninvaded,2018-05-25,2014,NA,4,2018,-82.032726,29.863529,I-1,Camp Blanding
blanding,blanding j1,uninvaded,2018-05-25,2016,NA,2,2018,-82.026049,29.852464,J-1,Camp Blanding
avonpark,avonpark i1,uninvaded,2018-06-01,2012,NA,6,2018,-81.371559,27.735014,I-1,Avon Park AFR
avonpark,avonpark g1,uninvaded,2018-05-31,2013,NA,5,2018,-81.273215,27.544825,G-1,Avon Park AFR
avonpark,avonpark h1,uninvaded,2018-06-01,2017,NA,1,2018,-81.390801,27.731963,H-1,Avon Park AFR
avonpark,avonpark f1,uninvaded,2018-05-31,2018,NA,0,2018,-81.292512,27.615926,F-1,Avon Park AFR
avonpark,avonpark c2,uninvaded,2018-05-31,2015,NA,3,2018,-81.327873,27.674898,C-2,Avon Park AFR
avonpark,avonpark a1,invaded,2018-05-30,2017,NA,1,2018,-81.309644,27.67576,A-1,Avon Park AFR
avonpark,avonpark a2,uninvaded,2018-05-30,2017,NA,1,2018,-81.311222,27.674646,A-2,Avon Park AFR
avonpark,avonpark c1,invaded,2018-05-31,2015,NA,3,2018,-81.325371,27.6764,C-1,Avon Park AFR
avonpark,avonpark e1,uninvaded,2018-05-29,2017,NA,1,2018,-81.283291,27.587665,E-1,Avon Park AFR
avonpark,avonpark e2,invaded,2018-05-29,2017,NA,1,2018,-81.245362,27.630246,E-2,Avon Park AFR
