date,status,days,mean_above_82,se_above_82,mean_bw_80_82,se_bw_80_82,mean_below_80,se_below_80
2018-06-22,invaded,1,1231.6666666666667,252.04917750071687,NA,NaN,NA,NaN
2018-06-22,native,1,960,140.14602773860233,30.833333333333332,12.583057392117915,449.1666666666667,140.07844122836923
2018-06-23,invaded,2,1125.4166666666667,262.188848779353,NA,NaN,NA,NaN
2018-06-23,native,2,940.4166666666666,121.53297968664782,31.666666666666668,17.880071859390547,467.9166666666667,133.10041208414683
2018-06-24,invaded,3,1060,220.90722034374522,NA,NaN,NA,NaN
2018-06-24,native,3,966.25,126.42146322375946,37.5,19.364916731037084,436.25,123.6954654860807
2018-06-25,invaded,4,1028.3333333333333,191.06559241805056,NA,NaN,NA,NaN
2018-06-25,native,4,960.8333333333334,87.82299691925111,27.5,16.16674476707158,451.6666666666667,93.06237725636532
2018-06-26,invaded,5,1132.0833333333333,128.8490719149088,NA,NaN,NA,NaN
2018-06-26,native,5,1097.0833333333333,34.34175389531031,22.5,22.105120755977868,320.4166666666667,52.89175624601511
2018-06-27,invaded,6,1387.0833333333333,124.1417506015774,NA,NaN,NA,NaN
2018-06-27,native,6,1306.25,128.135670287395,NA,NaN,NA,NaN
2018-06-28,invaded,7,1393.3333333333333,110.31634951219591,NA,NaN,NA,NaN
2018-06-28,native,7,1312.5,103.09968697598191,NA,NaN,NA,NaN
2018-06-29,invaded,8,1397.5,99.350161275433,NA,NaN,NA,NaN
2018-06-29,native,8,1325.4166666666667,104.21695755693621,NA,NaN,NA,NaN
2018-06-30,invaded,9,1417.5,53.236180451746435,NA,NaN,NA,NaN
2018-06-30,native,9,1404.5833333333333,58.01482307970694,NA,NaN,NA,NaN
2018-07-01,invaded,10,1395.4166666666667,105.60342481820054,NA,NaN,NA,NaN
2018-07-01,native,10,1347.0833333333333,114.66271355060405,NA,NaN,NA,NaN
2018-07-02,invaded,11,1273.3333333333333,198.5095982718735,NA,NaN,NA,NaN
2018-07-02,native,11,1097.9166666666667,171.0456921055856,NA,NaN,NA,NaN
2018-07-03,invaded,12,1422.0833333333333,57.42419245220501,NA,NaN,NA,NaN
2018-07-03,native,12,1412.9166666666667,48.26340291158572,NA,NaN,NA,NaN
2018-07-04,invaded,13,1405.4166666666667,56.586953737883206,NA,NaN,NA,NaN
2018-07-04,native,13,1362.0833333333333,77.70744475078928,NA,NaN,NA,NaN
2018-07-05,invaded,14,1434.5833333333333,18.76388374866284,NA,NaN,NA,NaN
2018-07-05,native,14,1300.8333333333333,284.43591172492245,NA,NaN,NA,NaN
2018-07-06,invaded,15,1397.9166666666667,123.79341907411963,NA,NaN,NA,NaN
2018-07-06,native,15,1298.3333333333333,284.66354408904095,NA,NaN,NA,NaN
2018-07-07,invaded,16,1365.4166666666667,135.30199107137628,NA,NaN,NA,NaN
2018-07-07,native,16,1235.8333333333333,263.04884901800455,NA,NaN,NA,NaN
2018-07-08,invaded,17,1302.0833333333333,205.718898382028,NA,NaN,NA,NaN
2018-07-08,native,17,1205.8333333333333,248.13699783984185,NA,NaN,NA,NaN
2018-07-09,invaded,18,1387.5,96.5189571582137,NA,NaN,NA,NaN
2018-07-09,native,18,1337.0833333333333,117.55962381496103,NA,NaN,NA,NaN
2018-07-10,invaded,19,1202.9166666666667,238.76060979122744,NA,NaN,NA,NaN
2018-07-10,native,19,1117.9166666666667,152.0235976499183,NA,NaN,NA,NaN
2018-07-11,invaded,20,1102.0833333333333,261.40753913219777,NA,NaN,NA,NaN
2018-07-11,native,20,1035.8333333333333,166.19858512324856,NA,NaN,NA,NaN
2018-07-12,invaded,21,1105.8333333333333,250.88781749956888,NA,NaN,NA,NaN
2018-07-12,native,21,1033.75,166.1615451628598,NA,NaN,NA,NaN
2018-07-13,invaded,22,1083.3333333333333,248.37044668776272,NA,NaN,NA,NaN
2018-07-13,native,22,1021.6666666666666,159.0787874169922,NA,NaN,NA,NaN
2018-07-14,invaded,23,1213.3333333333333,210.30641425973644,NA,NaN,NA,NaN
2018-07-14,native,23,1174.5833333333333,136.40611712045316,NA,NaN,NA,NaN
2018-07-15,invaded,24,1253.3333333333333,160.71337181077337,NA,NaN,NA,NaN
2018-07-15,native,24,1226.6666666666667,130.459560668036,NA,NaN,NA,NaN
2018-07-16,invaded,25,1218.3333333333333,213.09764442763338,NA,NaN,NA,NaN
2018-07-16,native,25,1225.8333333333333,150.48155026346907,NA,NaN,NA,NaN
2018-07-17,invaded,26,1375.8333333333333,68.91474750909578,NA,NaN,NA,NaN
2018-07-17,native,26,1369.1666666666667,54.01318581998513,NA,NaN,NA,NaN
2018-07-18,invaded,27,1440,0,NA,NaN,NA,NaN
2018-07-18,native,27,1411.25,99.59292143521044,NA,NaN,NA,NaN
2018-07-19,invaded,28,1440,0,NA,NaN,NA,NaN
2018-07-19,native,28,1328.3333333333333,386.82468035704926,NA,NaN,NA,NaN
2018-07-20,invaded,29,1440,0,NA,NaN,NA,NaN
2018-07-20,native,29,1314.5833333333333,388.2095166116858,NA,NaN,NA,NaN
2018-07-21,invaded,30,1433.3333333333333,15.56997888323046,NA,NaN,NA,NaN
2018-07-21,native,30,1242.9166666666667,389.3144226675525,NA,NaN,NA,NaN
2018-07-22,invaded,31,1428.75,38.97114317029974,NA,NaN,NA,NaN
2018-07-22,native,31,1135,528.9423409030516,NA,NaN,NA,NaN
2018-07-23,invaded,32,1365.4166666666667,177.32172011415418,NA,NaN,NA,NaN
2018-07-23,native,32,1203.1818181818182,337.2704606637878,NA,NaN,NA,NaN
