date,time,biomass,location,structure,fire_id,tempC
2017-12-01,14:24:10,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:10,250,25cm,piled,43,27.22
2017-12-01,14:24:10,250,50cm,piled,43,30.116666666666667
2017-12-01,14:24:11,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:11,250,25cm,piled,43,27.22
2017-12-01,14:24:11,250,50cm,piled,43,30.006666666666668
2017-12-01,14:24:12,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:12,250,25cm,piled,43,26.993333333333332
2017-12-01,14:24:12,250,50cm,piled,43,30.12
2017-12-01,14:24:13,250,0cm,piled,43,27.883333333333333
2017-12-01,14:24:13,250,25cm,piled,43,26.993333333333332
2017-12-01,14:24:13,250,50cm,piled,43,30.12
2017-12-01,14:24:14,250,0cm,piled,43,27.883333333333333
2017-12-01,14:24:14,250,25cm,piled,43,26.993333333333332
2017-12-01,14:24:14,250,50cm,piled,43,30.12
2017-12-01,14:24:15,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:15,250,25cm,piled,43,26.883333333333333
2017-12-01,14:24:15,250,50cm,piled,43,30.12
2017-12-01,14:24:16,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:16,250,25cm,piled,43,26.773333333333333
2017-12-01,14:24:16,250,50cm,piled,43,30.006666666666668
2017-12-01,14:24:17,250,0cm,piled,43,27.883333333333333
2017-12-01,14:24:17,250,25cm,piled,43,26.66
2017-12-01,14:24:17,250,50cm,piled,43,30.12
2017-12-01,14:24:18,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:18,250,25cm,piled,43,26.773333333333333
2017-12-01,14:24:18,250,50cm,piled,43,30.006666666666668
2017-12-01,14:24:19,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:19,250,25cm,piled,43,26.66
2017-12-01,14:24:19,250,50cm,piled,43,30.006666666666668
2017-12-01,14:24:20,250,0cm,piled,43,27.883333333333333
2017-12-01,14:24:20,250,25cm,piled,43,26.55
2017-12-01,14:24:20,250,50cm,piled,43,29.893333333333334
2017-12-01,14:24:21,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:21,250,25cm,piled,43,26.436666666666667
2017-12-01,14:24:21,250,50cm,piled,43,29.893333333333334
2017-12-01,14:24:22,250,0cm,piled,43,27.77
2017-12-01,14:24:22,250,25cm,piled,43,26.436666666666667
2017-12-01,14:24:22,250,50cm,piled,43,29.893333333333334
2017-12-01,14:24:23,250,0cm,piled,43,27.77
2017-12-01,14:24:23,250,25cm,piled,43,26.436666666666667
2017-12-01,14:24:23,250,50cm,piled,43,29.893333333333334
2017-12-01,14:24:24,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:24,250,25cm,piled,43,26.436666666666667
2017-12-01,14:24:24,250,50cm,piled,43,29.783333333333335
2017-12-01,14:24:25,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:25,250,25cm,piled,43,26.436666666666667
2017-12-01,14:24:25,250,50cm,piled,43,29.783333333333335
2017-12-01,14:24:26,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:26,250,25cm,piled,43,26.436666666666667
2017-12-01,14:24:26,250,50cm,piled,43,29.89666666666667
2017-12-01,14:24:27,250,0cm,piled,43,27.883333333333333
2017-12-01,14:24:27,250,25cm,piled,43,26.436666666666667
2017-12-01,14:24:27,250,50cm,piled,43,29.78666666666667
2017-12-01,14:24:28,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:28,250,25cm,piled,43,26.663333333333334
2017-12-01,14:24:28,250,50cm,piled,43,29.78666666666667
2017-12-01,14:24:29,250,0cm,piled,43,27.883333333333333
2017-12-01,14:24:29,250,25cm,piled,43,26.773333333333333
2017-12-01,14:24:29,250,50cm,piled,43,29.78666666666667
2017-12-01,14:24:30,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:30,250,25cm,piled,43,26.773333333333333
2017-12-01,14:24:30,250,50cm,piled,43,29.67666666666667
2017-12-01,14:24:31,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:31,250,25cm,piled,43,26.773333333333333
2017-12-01,14:24:31,250,50cm,piled,43,29.67666666666667
2017-12-01,14:24:32,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:32,250,25cm,piled,43,26.773333333333333
2017-12-01,14:24:32,250,50cm,piled,43,29.78666666666667
2017-12-01,14:24:33,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:33,250,25cm,piled,43,26.996666666666666
2017-12-01,14:24:33,250,50cm,piled,43,29.563333333333333
2017-12-01,14:24:34,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:34,250,25cm,piled,43,26.996666666666666
2017-12-01,14:24:34,250,50cm,piled,43,29.563333333333333
2017-12-01,14:24:35,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:35,250,25cm,piled,43,26.883333333333333
2017-12-01,14:24:35,250,50cm,piled,43,29.673333333333332
2017-12-01,14:24:36,250,0cm,piled,43,27.773333333333333
2017-12-01,14:24:36,250,25cm,piled,43,26.883333333333333
2017-12-01,14:24:36,250,50cm,piled,43,29.673333333333332
2017-12-01,14:24:37,250,0cm,piled,43,27.773333333333333
