location,fire_id,max_temp,avg_max_temp,s_abv100,s_abv300,date,fabio_id,biomass,litter_biomass,pct_green,biomass_type,structure,rate_of_spread_50cm,f_litter_biomass,f_biomass,total_biomass,pct_consumed,est_pct_fuel_moisture,pct_fuel_moisture,max_flame_ht,avg_flame_ht,max_fuel_ht,avg_litter_depth,avg_green_ht,avg_brown_ht,avg_fuel_ht
0cm,26,833.78,750.64,36,27,2017-09-07,2,2500,0,75,cogongrass,standing,NA,0g litter,2500g,2500,67.2876,52.09278438757168,41.93738924985233,133,111,141,0,134.33333333333334,110.33333333333333,122.33333333333334
0cm,27,639.93,629.622,74,45,2017-09-07,2,600,500,75,cogongrass,standing,NA,500g litter,600g,1100,83.59181818181818,41.16571555210815,36.64850136239782,39,35.5,118,8.333333333333334,111.66666666666667,95.66666666666667,103.66666666666667
0cm,28,829.78,735.496,19,11,2017-09-07,2,600,0,25,cogongrass,standing,NA,0g litter,600g,600,57.585,28.22900703367519,24.71395881006865,61,30.5,137,0,118.33333333333333,99.66666666666667,109
0cm,29,59.06,55.92,0,0,2017-09-07,2,1200,0,75,cogongrass,standing,NA,0g litter,1200g,1200,30.695833333333333,49.48836650033067,36.570862239841425,30,15,139,0,130.66666666666666,114.66666666666667,122.66666666666666
0cm,30,838.78,743.98,25,15,2017-09-07,2,800,0,25,cogongrass,standing,NA,0g litter,800g,800,48.0675,31.37726856977807,15.82381729200652,13,6.5,123,0,118,97.33333333333333,107.66666666666666
0cm,31,121.62,112.432,5,0,2017-09-07,2,400,0,75,cogongrass,standing,NA,0g litter,400g,400,28.450000000000003,39.563242487770786,37.65690376569038,-Inf,NaN,126,0,117.33333333333333,105.33333333333333,111.33333333333333
0cm,32,110.7,96.34,2,0,2017-09-07,2,400,0,25,cogongrass,standing,NA,0g litter,400g,400,19.769999999999996,19.60613236943787,13.010590015128598,-Inf,NaN,143,0,131.33333333333334,127.33333333333333,129.33333333333334
0cm,33,855.84,761.82,61,28,2017-09-07,2,800,500,25,cogongrass,standing,NA,500g litter,800g,1300,98.22923076923077,23.761946133796695,20.643729189789116,156,138,140,5.666666666666667,132.66666666666666,129.66666666666666,131.16666666666666
0cm,34,768.92,747.006,61,26,2017-09-07,2,800,500,75,cogongrass,standing,NA,500g litter,800g,1300,79.94307692307693,42.387052235943855,35.9106529209622,54,50.5,127,6,116.33333333333333,117,116.66666666666666
0cm,35,810.17,794.834,47,19,2017-09-07,2,1200,500,25,cogongrass,standing,NA,500g litter,1200g,1700,96.89529411764705,25.483137552103074,15.119363395225461,167,146.5,144,5.666666666666667,114.66666666666667,126.66666666666667,120.66666666666667
0cm,36,726.42,651.098,43,19,2017-09-07,2,3000,0,25,cogongrass,standing,NA,0g litter,3000g,3000,97.73166666666667,36.51726671565025,20.17640573318633,275,275,137,0,120,121.66666666666667,120.83333333333334
0cm,37,772.53,724.41,32,23,2017-09-07,2,200,500,75,cogongrass,standing,NA,500g litter,200g,700,91.84285714285714,31.996497373029776,26.605504587155966,33,29,107,6,102.33333333333333,92,97.16666666666666
0cm,38,636.72,581.5840000000001,15,7,2017-09-08,2,1200,0,25,cogongrass,standing,NA,0g litter,1200g,1200,96.05166666666665,22.33009708737865,19.83240223463687,115,107.5,129,0,108.66666666666667,122.33333333333333,115.5
0cm,39,621.69,605.808,62,39,2017-09-08,2,400,500,25,cogongrass,standing,NA,500g litter,400g,900,92.71111111111111,15.960365853658525,14.664586583463345,56,47.5,120,4.666666666666667,115,118.33333333333333,116.66666666666666
0cm,40,817.8,731.308,70,26,2017-09-08,2,1500,500,25,cogongrass,standing,NA,500g litter,1500g,2000,98.638,20.961820851688685,13.544018058690737,180,135,130,8,116.33333333333333,123,119.66666666666666
0cm,41,685.58,664.026,79,26,2017-09-08,2,600,500,25,cogongrass,standing,NA,500g litter,600g,1100,97.97818181818182,13.9388489208633,13.901760889712698,87,84,107,8.666666666666666,88.33333333333333,104,96.16666666666666
0cm,42,705.63,678.46,220,83,2017-09-08,2,0,3500,25,cogongrass,piled,NA,NA,0g,3500,99.44571428571429,33.4020618556701,16.80598328200616,170,128,72,39.333333333333336,50.666666666666664,61.666666666666664,56.166666666666664
25cm,1,630,476.032,18,7,2017-07-05,1,800,0,75,cogongrass,standing,NA,0g litter,800g,800,42.545,46.65607867026369,NA,-Inf,NaN,105,0,105,84.66666666666667,94.83333333333334
