date,fire_id,n_obs,avg_air_temp,se_air_temp,avg_rh,se_rh,avg_wind_speed,se_wind_speed
2017-12-04,54,80,25.7525,0.04079801279598389,55.152499999999996,0.11885496693263162,0.01625,0.04079801279598389
2017-12-04,56,275,25.264727272727274,0.0626793754603664,57.39090909090909,0.1384331350613358,0.25127272727272726,0.0626793754603664
2017-12-05,74,84,30.327380952380953,0.011777141535806451,47.63214285714286,0.021832349941659633,0,0.011777141535806451
2017-12-05,70,133,27.112781954887218,0.04883483509255883,59.57443609022556,0.07607102765062547,1.019548872180451,0.04883483509255883
2017-12-01,43,226,27.878761061946904,0.08476215240182652,36.79557522123894,0.0825330987769837,0.8796460176991151,0.08476215240182652
2017-12-01,44,176,28.110227272727272,0.09051468828731442,36.33238636363637,0.0958023868638332,0.8403409090909091,0.09051468828731442
2017-12-01,45,251,27.820717131474105,0.08576928850851176,37.505577689243026,0.04995810056948634,0.3844621513944223,0.08576928850851176
2017-12-01,46,201,27.824378109452738,0.09328853054868201,37.19701492537313,0.06123484866012536,0.4328358208955224,0.09328853054868201
2017-12-01,47,261,22.809961685823755,0.016957714967472465,64.44176245210728,0.061580374215619,0,0.016957714967472465
2017-12-01,48,186,26.083333333333332,0.018750827422086856,44.82634408602151,0.1231926490099195,0.3510752688172043,0.018750827422086856
2017-12-01,49,363,22.265289256198347,0.025415686991408736,67.7077134986226,0.05090077918532991,0,0.025415686991408736
2017-12-01,50,176,22.75625,0.015639116999353893,65.9659090909091,0.056550016519528186,0,0.015639116999353893
2017-12-04,51,560,26.692678571428573,0.06359662721639187,55.875,0.12768318770371637,0.5807142857142857,0.06359662721639187
2017-12-04,52,126,28.205555555555556,0.14763879369555982,54.26984126984127,0.23235514645505956,0.4365079365079365,0.14763879369555982
2017-12-04,53,80,25.7525,0.04079801279598389,55.152499999999996,0.11885496693263162,0.01625,0.04079801279598389
2017-12-04,55,275,25.264727272727274,0.0626793754603664,57.39090909090909,0.1384331350613358,0.25127272727272726,0.0626793754603664
2017-12-04,57,123,24.247154471544714,0.039053256905403004,60.042276422764225,0.09594614066588746,0.36829268292682926,0.039053256905403004
2017-12-04,58,13,23.56923076923077,0.013323467750530015,61.56923076923077,0.09633316612394449,0.7692307692307693,0.013323467750530015
2017-12-04,59,496,25.384677419354837,0.03985675865445482,59.708064516129035,0.0894674821361893,0.10141129032258064,0.03985675865445482
2017-12-04,60,141,25.79078014184397,0.04143940913432629,58.317730496453905,0.14577912706726462,0,0.04143940913432629
2017-12-04,61,337,24.3026706231454,0.010543548893291874,63.52077151335312,0.15132517760526687,0,0.010543548893291874
2017-12-04,62,99,24.2,0,62.52626262626263,0.00936951404372189,0,0
2017-12-05,63,226,26.912389380530975,0.05282674409363301,60.607964601769915,0.07768347947675114,1.0924778761061946,0.05282674409363301
2017-12-05,64,81,27.082716049382714,0.08557701973640712,60.47901234567901,0.060315939005330915,1.1037037037037036,0.08557701973640712
2017-12-05,65,226,28.705309734513275,0.09282982901385249,56.63008849557522,0.1274078144946325,0.7234513274336283,0.09282982901385249
2017-12-05,66,116,29.281896551724138,0.14981547439671306,55.860344827586204,0.20325639567877088,0.6922413793103448,0.14981547439671306
2017-12-05,67,135,28.21851851851852,0.10441966389552482,55.95925925925926,0.21498144544693285,0.4948148148148148,0.10441966389552482
2017-12-05,68,77,27.722077922077922,0.10067481432131281,56.955844155844154,0.14245064267939525,0.587012987012987,0.10067481432131281
2017-12-05,69,133,27.112781954887218,0.04883483509255883,59.57443609022556,0.07607102765062547,1.019548872180451,0.04883483509255883
2017-12-05,71,351,28.467236467236468,0.05808175082749986,52.047578347578344,0.10848854070522995,0.711965811965812,0.05808175082749986
2017-12-05,72,26,28.346153846153847,0.16845275705949952,52.16153846153846,0.09431158230150208,0.4269230769230769,0.16845275705949952
2017-12-05,73,84,30.327380952380953,0.011777141535806451,47.63214285714286,0.021832349941659633,0,0.011777141535806451
