status,installation,plot_id,sd_card,start_date,end_date,camera_days
invaded,avonpark,i1,108-1,2019-04-15,2019-05-03,18
invaded,avonpark,i1,9-1,2019-04-11,2019-05-04,23
invaded,brown,i1,102-1,2019-04-07,2019-04-25,18
invaded,brown,i1,34-1,2019-04-05,2019-04-25,20
invaded,brown,i2,102-2,2019-04-27,2019-05-18,21
invaded,brown,i2,34-2,2019-04-25,2019-05-17,22
invaded,brown,i3,112-2,2019-05-17,2019-05-17,0
invaded,hancock,i1,12-1,2019-04-17,2019-05-08,21
invaded,hancock,i1,7-1,2019-04-17,2019-05-08,21
invaded,hancock,i2,2-1,2019-04-17,2019-04-27,10
invaded,hancock,i2,5-1,2019-04-17,2019-04-27,10
invaded,munson,i1,20-1,2019-05-01,2019-06-06,36
invaded,peaceriver,i1,109-1,2019-04-11,2019-04-15,4
invaded,peaceriver,i1,22-1,2019-04-11,2019-05-07,26
invaded,peaceriver,i2,110-1,2019-04-11,2019-05-08,27
invaded,peaceriver,i2,27-1,2019-04-15,2019-04-29,14
invaded,peaceriver,i3,10-1,2019-04-12,2019-04-13,1
invaded,peaceriver,i3,111-1,2019-04-12,2019-05-07,25
invaded,riversedge,i1,38-1,2019-05-01,2019-05-01,0
invaded,riversedge,i2,113-1,2019-05-01,2019-05-04,3
invaded,seay,i1,103-1,2019-04-08,2019-04-17,9
invaded,seay,i1,103-2,2019-04-23,2019-05-12,19
invaded,seay,i1,33-1,2019-04-08,2019-04-23,15
invaded,seay,i1,33-2,2019-04-26,2019-05-04,8
invaded,seay,i2,103-3,2019-05-14,2019-05-23,9
invaded,seay,i2,33-3,2019-05-22,2019-05-22,0
invaded,silversprings,i1,105-1,2019-04-26,2019-04-26,0
invaded,silversprings,i1,15-1,2019-05-08,2019-05-21,13
invaded,wes,i1,28-1,2019-04-03,2019-04-15,12
invaded,wes,i1,6-1,2019-04-04,2019-04-09,5
invaded,wes,i2,28-2,2019-04-23,2019-05-14,21
invaded,wes,i2,6-2,2019-05-03,2019-05-03,0
native,avonpark,n1,37-1,2019-04-11,2019-05-05,24
native,brown,n1,101-1,2019-04-06,2019-04-24,18
native,brown,n1,21-1,2019-04-05,2019-04-07,2
native,brown,n2,101-2,2019-04-25,2019-05-21,26
native,brown,n2,21-2,2019-04-25,2019-05-21,26
native,brown,n3,108-2,2019-05-17,2019-05-21,4
native,brown,n3,9-2,2019-05-20,2019-05-21,1
native,hancock,n1,14-1,2019-01-02,2019-01-17,15
native,munson,n1,35-1,2019-05-01,2019-06-05,35
native,riversedge,n1,114-1,2019-05-01,2019-05-19,18
native,riversedge,n1,42-1,2019-05-07,2019-06-04,28
native,seay,n1,104-1,2019-04-09,2019-04-22,13
native,seay,n1,25-1,2019-04-12,2019-04-23,11
native,seay,n1,25-2,2019-04-23,2019-05-03,10
native,seay,n2,104-3,2019-05-15,2019-05-22,7
native,silversprings,n1,106-1,2019-04-25,2019-05-22,27
native,silversprings,n1,23-1,2019-04-25,2019-05-02,7
native,wes,n1,4-1,2019-01-01,2019-01-22,21
native,wes,n1,8-1,2019-01-02,2019-01-21,19
