armadillo,bobcat,cow,ctime,deer,empty,file_name,fox,mtime,other,path,pig,raccoon,relpath,size,squirrel,turkey,type,unknown
0,0,0,10 Jun 2019 15:36:24,1,False,10-1-100EK113-04120086.JPG,0,12 Apr 2019 04:30:52,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120086.JPG,0,0,10-1-100EK113-04120086.JPG,1416667,0,0,image,0
0,0,0,10 Jun 2019 15:36:44,1,False,10-1-100EK113-04120087.JPG,0,12 Apr 2019 04:30:52,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120087.JPG,0,0,10-1-100EK113-04120087.JPG,1418357,0,0,image,0
0,0,0,10 Jun 2019 15:57:07,1,False,10-1-100EK113-04120089.JPG,0,12 Apr 2019 04:30:58,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120089.JPG,0,0,10-1-100EK113-04120089.JPG,1398618,0,0,image,0
0,0,0,10 Jun 2019 15:35:05,1,False,10-1-100EK113-04120090.JPG,0,12 Apr 2019 04:30:58,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120090.JPG,0,0,10-1-100EK113-04120090.JPG,1398470,0,0,image,0
0,0,0,10 Jun 2019 15:36:23,1,False,10-1-100EK113-04120092.JPG,0,12 Apr 2019 04:31:06,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120092.JPG,0,0,10-1-100EK113-04120092.JPG,1401669,0,0,image,0
0,0,0,10 Jun 2019 15:36:34,0,False,10-1-100EK113-04130097.JPG,0,13 Apr 2019 01:20:36,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130097.JPG,1,0,10-1-100EK113-04130097.JPG,1415938,0,0,image,0
0,0,0,10 Jun 2019 15:57:20,0,False,10-1-100EK113-04130098.JPG,0,13 Apr 2019 01:20:40,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130098.JPG,1,0,10-1-100EK113-04130098.JPG,1396153,0,0,image,0
0,0,0,10 Jun 2019 15:57:23,0,False,10-1-100EK113-04130099.JPG,0,13 Apr 2019 01:20:40,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130099.JPG,1,0,10-1-100EK113-04130099.JPG,1417971,0,0,image,0
0,0,0,10 Jun 2019 15:53:34,1,False,10-1-100EK113-04130101.JPG,0,13 Apr 2019 06:34:02,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130101.JPG,0,0,10-1-100EK113-04130101.JPG,1398499,0,0,image,0
0,0,0,10 Jun 2019 15:56:25,1,False,10-1-100EK113-04130107.JPG,0,13 Apr 2019 06:34:24,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130107.JPG,0,0,10-1-100EK113-04130107.JPG,1412437,0,0,image,0
