armadillo,bobcat,cow,ctime,deer,empty,file_name,fox,mtime,other,path,pig,raccoon,relpath,size,squirrel,turkey,type,unknown
0,0,0,6/10/2019 15:36,1,FALSE,10-1-100EK113-04120086.JPG,0,4/12/2019 4:30,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120086.JPG,0,0,10-1-100EK113-04120086.JPG,1416667,0,0,image,0
0,0,0,6/10/2019 15:36,1,FALSE,10-1-100EK113-04120087.JPG,0,4/12/2019 4:30,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120087.JPG,0,0,10-1-100EK113-04120087.JPG,1418357,0,0,image,0
0,0,0,6/10/2019 15:57,1,FALSE,10-1-100EK113-04120089.JPG,0,4/12/2019 4:30,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120089.JPG,0,0,10-1-100EK113-04120089.JPG,1398618,0,0,image,0
0,0,0,6/10/2019 15:35,1,FALSE,10-1-100EK113-04120090.JPG,0,4/12/2019 4:30,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120090.JPG,0,0,10-1-100EK113-04120090.JPG,1398470,0,0,image,0
0,0,0,6/10/2019 15:36,1,FALSE,10-1-100EK113-04120092.JPG,0,4/12/2019 4:31,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120092.JPG,0,0,10-1-100EK113-04120092.JPG,1401669,0,0,image,0
0,0,0,6/10/2019 15:36,0,FALSE,10-1-100EK113-04130097.JPG,0,4/13/2019 1:20,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130097.JPG,1,0,10-1-100EK113-04130097.JPG,1415938,0,0,image,0
0,0,0,6/10/2019 15:57,0,FALSE,10-1-100EK113-04130098.JPG,0,4/13/2019 1:20,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130098.JPG,1,0,10-1-100EK113-04130098.JPG,1396153,0,0,image,0
0,0,0,6/10/2019 15:57,0,FALSE,10-1-100EK113-04130099.JPG,0,4/13/2019 1:20,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130099.JPG,1,0,10-1-100EK113-04130099.JPG,1417971,0,0,image,0
0,0,0,6/10/2019 15:53,1,FALSE,10-1-100EK113-04130101.JPG,0,4/13/2019 6:34,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130101.JPG,0,0,10-1-100EK113-04130101.JPG,1398499,0,0,image,0
0,0,0,6/10/2019 15:56,1,FALSE,10-1-100EK113-04130107.JPG,0,4/13/2019 6:34,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130107.JPG,0,0,10-1-100EK113-04130107.JPG,1412437,0,0,image,0
0,0,0,6/10/2019 15:35,1,FALSE,10-1-100EK113-04130108.JPG,0,4/13/2019 6:34,,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130108.JPG,0,0,10-1-100EK113-04130108.JPG,1408624,0,0,image,0
