"name","burn_unit_id","descriptio","elevGPS","fire_year","imcy_inv","instal","xcoord_lon","ycoord_lat"
"BlandingC2","C","Semipermanent plot",67.591774,2015,"univaded","blanding",-82.000863,29.82826
"BlandingC1","C","Semipermanent plot",67.070839,2015,"uninvaded","blanding",-81.997211,29.826576
"Flame1","C","Flame height sensor",61.425365,2015,"univaded","blanding",-81.997226,29.826744
"Flame2","C","Flame height sensor",64.51474,2015,"univaded","blanding",-81.998623,29.828729
"Flame3","C","Flame height sensor",64.973427,2015,"univaded","blanding",-82.000901,29.828314
"Flame4","C","Flame height sensor",62.637985,2015,"univaded","blanding",-82.00106,29.825849
"Flame5","C","Flame height sensor",63.479355,2015,"univaded","blanding",-81.997856,29.823841
"Flame6","C","Flame height sensor",116.269753,2015,"univaded","blanding",-82.006138,29.82915
"BlandingC3","C","Semipermanent plot",59.175255,2015,"univaded","blanding",-82.00665,29.833412
"Flame7","C","Flame height sensor",57.964844,2015,"univaded","blanding",-82.006505,29.833468
"Flame8","C","Flame height sensor",57.102341,2015,"univaded","blanding",-82.008675,29.834632
"BlandingG1","G","Semipermanent plot",62.664928,2011,"uninvaded","blanding",-81.950797,29.869148
"BlandingG2","G","Semipermanent plot",61.75985,2011,"univaded","blanding",-81.948623,29.869126
"BlandingD1","D","Semipermanent plot",65.79071,2014,"uninvaded","blanding",-81.998625,29.869196
"BlandingD2","D","Semipermanent plot",64.437759,2014,"univaded","blanding",-82.001345,29.868386
"BlandingA1","A","Semipermanent plot",63.187447,2017,"uninvaded","blanding",-82.001082,29.86202
"BlandingA2","A","Semipermanent plot",59.931034,2017,"univaded","blanding",-81.998385,29.860027
"BlandingB1","B","Semipermanent plot",56.11478,2016,"uninvaded","blanding",-81.990587,29.832857
"BlandingB2","B","Semipermanent plot",52.88636,2016,"univaded","blanding",-81.994264,29.833704
"EglinB1","B","Semipermanent plot",81.403915,2016,"uninvaded","eglin",-86.253158,30.73214
"EglinP1","P","Semipermanent plot",83.464394,2010,"uninvaded","eglin",-86.275308,30.734897
"EglinD1","D","Semipermanent plot",61.879723,2014,"uninvaded","eglin",-86.510521,30.596483
"EglinH1","H","Semipermanent plot",47.719147,2008,"uninvaded","eglin",-86.480089,30.571814
"TyndallB2","B","Semipermanent plot",9.334979,2017,"uninvaded","tyndall",-85.476082,30.000315
"TyndallB1","B","Semipermanent plot",22.957306,2017,"invaded","tyndall",-85.47658,29.998418
"TyndallD1","D","Semipermanent plot",19.344393,2014,"uninvaded","tyndall",-85.550225,30.042322
"TyndallH1","H","Semipermanent plot",27.585493,2011,"uninvaded","tyndall",-85.781019,30.246446
"AvonParkA1","A","Semipermanent plot",28.197351,2017,"invaded","avonpark",-81.309644,27.67576
"AvonParkC1","C","Semipermanent plot",28.043852,2015,"invaded","avonpark",-81.325371,27.6764
"AvonParkB1","B","Semipermanent plot",39.8161,2016,"invaded","avonpark",-81.283521,27.67749
"AvonParkD1","D","Semipermanent plot",31.7733,2014,"uninvaded","avonpark",-81.387992,27.711576
"BlandingF1","F","Semipermanent plot",59.644012,2007,"uninvaded","blanding",-81.982317,29.833612
"BlandingE1","E","Semipermanent plot",67.020691,2013,"uninvaded","blanding",-81.965662,29.849803
"BlandingH1","H","Semipermanent plot",71.739365,2009,"uninvaded","blanding",-81.949534,29.866916
"ShelbyF1","F","Semipermanent plot",78.157852,2012,"invaded","shelby",-89.014919,31.099479
"ShelbyB1","B","Semipermanent plot",87.176521,2010,"invaded","shelby",-89.055373,31.123623
"ShelbyD1","D","Semipermanent plot",98.274284,2014,"invaded","shelby",-89.111628,31.172392
"ShelbyB2","B","Semipermanent plot",92.001205,2016,"uninvaded","shelby",-89.048217,31.11502
"ShelbyB3","B","Semipermanent plot",90.189041,2016,"invaded","shelby",-89.048707,31.114496
"ShelbyG1","G","Semipermanent plot",107.759796,2011,"uninvaded","shelby",-89.065989,31.148769
"MoodyB1","B","Semipermanent plot",72.337563,2016,"uninvaded","moody",-83.1753,30.984401
"MoodyA1","A","Semipermanent plot",79.565842,2017,"uninvaded","moody",-83.179208,30.98314
"MoodyK1","K","Semipermanent plot",68.4384,2006,"uninvaded","moody",-83.183563,30.950761
