"installation","plot_id","date","location","species","dung1m","dung2m","notes"
"avonpark","A1",20170627,"North","Cottontail",5,0,NA
"avonpark","A1",20170627,"North","Cow",5,1,NA
"avonpark","A1",20170627,"East","Cottontail",30,4,NA
"avonpark","A1",20170627,"East","Cow",1,0,NA
"avonpark","A1",20170627,"South","Cottontail",17,5,NA
"avonpark","A1",20170627,"South","Cow",7,3,NA
"avonpark","A1",20170627,"West","Cottontail",13,3,NA
"avonpark","A1",20170627,"West","Cow",2,0,NA
"avonpark","B1",20170629,"North",NA,0,0,NA
"avonpark","B1",20170629,"East",NA,0,0,NA
"avonpark","B1",20170629,"South",NA,0,0,NA
"avonpark","B1",20170629,"West",NA,0,0,NA
"avonpark","C1",20170628,"North","Cow",3,0,NA
"avonpark","C1",20170628,"North","Hog",1,0,NA
"avonpark","C1",20170628,"East","Cow",4,1,NA
"avonpark","C1",20170628,"South","Cow",1,1,NA
"avonpark","C1",20170628,"West","Cow",2,1,NA
"avonpark","C1",20170628,"West","Hog",1,1,NA
"avonpark","C1",20170628,"West","Racoon",1,0,NA
"avonpark","D1",20170630,"North","Cottontail",1,0,"Deer tracks nearby"
"avonpark","D1",20170630,"East",NA,0,0,NA
"avonpark","D1",20170620,"South","Cottontail",1,1,NA
"avonpark","D1",20170620,"West",NA,0,0,NA
"blanding","A1",20170610,"North","Cottontail",2,3,NA
"blanding","A1",20170610,"North","Deer",1,0,NA
"blanding","A1",20170610,"East","Cottontail",11,7,NA
"blanding","A1",20170610,"South","Cottontail",27,6,NA
"blanding","A1",20170610,"West","Cottontail",3,0,NA
"blanding","D1",20170610,"North","Cottontail",1,0,"Deer tracks nearby"
"blanding","D1",20170610,"East","Cottontail",1,2,NA
"blanding","D1",20170610,"South",NA,0,0,NA
"blanding","D1",20170610,"West","Cottontail",1,1,NA
"blanding","C1",20170608,"North",NA,0,0,NA
"blanding","C1",20170608,"East",NA,0,0,NA
"blanding","C1",20170608,"South","Cottontail",7,1,NA
"blanding","C1",20170608,"West",NA,0,0,NA
"blanding","B1",20170608,"North","Cottontail",29,27,NA
"blanding","B1",20170608,"East","Armadillo",1,0,NA
"blanding","B1",20170608,"East","Cottontail",20,4,NA
"blanding","B1",20170608,"South","Cottontail",28,9,NA
"blanding","B1",20170608,"West","Cottontail",25,25,NA
"blanding","E1",20170615,"North",NA,0,0,"Deer tracks nearby"
"blanding","E1",20170615,"East","Cottontail",1,0,NA
"blanding","E1",20170615,"South","Deer",2,0,NA
"blanding","E1",20170615,"West",NA,0,0,NA
"blanding","G1",20170615,"North",NA,0,0,NA
"blanding","G1",20170615,"East","Deer",1,0,NA
"blanding","G1",20170615,"South","Armadillo",1,0,NA
"blanding","G1",20170615,"South","Other",0,1,NA
"blanding","G1",20170615,"West",NA,0,0,NA
"blanding","H1",20170616,"North",NA,0,0,"Deer scat nearby"
"blanding","H1",20170616,"East","Cottontail",3,0,NA
"blanding","H1",20170616,"South","Cottontail",1,0,NA
"blanding","H1",20170616,"West",NA,0,0,NA
"blanding","F1",20170621,"North","Armadillo",0,1,NA
"blanding","F1",20170621,"North","Cottontail",47,21,NA
"blanding","F1",20170621,"East","Cottontail",1,1,NA
"blanding","F1",20170621,"South","Cottontail",19,7,NA
"blanding","F1",20170621,"West","Cottontail",57,5,NA
"tyndall","B1",20170718,"North",NA,0,0,NA
"tyndall","B1",20170718,"East",NA,0,0,NA
"tyndall","B1",20170717,"South",NA,0,0,NA
"tyndall","B1",20170717,"West","Deer",3,0,NA
"tyndall","B2",20170719,"North",NA,0,0,NA
"tyndall","B2",20170719,"East","Deer",3,0,NA
"tyndall","B2",20170719,"South",NA,0,0,NA
"tyndall","B2",20170719,"West",NA,0,0,NA
"tyndall","D1",20170720,"North",NA,0,0,NA
"tyndall","D1",20170720,"East",NA,0,0,NA
"tyndall","D1",20170720,"South",NA,0,0,NA
"tyndall","D1",20170720,"West",NA,0,0,NA
"tyndall","H1",20170720,"North",NA,0,0,NA
"tyndall","H1",20170720,"East",NA,0,0,NA
"tyndall","H1",20170720,"South",NA,0,0,NA
"tyndall","H1",20170720,"West",NA,0,0,NA
"moody","A1",20170830,"North","Deer",1,0,NA
"moody","A1",20170830,"East",NA,0,0,NA
"moody","A1",20170830,"South","Deer",1,0,NA
"moody","A1",20170830,"West","Deer",1,0,NA
"moody","B1",20170829,"North",NA,0,0,NA
"moody","B1",20170829,"East","Deer",1,0,NA
"moody","B1",20170829,"South",NA,0,0,NA
"moody","B1",20170829,"West",NA,0,0,NA
"moody","K1",20170830,"North",NA,0,0,NA
"moody","K1",20170830,"East",NA,0,0,NA
"moody","K1",20170830,"South",NA,0,0,NA
"moody","K1",20170830,"West",NA,0,0,NA
