status,date,avg_daily_min_rh
invaded,2019-06-13,95.50477777777778
invaded,2019-06-14,89.91422222222222
invaded,2019-06-15,85.39411111111112
invaded,2019-06-16,84.422111111111107
invaded,2019-06-17,88.31677777777777
invaded,2019-06-18,91.02655555555556
invaded,2019-06-19,91.799
invaded,2019-06-20,90.38022222222222
invaded,2019-06-21,86.85777777777778
invaded,2019-06-22,86.501
invaded,2019-06-23,81.051
invaded,2019-06-24,77.82488888888889
invaded,2019-06-25,78.48166666666667
invaded,2019-06-26,71.92833333333333
invaded,2019-06-27,80.20144444444445
invaded,2019-06-28,76.80677777777778
invaded,2019-06-29,93.02777777777777
invaded,2019-06-30,89.80799999999999
invaded,2019-07-01,84.58433333333333
invaded,2019-07-02,79.74677777777778
invaded,2019-07-03,75.93488888888889
invaded,2019-07-04,79.01566666666666
invaded,2019-07-05,87.15133333333333
invaded,2019-07-06,91.39722222222223
invaded,2019-07-07,96.13544444444445
invaded,2019-07-08,94.00111111111111
invaded,2019-07-09,93.41077777777778
invaded,2019-07-10,92.44677777777778
invaded,2019-07-11,92.008
invaded,2019-07-12,94.64622222222222
invaded,2019-07-13,93.3441111111111
invaded,2019-07-14,88.33233333333334
invaded,2019-07-15,88.31422222222223
invaded,2019-07-16,84.744
invaded,2019-07-17,88.94677777777778
invaded,2019-07-18,94.408
invaded,2019-07-19,91.27777777777777
invaded,2019-07-20,95.06244444444444
invaded,2019-07-21,95.94833333333334
invaded,2019-07-22,96.26188888888889
invaded,2019-07-23,97.259
invaded,2019-07-24,97.99866666666667
invaded,2019-07-25,95.39955555555555
invaded,2019-07-26,92.44844444444445
invaded,2019-07-27,87.94633333333333
invaded,2019-07-28,88.07644444444445
invaded,2019-07-29,87.945
invaded,2019-07-30,85.54588888888888
invaded,2019-07-31,87.82955555555556
invaded,2019-08-01,89.1348888888889
native,2019-06-13,80.029625
native,2019-06-14,70.94325
native,2019-06-15,69.54
native,2019-06-16,69.0705
native,2019-06-17,82.001
native,2019-06-18,79.843125
native,2019-06-19,79.83575
native,2019-06-20,72.79837500000001
native,2019-06-21,65.567875
native,2019-06-22,66.7685
native,2019-06-23,59.48125
native,2019-06-24,57.373875
native,2019-06-25,58.57825
native,2019-06-26,52.4105
native,2019-06-27,55.88
native,2019-06-28,54.921125
native,2019-06-29,73.08175
native,2019-06-30,65.346875
native,2019-07-01,57.418375
native,2019-07-02,55.641375000000004
native,2019-07-03,54.050125
native,2019-07-04,60.712875000000004
native,2019-07-05,72.419
native,2019-07-06,76.98025
native,2019-07-07,78.554125
native,2019-07-08,75.847875
native,2019-07-09,79.150375
native,2019-07-10,73.70775
native,2019-07-11,74.74312499999999
native,2019-07-12,77.67775
native,2019-07-13,74.955625
native,2019-07-14,64.395875
native,2019-07-15,61.307375
native,2019-07-16,64.890875
native,2019-07-17,67.1125
native,2019-07-18,75.55275
native,2019-07-19,71.65112500000001
native,2019-07-20,70.429
native,2019-07-21,75.565375
native,2019-07-22,76.46425
native,2019-07-23,82.260625
native,2019-07-24,87.244375
native,2019-07-25,86.20675
native,2019-07-26,82.310125
native,2019-07-27,68.445
native,2019-07-28,59.776624999999996
native,2019-07-29,65.27428571428571
native,2019-07-30,57.272375000000004
native,2019-07-31,64.3
native,2019-08-01,65.825125
