date,status,logger_id,minutes_above_85,minutes_bw_75_85,minutes_below_75,days
2019-06-13,invaded,03,1435,NA,NA,1
2019-06-13,invaded,06,1435,NA,NA,1
2019-06-13,invaded,07,1435,NA,NA,1
2019-06-13,invaded,11,1435,NA,NA,1
2019-06-13,invaded,15,1435,NA,NA,1
2019-06-13,invaded,16,1435,NA,NA,1
2019-06-13,invaded,20,1435,NA,NA,1
2019-06-13,invaded,23,1435,NA,NA,1
2019-06-13,native,01,1435,NA,NA,1
2019-06-13,native,02,315,215,905,1
2019-06-13,native,04,1435,NA,NA,1
2019-06-13,native,10,1390,45,NA,1
2019-06-13,native,12,1270,165,NA,1
2019-06-13,native,21,1435,NA,NA,1
2019-06-13,native,24,1435,NA,NA,1
2019-06-14,invaded,03,1110,265,65,2
2019-06-14,invaded,06,1440,NA,NA,2
2019-06-14,invaded,07,1440,NA,NA,2
2019-06-14,invaded,11,1440,NA,NA,2
2019-06-14,invaded,15,1440,NA,NA,2
2019-06-14,invaded,16,1440,NA,NA,2
2019-06-14,invaded,20,1440,NA,NA,2
2019-06-14,invaded,23,1440,NA,NA,2
2019-06-14,native,01,1440,NA,NA,2
2019-06-14,native,02,130,290,1020,2
2019-06-14,native,04,1125,220,95,2
2019-06-14,native,05,80,230,1130,2
2019-06-14,native,10,945,230,260,2
2019-06-14,native,12,725,170,545,2
2019-06-14,native,21,1440,NA,NA,2
2019-06-14,native,24,1415,25,NA,2
2019-06-15,invaded,03,985,260,195,3
2019-06-15,invaded,06,1290,150,NA,3
2019-06-15,invaded,07,1440,NA,NA,3
2019-06-15,invaded,11,1440,NA,NA,3
2019-06-15,invaded,15,1440,NA,NA,3
2019-06-15,invaded,16,1440,NA,NA,3
2019-06-15,invaded,20,1440,NA,NA,3
2019-06-15,invaded,23,1440,NA,NA,3
2019-06-15,native,01,1430,10,NA,3
2019-06-15,native,02,175,270,995,3
2019-06-15,native,04,1095,290,55,3
2019-06-15,native,05,370,270,800,3
2019-06-15,native,10,860,245,335,3
2019-06-15,native,12,775,210,455,3
2019-06-15,native,21,1440,NA,NA,3
2019-06-15,native,24,1425,15,NA,3
2019-06-16,invaded,03,930,280,230,4
2019-06-16,invaded,06,1185,250,NA,4
2019-06-16,invaded,07,1435,NA,NA,4
2019-06-16,invaded,11,1440,NA,NA,4
2019-06-16,invaded,15,1440,NA,NA,4
2019-06-16,invaded,16,1440,NA,NA,4
2019-06-16,invaded,20,1440,NA,NA,4
2019-06-16,invaded,23,1440,NA,NA,4
2019-06-16,native,01,1440,NA,NA,4
2019-06-16,native,02,185,290,965,4
2019-06-16,native,04,1320,120,NA,4
2019-06-16,native,05,115,335,990,4
2019-06-16,native,10,1210,110,120,4
2019-06-16,native,12,780,345,315,4
2019-06-16,native,21,1440,NA,NA,4
2019-06-16,native,24,1255,110,75,4
2019-06-17,invaded,03,1270,170,NA,5
2019-06-17,invaded,06,1440,NA,NA,5
2019-06-17,invaded,07,1440,NA,NA,5
2019-06-17,invaded,11,1440,NA,NA,5
2019-06-17,invaded,15,1440,NA,NA,5
2019-06-17,invaded,16,1440,NA,NA,5
2019-06-17,invaded,20,1440,NA,NA,5
2019-06-17,invaded,23,1440,NA,NA,5
2019-06-17,native,01,1440,NA,NA,5
2019-06-17,native,02,315,350,775,5
2019-06-17,native,04,1440,NA,NA,5
2019-06-17,native,05,90,115,1235,5
2019-06-17,native,10,1165,95,180,5
2019-06-17,native,12,1440,NA,NA,5
2019-06-17,native,21,1440,NA,NA,5
2019-06-17,native,24,1440,NA,NA,5
2019-06-18,invaded,03,1440,NA,NA,6
2019-06-18,invaded,06,1440,NA,NA,6
2019-06-18,invaded,07,1440,NA,NA,6
2019-06-18,invaded,11,1440,NA,NA,6
2019-06-18,invaded,15,1440,NA,NA,6
2019-06-18,invaded,16,1440,NA,NA,6
2019-06-18,invaded,20,1440,NA,NA,6
2019-06-18,invaded,23,1440,NA,NA,6
2019-06-18,native,01,1440,NA,NA,6
2019-06-18,native,02,10,140,1290,6
2019-06-18,native,04,1440,NA,NA,6
2019-06-18,native,10,1335,70,35,6
2019-06-18,native,12,1235,190,15,6
2019-06-18,native,21,1440,NA,NA,6
2019-06-18,native,24,1440,NA,NA,6
2019-06-19,invaded,03,1440,NA,NA,7
2019-06-19,invaded,06,1440,NA,NA,7
2019-06-19,invaded,07,1440,NA,NA,7
2019-06-19,invaded,11,1440,NA,NA,7
2019-06-19,invaded,15,1440,NA,NA,7
2019-06-19,invaded,16,1440,NA,NA,7
2019-06-19,invaded,20,1440,NA,NA,7
2019-06-19,invaded,23,1440,NA,NA,7
2019-06-19,native,01,1440,NA,NA,7
2019-06-19,native,04,1440,NA,NA,7
2019-06-19,native,10,1250,135,55,7
2019-06-19,native,12,1440,NA,NA,7
2019-06-19,native,21,1440,NA,NA,7
2019-06-19,native,24,1440,NA,NA,7
2019-06-20,invaded,03,1440,NA,NA,8
2019-06-20,invaded,06,1440,NA,NA,8
2019-06-20,invaded,07,1440,NA,NA,8
2019-06-20,invaded,11,1440,NA,NA,8
2019-06-20,invaded,15,1440,NA,NA,8
2019-06-20,invaded,16,1440,NA,NA,8
2019-06-20,invaded,20,1440,NA,NA,8
2019-06-20,invaded,23,1440,NA,NA,8
2019-06-20,native,01,1355,85,NA,8
2019-06-20,native,02,90,420,930,8
2019-06-20,native,04,1440,NA,NA,8
2019-06-20,native,05,230,290,920,8
2019-06-20,native,10,925,160,355,8
2019-06-20,native,12,1185,255,NA,8
2019-06-20,native,21,1080,305,55,8
2019-06-20,native,24,1440,NA,NA,8
2019-06-21,invaded,03,1430,10,NA,9
2019-06-21,invaded,06,1440,NA,NA,9
2019-06-21,invaded,07,1440,NA,NA,9
2019-06-21,invaded,11,1440,NA,NA,9
2019-06-21,invaded,15,1440,NA,NA,9
2019-06-21,invaded,16,1440,NA,NA,9
2019-06-21,invaded,20,1440,NA,NA,9
2019-06-21,invaded,23,1440,NA,NA,9
2019-06-21,native,01,975,465,NA,9
2019-06-21,native,02,105,385,950,9
2019-06-21,native,04,995,385,60,9
2019-06-21,native,05,285,515,640,9
2019-06-21,native,10,770,135,535,9
2019-06-21,native,12,1300,75,65,9
