status,date,mean_tempC,mean_rh
invaded,2019-06-13,23.866620209059235,96.73175687185443
invaded,2019-06-14,23.89956674382716,94.23257330246913
invaded,2019-06-15,24.938868055555556,93.81588888888889
invaded,2019-06-16,25.03781365740741,93.09092283950618
invaded,2019-06-17,24.314816358024693,93.44539081790124
invaded,2019-06-18,24.706619212962963,93.73914158950618
invaded,2019-06-19,24.691855709876542,93.89590277777778
invaded,2019-06-20,26.032104938271605,93.78768055555555
invaded,2019-06-21,27.101341049382714,93.03970138888889
invaded,2019-06-22,26.654175925925927,93.29666358024691
invaded,2019-06-23,26.814942515432097,91.98015200617284
invaded,2019-06-24,26.862564043209876,91.27886535493828
invaded,2019-06-25,27.47073765432099,91.1522037037037
invaded,2019-06-26,27.42311651234568,89.71733179012345
invaded,2019-06-27,26.39809375,91.93959490740741
invaded,2019-06-28,25.913984182098766,92.1956624228395
invaded,2019-06-29,24.451702546296296,94.85203202160494
invaded,2019-06-30,25.48492438271605,93.77352199074075
invaded,2019-07-01,26.653163580246915,93.00249305555556
invaded,2019-07-02,27.181671682098766,92.2649899691358
invaded,2019-07-03,27.462280478395062,91.41981172839506
invaded,2019-07-04,26.9243125,92.43844714506173
invaded,2019-07-05,25.99303125,95.2280374228395
invaded,2019-07-06,25.125748456790124,96.26388811728395
invaded,2019-07-07,25.19255825617284,97.08415856481481
invaded,2019-07-08,25.643485725308643,96.4966026234568
invaded,2019-07-09,25.853046682098764,96.44089776234568
invaded,2019-07-10,26.258422067901236,95.81076774691358
invaded,2019-07-11,25.72060763888889,96.35087731481481
invaded,2019-07-12,25.191078317901233,96.63612307098765
invaded,2019-07-13,25.805724537037037,96.74505979938272
invaded,2019-07-14,26.82204938271605,95.49931867283951
invaded,2019-07-15,26.42488310185185,95.79524614197531
invaded,2019-07-16,26.621671682098764,95.51731905864197
invaded,2019-07-17,25.90359915123457,96.58113078703704
invaded,2019-07-18,25.350790895061728,97.19660416666666
invaded,2019-07-19,25.46484413580247,96.69150424382715
invaded,2019-07-20,25.022331790123456,97.65720871913581
invaded,2019-07-21,24.648726466049382,98.08755092592592
invaded,2019-07-22,24.72898263888889,97.9486350308642
invaded,2019-07-23,24.732645447530864,98.24448032407408
invaded,2019-07-24,24.533819830246912,98.49709529320988
invaded,2019-07-25,24.306673611111112,98.24697569444444
invaded,2019-07-26,24.43364313271605,96.74298263888889
invaded,2019-07-27,24.809258957654723,94.02651547231271
invaded,2019-07-28,25.56811760094081,94.64690043120345
invaded,2019-07-29,25.34093325617284,95.05117283950618
invaded,2019-07-30,25.961628086419754,95.05199614197531
invaded,2019-07-31,25.811484567901235,95.65775964506173
invaded,2019-08-01,25.16526813271605,95.82466898148148
native,2019-06-13,24.148204268292684,91.63596907665506
native,2019-06-14,24.9675859375,87.6381328125
native,2019-06-15,26.0340859375,87.20529513888889
native,2019-06-16,25.637559461805555,89.33333767361111
native,2019-06-17,24.589719618055554,91.58614800347222
native,2019-06-18,25.110960069444445,90.84165972222222
native,2019-06-19,24.957371961805556,90.75317317708334
native,2019-06-20,27.144398871527777,88.30141102430555
native,2019-06-21,28.566662760416666,85.8308302951389
native,2019-06-22,27.922561197916668,86.74294921875
native,2019-06-23,28.09554904513889,83.82370138888889
native,2019-06-24,27.93695529513889,82.56415885416666
native,2019-06-25,28.71641970486111,82.64830121527778
native,2019-06-26,28.505942708333333,80.70912673611112
native,2019-06-27,27.256672743055557,81.59777126736111
native,2019-06-28,26.505937934027777,84.77037890625
native,2019-06-29,25.009236979166666,89.76413715277778
native,2019-06-30,26.506045572916666,87.37920963541667
native,2019-07-01,27.813667100694445,83.42484895833333
native,2019-07-02,28.213320746527778,83.96309114583333
native,2019-07-03,28.414860677083333,84.34029861111111
native,2019-07-04,27.66538454861111,86.52864366319444
native,2019-07-05,26.48484375,90.06164800347223
native,2019-07-06,25.44927734375,91.34391753472222
native,2019-07-07,25.665262586805557,91.85377039930556
native,2019-07-08,26.486294704861113,90.98004557291667
native,2019-07-09,26.52390234375,91.51308376736111
native,2019-07-10,27.035964409722222,89.0941484375
native,2019-07-11,26.168921006944444,90.11874652777777
native,2019-07-12,25.493153211805556,90.68817621527778
native,2019-07-13,26.587832465277778,89.91660199652777
native,2019-07-14,27.975270399305554,85.86650390625
native,2019-07-15,27.427674479166665,86.32545182291666
native,2019-07-16,27.43216449652778,87.83230815972222
native,2019-07-17,26.576043836805557,89.35120008680556
native,2019-07-18,26.09642795138889,92.24140321180556
native,2019-07-19,26.09476953125,90.43294444444444
native,2019-07-20,25.600463541666667,91.31794053819445
native,2019-07-21,25.09750043402778,92.32315234375
native,2019-07-22,25.322567274305555,91.57165060763889
native,2019-07-23,25.062989583333334,92.81235894097222
native,2019-07-24,24.61816449652778,93.13009765625
native,2019-07-25,24.512796006944445,92.65705902777778
native,2019-07-26,24.73272870249017,90.39677806902577
native,2019-07-27,25.759552654482157,87.16692080069626
native,2019-07-28,26.35578141550313,87.8230028887819
native,2019-07-29,25.93911507936508,90.62035416666667
native,2019-07-30,26.896457948468644,88.68108896451142
native,2019-07-31,26.525628343500703,89.68264523697795
native,2019-08-01,25.70528286112401,90.21618857408268
